trace_name,configuration_label,run_label,completion_fraction,makespan_s,makespan_s_vs_exclusive,makespan_reduction_percent,initial_queue_wait_mean_s,initial_queue_wait_mean_s_vs_exclusive,initial_queue_wait_p95_s,initial_queue_wait_p95_s_vs_exclusive,jct_mean_s,jct_mean_s_vs_exclusive,jct_p95_s,jct_p95_s_vs_exclusive,execution_span_mean_s,execution_span_mean_s_vs_exclusive,execution_span_p95_s,execution_span_p95_s_vs_exclusive,successful_attempt_runtime_mean_s,successful_attempt_runtime_mean_s_vs_exclusive,failed_attempt_count,recovered_attempt_count
philly_legacy,exclusive,exclusive,1.0,30774.7296,1.0,0.0,2482.5085817166664,1.0,10697.017403599995,1.0,5487.914242100001,1.0,16874.40155195,1.0,3003.38204425,1.0,8435.658154299994,1.0,3003.38204425,1.0,0,0
philly_legacy,fixed_smi60,fixed_smi60,1.0,28567.05098,0.9282632650653736,7.173673493462629,1449.38511675,0.5838389149687222,6635.16462725,0.6202817455468465,5194.301247666665,0.946498253893818,14290.89459105,0.8468978616547471,3742.5815665666655,1.2461223751842925,10978.6269624,1.3014547011727535,3742.5815665666655,1.2461223751842925,0,0
philly_legacy,fixed_smi70,fixed_smi70,1.0,29777.814354,0.9676060436937194,3.2393956306280614,1484.101450183333,0.5978232909700839,6529.57163935,0.6104104904188082,5310.983144566667,0.9677598647267436,15189.6220353,0.9001576730609859,3824.5662457,1.2734198278311493,11070.12065545,1.312300765744889,3824.5662457,1.2734198278311493,0,0
philly_legacy,fixed_smi80,fixed_smi80,1.0,30369.682078,0.9868383076873568,1.3161692312643305,1385.0395166333333,0.557919326778549,6630.0473353,0.6198033606142129,5351.64970435,0.9751700679459128,15418.6745335,0.9137316358172254,3964.2135656333335,1.319916516522716,11080.91135205,1.313579942354778,3964.2135656333335,1.319916516522716,0,0
philly_legacy,memory_only_interference,memory_only_interference,1.0,33900.519695,1.101570026304959,-10.157002630495905,990.8329738333334,0.3991256993553544,6297.61790945,0.58872652738983,5549.608726250001,1.0112418819661426,16901.8856483,1.0016287449522514,4556.113075316665,1.5169941779599374,16622.2970578,1.970480163344095,4458.519255399999,1.4844995374251075,1,1
saturn_legacy,exclusive,exclusive,1.0,33743.977712,1.0,0.0,7197.593404883333,1.0,15054.093700999998,1.0,10427.558503949998,1.0,21829.3143576,1.0,3227.54111835,1.0,8747.967757249997,1.0,3227.54111835,1.0,0,0
saturn_legacy,fixed_smi50,fixed_smi50,1.0,29050.194776,0.8609001293190518,13.90998706809482,5207.175479,0.7234606327535953,12522.5378616,0.8318360513969808,8734.09096145,0.8375969272329178,17831.565726299996,0.816863298323973,3524.2961215166665,1.09194460807315,9276.596877849996,1.0604287916084156,3524.2961215166665,1.09194460807315,0,0
saturn_legacy,fixed_smi60,fixed_smi60,1.0,25113.189408,0.7442272995299327,25.577270047006728,5059.947291016667,0.7030054361758831,12137.12345945,0.8062340849282589,8644.436203966667,0.8289990605847113,17592.256566849992,0.8059005554943207,3581.7068450000006,1.1097323670445007,9132.026340149994,1.043902606131773,3581.7068450000006,1.1097323670445007,0,0
saturn_legacy,fixed_smi70,fixed_smi70,1.0,23758.248082,0.7040737249405874,29.59262750594126,4733.022808799999,0.6575840760314131,12173.73405735,0.8086660212923569,8603.78166765,0.8251003017044551,19731.9810464,0.9039212465933544,3867.84446825,1.198387356325096,10847.129297099991,1.2399599081867083,3867.84446825,1.198387356325096,0,0
saturn_legacy,fixed_smi80,fixed_smi80,1.0,24867.495859,0.7369461914431221,26.305380855687787,4632.051206166667,0.6435555533081336,12013.4071496,0.7980159674973981,8481.517675683333,0.8133752184147902,17238.120101999997,0.7896775784896994,3846.447851483333,1.191757970057941,8982.275569399999,1.0267842564869785,3846.447851483333,1.191757970057941,0,0
saturn_legacy,horus_baseline,horus_baseline,1.0,24439.400811,0.724259629957878,27.574037004212204,4792.06108765,0.6657865786637437,10645.3729143,0.7071414012517313,8576.569013183333,0.822490615606184,18559.4117244,0.8502058937979624,3781.684272366666,1.171692050913346,9577.045473599996,1.0947737508134834,3781.684272366666,1.171692050913346,0,0
saturn_legacy,lucid_baseline,lucid_baseline,1.0,25557.528372,0.757395248127824,24.2604751872176,4236.703929866667,0.5886278498299446,11020.937683,0.7320890849953932,8052.844448266667,0.7722655735008555,17726.91259245,0.8120691425325631,3813.3540268,1.1815043982304034,8692.75787525,0.993688833391705,3813.3540268,1.1815043982304034,0,0
saturn_legacy,memory_only_interference,memory_only_interference,1.0,29084.351803,0.8619123700006788,13.808762999932124,2657.9395191333338,0.3692816987036261,8680.026289450001,0.5765890967500363,10697.72694465,1.0259090793494623,25738.38071085,1.1790741701371412,8034.525587566668,2.489364284745075,25097.4586833,2.8689473235083818,8034.525587566668,2.489364284745075,0,0
