trace,policy,raw_label,experiment_name,gpu_uuid,gpu_id,start_time,end_time,energy_start_mj,energy_end_mj,energy_delta_mj,energy_delta_j
saturn,AEGIS-LUG,aegis_lug_thresholded,final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,2026-07-01T20:14:38.117265,2026-07-02T06:04:20.140583,150591461447.0,159625505216.0,9034043769.0,9034043.769
saturn,AEGIS-LUG,aegis_lug_thresholded,final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug,GPU-02bed562-1235-134d-6e37-99f97fd3c1e0,3,2026-07-01T20:14:38.117265,2026-07-02T06:04:20.140583,131960781342.0,139208737125.0,7247955783.0,7247955.783
saturn,AEGIS-LUG,aegis_lug_thresholded,final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug,GPU-2542cdb4-b558-5541-6feb-c4b72b612395,1,2026-07-01T20:14:38.117265,2026-07-02T06:04:20.140583,132513761882.0,140370417560.0,7856655678.0,7856655.678
saturn,MAGM no thresholds,aegis_magm_no_thresholds,runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,2026-07-05T09:12:47.237331,2026-07-05T18:19:50.070845,16024209486.0,24278167397.0,8253957911.0,8253957.911
saturn,MAGM no thresholds,aegis_magm_no_thresholds,runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds,GPU-02bed562-1235-134d-6e37-99f97fd3c1e0,3,2026-07-05T09:12:47.237331,2026-07-05T18:19:50.070845,15770204428.0,23531441788.0,7761237360.0,7761237.36
saturn,MAGM no thresholds,aegis_magm_no_thresholds,runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds,GPU-2542cdb4-b558-5541-6feb-c4b72b612395,1,2026-07-05T09:12:47.237331,2026-07-05T18:19:50.070845,16639991018.0,24435124593.0,7795133575.0,7795133.575
saturn,LUG no thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,2026-07-05T18:19:53.617299,2026-07-06T04:22:12.075355,24278369209.0,33603055202.0,9324685993.0,9324685.993
saturn,LUG no thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds,GPU-02bed562-1235-134d-6e37-99f97fd3c1e0,3,2026-07-05T18:19:53.617299,2026-07-06T04:22:12.075355,23531647091.0,29957179608.0,6425532517.0,6425532.517
saturn,LUG no thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds,GPU-2542cdb4-b558-5541-6feb-c4b72b612395,1,2026-07-05T18:19:53.617299,2026-07-06T04:22:12.075355,24435321540.0,32971656359.0,8536334819.0,8536334.819
venus,Exclusive,exclusive,final_representative_evaluation__venus__rep01__exclusive,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,2026-06-20T14:40:13.312765,2026-06-21T03:06:10.097161,15936159.0,10036362732.0,10020426573.0,10020426.573
venus,Exclusive,exclusive,final_representative_evaluation__venus__rep01__exclusive,GPU-02bed562-1235-134d-6e37-99f97fd3c1e0,3,2026-06-20T14:40:13.312765,2026-06-21T03:06:10.097161,16843049.0,8153723392.0,8136880343.0,8136880.343
venus,Exclusive,exclusive,final_representative_evaluation__venus__rep01__exclusive,GPU-2542cdb4-b558-5541-6feb-c4b72b612395,1,2026-06-20T14:40:13.312765,2026-06-21T03:06:10.097161,16331875.0,9145603844.0,9129271969.0,9129271.969
venus,AEGIS-MAGM,aegis_magm_thresholded,final_representative_evaluation__venus__rep01__aegis_estimator_free,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,2026-06-21T19:55:53.854164,2026-06-22T05:40:54.772905,18270193.0,8734393642.0,8716123449.0,8716123.449
venus,AEGIS-MAGM,aegis_magm_thresholded,final_representative_evaluation__venus__rep01__aegis_estimator_free,GPU-02bed562-1235-134d-6e37-99f97fd3c1e0,3,2026-06-21T19:55:53.854164,2026-06-22T05:40:54.772905,19269419.0,7855090221.0,7835820802.0,7835820.802
venus,AEGIS-MAGM,aegis_magm_thresholded,final_representative_evaluation__venus__rep01__aegis_estimator_free,GPU-2542cdb4-b558-5541-6feb-c4b72b612395,1,2026-06-21T19:55:53.854164,2026-06-22T05:40:54.772905,18682758.0,8214362684.0,8195679926.0,8195679.926
venus,AEGIS-LUG,aegis_lug_thresholded,final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,2026-07-01T01:22:17.879062,2026-07-01T10:35:23.554218,133628544839.0,141885039497.0,8256494658.0,8256494.658
venus,AEGIS-LUG,aegis_lug_thresholded,final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug,GPU-02bed562-1235-134d-6e37-99f97fd3c1e0,3,2026-07-01T01:22:17.879062,2026-07-01T10:35:23.554218,116711386864.0,124578089996.0,7866703132.0,7866703.132
venus,AEGIS-LUG,aegis_lug_thresholded,final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug,GPU-2542cdb4-b558-5541-6feb-c4b72b612395,1,2026-07-01T01:22:17.879062,2026-07-01T10:35:23.554218,116385719070.0,124413276204.0,8027557134.0,8027557.134
venus,MAGM no thresholds,aegis_magm_no_thresholds,runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,2026-07-06T04:22:16.116212,2026-07-06T13:51:03.581795,33603292653.0,41784752072.0,8181459419.0,8181459.419
venus,MAGM no thresholds,aegis_magm_no_thresholds,runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds,GPU-02bed562-1235-134d-6e37-99f97fd3c1e0,3,2026-07-06T04:22:16.116212,2026-07-06T13:51:03.581795,29957417867.0,38446830940.0,8489413073.0,8489413.073
venus,MAGM no thresholds,aegis_magm_no_thresholds,runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds,GPU-2542cdb4-b558-5541-6feb-c4b72b612395,1,2026-07-06T04:22:16.116212,2026-07-06T13:51:03.581795,32971886238.0,40449069199.0,7477182961.0,7477182.961
venus,LUG no thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,2026-07-06T13:51:08.204133,2026-07-06T23:13:06.122663,41785008249.0,49815287707.0,8030279458.0,8030279.458
venus,LUG no thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,GPU-02bed562-1235-134d-6e37-99f97fd3c1e0,3,2026-07-06T13:51:08.204133,2026-07-06T23:13:06.122663,38447085760.0,46952259263.0,8505173503.0,8505173.503
venus,LUG no thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,GPU-2542cdb4-b558-5541-6feb-c4b72b612395,1,2026-07-06T13:51:08.204133,2026-07-06T23:13:06.122663,40449315428.0,48216046544.0,7766731116.0,7766731.116
