run_label,philly,saturn,venus,geomean,policy_display
exclusive,1.0,1.0,1.0,1.0,Exclusive
oracle-MAGM,0.505417424111784,0.3886079271176802,0.4403510572782759,0.4422355347216957,AEGIS + ProfiledPeakMem
OR-MAGM,0.5054276269799133,0.4294276467977956,0.5214328319388813,0.48370708689953507,AEGIS - EstimatorFree
EST-MAGM__horus,0.5570852578015671,0.5125672746673459,0.4850698527989944,0.5173990276384687,AEGIS + AnalyticalMemEst
HORUS__horus,0.8462279669534544,0.813938855066161,0.8986637712164577,0.8522338820341475,Horus
LUCID,0.7099359457661709,0.7000354316319561,0.8303797468397839,0.7445124742547384,Lucid
