run_label,philly,saturn,venus,geomean,policy_display
exclusive,1.0,1.0,1.0,1.0,Exclusive
oracle-MAGM,1.7778550892953249,2.0551469649534897,1.5576156842756932,1.7853903577474,AEGIS + ProfiledPeakMem
OR-MAGM,1.7731985702013848,1.7765482774550274,1.38057854394144,1.632294442453668,AEGIS - EstimatorFree
EST-MAGM__horus,1.5148227715387463,1.5017644531793772,1.4162721162599696,1.4769647036779519,AEGIS + AnalyticalMemEst
HORUS__horus,1.031899329359113,1.021082882943925,1.0322864062740618,1.0284097328602821,Horus
LUCID,1.1303683668115674,1.0879084194389934,1.0616299545928032,1.0929370931115188,Lucid
