run_label,philly,saturn,venus,geomean,policy_display
exclusive,1.0,1.0,1.0,1.0,Exclusive
oracle-MAGM,2.126467339022393,2.240881470971287,1.9720888821269045,2.1102538226810514,AEGIS + ProfiledPeakMem
OR-MAGM,2.4275884886509207,2.554382724775236,1.5528790645931094,2.127483616317886,AEGIS - EstimatorFree
EST-MAGM__horus,2.106977672121174,1.99836993515213,1.97733163910836,2.026773008951523,AEGIS + AnalyticalMemEst
HORUS__horus,1.1570951479852154,1.0272485291229594,1.1392415192274767,1.106335381273166,Horus
LUCID,1.186245512607488,1.15264079743534,1.1256654769393004,1.1545851628643877,Lucid
