run_label,philly,saturn,venus,geomean,policy_display
exclusive,1.0,1.0,1.0,1.0,Exclusive
oracle-MAGM,2.126467339022393,2.240881470971287,1.9720888821269045,2.1102538226810514,AEGIS + ProfiledPeakMem
OR-MAGM,2.1144176964003063,2.554382724775236,1.4180520264130545,1.9711649704888397,AEGIS - EstimatorFree
EST-MAGM__horus,1.956499424968868,1.9589285703742163,1.97733163910836,1.9642312377901356,AEGIS + AnalyticalMemEst
HORUS__horus,1.1570951479852154,1.0272485291229594,1.1392415192274767,1.106335381273166,Horus
LUCID,1.186245512607488,1.15264079743534,1.1256654769393004,1.1545851628643877,Lucid
