trace_name,run_label,submitted_job_count,jobs_with_failed_attempts,recovered_job_count,recovery_stopped_job_count,failed_attempt_count,recovered_attempt_count,recovery_queue_wait_mean_s,recovery_queue_wait_p95_s,recovery_queue_wait_max_s,recovery_gap_mean_s,recovery_gap_p95_s,total_failed_runtime_s,total_recovery_queue_wait_s,total_recovery_gap_s,total_recovery_overhead_s
philly,aegis_lug_no_thresholds,60,7,7,0,7,7,3734.316740571429,6451.868954899999,6616.301012,3734.3477021428575,6451.899005699999,196.398963,26140.217184,26140.433915,26336.832878
philly,aegis_lug_thresholded,60,3,3,0,3,3,4505.008678333334,7147.9835615,7562.054952,4505.035768000001,7148.009039299999,38.028753,13515.026035,13515.107304000001,13553.136057
philly,aegis_magm_no_thresholds,60,6,6,0,6,6,3335.0618495000003,5834.17305125,6014.152601,3335.094293,5834.2137945,193.03250099999997,20010.371097000003,20010.565758,20203.598259
philly,aegis_magm_thresholded,60,3,3,0,3,3,2608.288055333333,4822.689089099999,5184.108337,2608.3169256666665,4822.7208014,30.435317999999995,7824.864165999999,7824.950777,7855.386095000001
philly,exclusive,60,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
