trace_name,configuration_label,run_label,completion_fraction,makespan_s,makespan_s_vs_exclusive,makespan_reduction_percent,total_queue_wait_mean_s,total_queue_wait_mean_s_vs_exclusive,total_queue_wait_p95_s,total_queue_wait_p95_s_vs_exclusive,jct_mean_s,jct_mean_s_vs_exclusive,jct_p95_s,jct_p95_s_vs_exclusive,total_execution_time_mean_s,total_execution_time_mean_s_vs_exclusive,total_execution_time_p95_s,total_execution_time_p95_s_vs_exclusive,successful_attempt_runtime_mean_s,successful_attempt_runtime_mean_s_vs_exclusive,failed_attempt_count,recovered_attempt_count
philly,aegis_estimator_free,OR-MAGM,1.0,30208.227242,0.7085556748388615,29.14443251611385,8686.463268366668,0.5131315383471536,15885.16814425,0.5455988223367599,11915.943266683336,0.633046525791054,20698.9118219,0.672882713305376,3229.4512844333326,1.7043704936244743,7443.161986849997,2.1144176964003063,3228.944029133333,1.7041027853081356,3,3
philly,aegis_horus,EST-MAGM__horus,1.0,31379.895394,0.7360379931979244,26.39620068020756,9498.995931683334,0.5611299149710828,17738.48837205,0.6092537565822367,12300.849791850002,0.6534950738461914,20643.22322015,0.6710723815464826,2801.8252582833325,1.4786872065629588,6887.258923349998,1.956499424968868,2801.365364966666,1.4784444939377772,1,1
philly,exclusive,exclusive,1.0,42633.526644,1.0,0.0,16928.3363411,1.0,29115.10709685,1.0,18823.171411916668,1.0,30761.54493585,1.0,1894.8059101666663,1.0,3520.1947086999985,1.0,1894.8059101666663,1.0,0,0
philly,horus_baseline,HORUS__horus,1.0,39040.792424,0.91572983745867,8.42701625413299,14325.231645833332,0.8462279669534544,24965.26738935,0.8574678192425754,16280.508426749995,0.8649184598320689,26776.376099,0.8704496524748463,1955.2489479666667,1.031899329359113,4073.200217399997,1.1570951479852154,1955.2489479666667,1.031899329359113,0,0
philly,lucid_baseline,LUCID,1.0,35789.950191,0.8394789971248339,16.052100287516613,12018.034470566668,0.7099359457661709,22176.16287675,0.7616720351734261,14159.891632333332,0.7522585499789327,24026.05008815,0.7810417239528713,2141.8286621,1.1303683668115674,4175.815176699996,1.186245512607488,2141.8286621,1.1303683668115674,0,0
philly,oracle_upper_bound,oracle-MAGM,1.0,31257.59924,0.7331694490349889,26.683055096501107,8555.876148016665,0.505417424111784,16628.41522295,0.5711267064083391,11924.59449575,0.6335061310763348,21659.9461766,0.704124133614536,3368.690330616668,1.7778550892953249,7485.579075049995,2.126467339022393,3368.690330616668,1.7778550892953249,0,0
saturn,aegis_estimator_free,OR-MAGM,1.0,33248.588372,0.7013516336904214,29.864836630957857,6696.877182266666,0.4393866995985053,20007.27915915,0.5435400028335041,10037.939477550002,0.5833460344142275,21282.53611709999,0.5201538087260357,3341.034022966667,1.6993428822205374,9147.405206049998,2.554382724775236,3338.9332453,1.698274368236412,3,3
saturn,aegis_horus,EST-MAGM__horus,1.0,33852.00443,0.7140801992865998,28.591980071340014,7884.1484305,0.5172843795307024,24489.19435895,0.6653006970798633,10764.859562283333,0.6255903565396624,26126.27320659999,0.6385367064083586,2880.683842283333,1.4651959691703895,7015.04642555,1.9589285703742163,2879.9280908500004,1.464811572959476,2,2
saturn,exclusive,exclusive,1.0,47406.446032,1.0,0.0,15241.4198891,1.0,36809.21193444999,1.0,17207.521583016667,1.0,40915.85173475,1.0,1966.0740971833336,1.0,3581.0628991999984,1.0,1966.0740971833336,1.0,0,0
saturn,horus_baseline,HORUS__horus,1.0,43228.082408,0.9118608549314254,8.813914506857456,12408.858782016663,0.8141537253291564,32507.285443099987,0.8831290792367168,14413.13597355,0.8376067351718653,36628.716509,0.8952206774640128,2004.24925765,1.0194169489956444,3678.641595899999,1.0272485291229594,2004.034154983333,1.0193075417932531,1,1
