run_label,trace_count,completion_fraction_mean,makespan_s_vs_exclusive_geomean,jct_mean_s_vs_exclusive_geomean,jct_p95_s_vs_exclusive_geomean,total_queue_wait_mean_s_vs_exclusive_geomean,total_queue_wait_p95_s_vs_exclusive_geomean,total_execution_time_mean_s_vs_exclusive_geomean,total_execution_time_p95_s_vs_exclusive_geomean,makespan_reduction_percent_from_geomean,policy_display
exclusive,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Exclusive
oracle-MAGM,3,1.0,0.7119376098740898,0.5941284846285623,0.607230041547462,0.4422355347216957,0.5198369681833384,1.7853903577474,2.1102538226810514,28.806239012591018,AEGIS + ProfiledPeakMem
OR-MAGM,3,1.0,0.7299591801895617,0.6125742049601697,0.59775936962119,0.49383012204398563,0.5461206365786507,1.5497890998333714,1.9711649704888397,27.004081981043825,AEGIS - EstimatorFree
EST-MAGM__horus,3,1.0,0.7331944904339063,0.6240885416495261,0.6380461837684229,0.5202343489890356,0.5844710930155013,1.4531359432101831,1.9642312377901356,26.680550956609373,AEGIS + AnalyticalMemEst
HORUS__horus,3,1.0,0.9240792742577465,0.8717264781060161,0.8784854304685596,0.8523088686689025,0.8668847126092656,1.0278501324233371,1.106335381273166,7.59207257422535,Horus
LUCID,3,1.0,0.8648786799377185,0.7830795149888605,0.7863272307011528,0.7445124742547384,0.7870112781108506,1.0929370931115188,1.1545851628643877,13.51213200622815,Lucid
