run_label,philly_legacy,saturn_legacy,geomean,policy_display
exclusive,1.0,1.0,1.0,Exclusive
memory_only_interference,0.58872652738983,0.5765890967500363,0.5826262066372294,Memory-only
fixed_smi80,0.6198033606142129,0.7980159674973981,0.7032872659722269,AEGIS-SMI80
fixed_smi70,0.6104104904188082,0.8086660212923569,0.7025796913105972,AEGIS-SMI70
fixed_smi60,0.6202817455468465,0.8062340849282589,0.7071720338917998,AEGIS-SMI60
fixed_smi50,,0.8318360513969808,0.8318360513969808,AEGIS-SMI50
horus_baseline,,0.7071414012517313,0.7071414012517313,Horus
lucid_baseline,,0.7320890849953932,0.7320890849953932,Lucid
