run_label,philly_legacy,saturn_legacy,geomean,policy_display
exclusive,1.0,1.0,1.0,Exclusive
memory_only_interference,1.101570026304959,0.8619123700006788,0.9744007553846709,Memory-only
fixed_smi80,0.9868383076873568,0.7369461914431221,0.8527876244531071,AEGIS-SMI80
fixed_smi70,0.9676060436937194,0.7040737249405874,0.8253883882503205,AEGIS-SMI70
fixed_smi60,0.9282632650653736,0.7442272995299327,0.8311671691136754,AEGIS-SMI60
fixed_smi50,,0.8609001293190518,0.8609001293190518,AEGIS-SMI50
horus_baseline,,0.724259629957878,0.724259629957878,Horus
lucid_baseline,,0.757395248127824,0.757395248127824,Lucid
