workload_id,run_id,spec_path,source_gpu_count,gpu_label,training_loop_time_s,end_to_end_time_s,exit_code,gpu_memory_requirement_mib,faketensor_estimate,drama_profile_stat_score_200s,gpu_memory_peak_mib_peak_200s,smact_profile_stat_score_200s,smocc_profile_stat_score_200s,smact_profile_stat_score_200s_normalized,smocc_profile_stat_score_200s_normalized,drama_profile_stat_score_200s_normalized,gpu_memory_peak_mib_peak_200s_normalized,lucid_style_pressure_score_200s,lucid_style_ss_200s,lucid_style_class_200s
inception_imagenet_bs64_1gpu,2026-05-01_03-10-16_4e930f6d,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs64_1gpu.yaml,1,single,3078.71,3083.32,0,9332.0,5.984,0.3384402985074627,9408.0,0.6539589552238806,0.2964608208955224,0.7187217414475524,0.6072648756066802,0.6452789113812288,0.3151336504321029,0.7187217414475524,2,Jumbo
maskrcnn_coco_bs8_1gpu,2026-05-02_01-18-52_9c1b6ef1,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/maskrcnn_coco_bs8_1gpu.yaml,1,single,6564.68,6582.08,0,28606.0,1.0,0.42742424242424243,29854.0,0.7259659090909091,0.34716287878787877,0.7978596794882156,0.7111220355038905,0.8149379700519912,1.0,1.0,2,Jumbo
mnist_bs32_1gpu,2026-05-01_17-54-59_06784923,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mnist_bs32_1gpu.yaml,1,single,139.54,140.45,0,1776.0,0.0363,0.013931318681318675,1098.0,0.09001923076923075,0.033445054945054925,0.09893400462737179,0.06850823346409386,0.026561807776528917,0.036778991089971194,0.09893400462737179,0,Tiny
mobilenet_cifar100_bs128_20e_1gpu,2026-05-01_04-01-49_ab92b1b5,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs128_20e_1gpu.yaml,1,single,195.16,198.4,0,632.0,0.048,0.006267307692307675,634.0,0.17718846153846152,0.1027576923076923,0.1947357683904461,0.21048696096963,0.011949408811002817,0.021236685201313058,0.21048696096963,0,Tiny
mobilenet_cifar100_bs128_50e_1gpu,2026-05-01_04-05-13_1121d682,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs128_50e_1gpu.yaml,1,single,572.07,575.3,0,632.0,0.048,0.004877862595419825,634.0,0.1717175572519084,0.09644847328244274,0.18872307015500683,0.1975632731279448,0.009300257325503792,0.021236685201313058,0.1975632731279448,0,Tiny
mobilenet_cifar100_bs32_20e_1gpu,2026-05-01_04-14-54_00788871,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_20e_1gpu.yaml,1,single,900.11,903.35,0,590.0,0.0148,0.0021860465116279,592.0,0.07961821705426356,0.04039147286821705,0.08750295894732309,0.08273714777148447,0.0041679720750538215,0.019829838547598313,0.08750295894732309,0,Tiny
mobilenet_cifar100_bs32_50e_1gpu,2026-05-01_04-30-03_5aebaa38,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_50e_1gpu.yaml,1,single,2038.8,2042.09,0,590.0,0.0148,0.002225,592.0,0.10144615384615382,0.0514153846153846,0.11149255740446734,0.10531832519526942,0.004242241790221018,0.019829838547598313,0.11149255740446734,0,Tiny
mobilenet_cifar100_bs64_20e_1gpu,2026-05-01_05-04-11_a5c47ecb,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs64_20e_1gpu.yaml,1,single,414.75,418.09,0,598.0,0.0253,0.003759615384615375,602.0,0.13528461538461536,0.06524807692307692,0.14868210548016128,0.1336529568952086,0.007168178651583465,0.020164802036578014,0.14868210548016128,0,Tiny
mobilenet_cifar100_bs64_50e_1gpu,2026-05-01_05-11-15_2f594179,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs64_50e_1gpu.yaml,1,single,966.53,969.78,0,598.0,0.0253,0.00292884615384615,602.0,0.11320192307692307,0.06102115384615383,0.12441252258898186,0.12499460565421507,0.005584212831898532,0.020164802036578014,0.12499460565421507,0,Tiny
mobilenet_imagenet_bs128_1gpu,2026-05-01_05-27-30_eff95151,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs128_1gpu.yaml,1,single,1548.6,1552.79,0,11336.0,9.4591,0.3327703703703704,11598.0,0.5537833333333333,0.2986962962962963,0.6086255391696628,0.6118439821714939,0.6344684816775331,0.38849065451865744,0.6344684816775331,1,Medium
