workload_id,run_id,spec_path,source_gpu_count,gpu_label,training_loop_time_s,end_to_end_time_s,exit_code,gpu_memory_requirement_mib,faketensor_estimate,gpu_memory_peak_mib_peak_200s,gpu_memory_peak_mib_peak_full,gputl_max_200s,gputl_max_full,gputl_mean_200s,gputl_mean_full,gputl_median_200s,gputl_median_full,horus_oracle_util_full,horus_profile_util_200s,horus_oracle_util_median_full,horus_profile_util_median_200s,horus_oracle_util_max_full,horus_profile_util_max_200s,horus_oracle_memory_full_mib,horus_profile_memory_200s_mib,horus_oracle_util_source,horus_abs_error_200s_vs_full_util,horus_relative_error_200s_vs_full_util
mobilenet_cifar100_bs64_50e_1gpu,2026-05-01_05-11-15_2f594179,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs64_50e_1gpu.yaml,1,single,966.53,969.78,0,598.0,0.0253,602.0,602.0,47.0,48.0,28.523076923076925,31.73217115689382,26.0,36.0,31.73217115689382,28.523076923076925,36.0,26.0,48.0,47.0,602.0,602.0,gputl_mean_full,3.209094233816895,0.1011306228606333
mobilenet_imagenet_bs128_1gpu,2026-05-01_05-27-30_eff95151,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs128_1gpu.yaml,1,single,1548.6,1552.79,0,11336.0,9.4591,11598.0,11602.0,86.0,86.0,63.903703703703705,64.27543186180422,69.0,70.0,64.27543186180422,63.903703703703705,70.0,69.0,86.0,86.0,11602.0,11598.0,gputl_mean_full,0.37172815810051674,0.005783363056972578
mobilenet_imagenet_bs32_1gpu,2026-05-01_05-53-28_be74790b,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs32_1gpu.yaml,1,single,1666.15,1670.26,0,3352.0,2.3684,3354.0,3356.0,100.0,100.0,63.614814814814814,63.32859680284192,66.0,65.0,63.32859680284192,63.614814814814814,65.0,66.0,100.0,100.0,3356.0,3354.0,gputl_mean_full,0.2862180119728919,0.004519569774520057
mobilenet_imagenet_bs64_1gpu,2026-05-01_06-21-24_05adeecb,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs64_1gpu.yaml,1,single,1536.12,1540.34,0,6032.0,4.732,6162.0,6164.0,79.0,79.0,64.27407407407408,65.65703275529866,73.0,73.0,65.65703275529866,64.27407407407408,73.0,73.0,79.0,79.0,6164.0,6162.0,gputl_mean_full,1.3829586812245793,0.021063374678822532
resnet18_cifar100_bs128_20e_1gpu,2026-05-01_06-47-09_276041f2,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs128_20e_1gpu.yaml,1,single,124.92,128.09,0,858.0,0.0911,852.0,852.0,49.0,49.0,34.32941176470588,34.32941176470588,38.0,38.0,34.32941176470588,34.32941176470588,38.0,38.0,49.0,49.0,852.0,852.0,gputl_mean_full,0.0,0.0
resnet18_cifar100_bs128_50e_1gpu,2026-05-01_06-49-23_0a98d914,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs128_50e_1gpu.yaml,1,single,303.77,306.79,0,858.0,0.0911,852.0,852.0,54.0,56.0,33.94814814814815,34.81428571428572,38.0,39.0,34.81428571428572,33.94814814814815,39.0,38.0,56.0,54.0,852.0,852.0,gputl_mean_full,0.8661375661375672,0.02487879755011477
resnet18_cifar100_bs32_20e_1gpu,2026-05-01_06-54-35_a2b2e9d4,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_20e_1gpu.yaml,1,single,460.29,463.31,0,788.0,0.0527,790.0,790.0,55.0,61.0,36.12213740458015,36.18811881188119,38.0,38.0,36.18811881188119,36.12213740458015,38.0,38.0,61.0,55.0,790.0,790.0,gputl_mean_full,0.06598140730103808,0.0018232892304801218
resnet18_cifar100_bs32_50e_1gpu,2026-05-01_07-02-24_fabbfa65,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_50e_1gpu.yaml,1,single,1147.33,1150.33,0,788.0,0.0527,790.0,790.0,60.0,60.0,35.86363636363637,36.222811671087534,38.0,38.0,36.222811671087534,35.86363636363637,38.0,38.0,60.0,60.0,790.0,790.0,gputl_mean_full,0.3591753074511672,0.00991572136123975
resnet18_cifar100_bs64_20e_1gpu,2026-05-01_07-21-40_dc196945,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs64_20e_1gpu.yaml,1,single,239.16,242.17,0,796.0,0.0652,798.0,798.0,60.0,60.0,34.338345864661655,34.525,37.0,37.0,34.525,34.338345864661655,37.0,37.0,60.0,60.0,798.0,798.0,gputl_mean_full,0.18665413533834396,0.005406347149553772
resnet18_cifar100_bs64_50e_1gpu,2026-05-01_07-25-48_cbc5774e,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs64_50e_1gpu.yaml,1,single,600.67,603.72,0,796.0,0.0652,798.0,798.0,46.0,59.0,34.6015037593985,34.34586466165413,37.0,37.0,34.34586466165413,34.6015037593985,37.0,37.0,59.0,46.0,798.0,798.0,gputl_mean_full,0.2556390977443641,0.007443082311733894
