workload_id,run_id,spec_path,source_gpu_count,gpu_label,training_loop_time_s,end_to_end_time_s,exit_code,gpu_memory_requirement_mib,faketensor_estimate,gpu_memory_peak_mib_peak_200s,gpu_memory_peak_mib_peak_full,gputl_max_200s,gputl_max_full,gputl_mean_200s,gputl_mean_full,gputl_median_200s,gputl_median_full,horus_oracle_util_full,horus_profile_util_200s,horus_oracle_util_median_full,horus_profile_util_median_200s,horus_oracle_util_max_full,horus_profile_util_max_200s,horus_oracle_memory_full_mib,horus_profile_memory_200s_mib,horus_oracle_util_source,horus_abs_error_200s_vs_full_util,horus_relative_error_200s_vs_full_util
gpt2_large_wiki_bs8_2gpu,2026-05-03_22-30-47_60bba3e7,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,2,gpu_a,3943.9,3981.23,0,28356.0,-2.0,28330.0,28330.0,100.0,100.0,74.85945945945946,95.5177554892925,94.0,99.0,95.5177554892925,74.85945945945946,99.0,94.0,100.0,100.0,28330.0,28330.0,gputl_mean_full,20.65829602983304,0.216277025397114
gpt2_large_wiki_bs8_2gpu,2026-05-03_22-30-47_60bba3e7,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,2,gpu_b,3943.9,3981.23,0,28356.0,-2.0,16458.0,16458.0,100.0,100.0,72.34594594594594,91.08972621306587,98.0,98.0,91.08972621306587,72.34594594594594,98.0,98.0,100.0,100.0,16458.0,16458.0,gputl_mean_full,18.74378026711993,0.20577271495225255
inception_imagenet_bs128_1gpu,2026-05-01_01-24-22_a8c790c1,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs128_1gpu.yaml,1,single,2978.89,2983.56,0,17830.0,11.9588,17964.0,17964.0,100.0,100.0,76.32835820895522,78.90409590409591,75.0,75.0,78.90409590409591,76.32835820895522,75.0,75.0,100.0,100.0,17964.0,17964.0,gputl_mean_full,2.5757376951406883,0.032643903534125426
inception_imagenet_bs32_1gpu,2026-05-01_02-14-11_813e5ea8,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs32_1gpu.yaml,1,single,3354.87,3359.46,0,5230.0,2.9989,5246.0,5246.0,100.0,100.0,75.45185185185186,77.54203539823008,78.0,79.0,77.54203539823008,75.45185185185186,79.0,78.0,100.0,100.0,5246.0,5246.0,gputl_mean_full,2.0901835463782277,0.026955489827468943
inception_imagenet_bs64_1gpu,2026-05-01_03-10-16_4e930f6d,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs64_1gpu.yaml,1,single,3078.71,3083.32,0,9332.0,5.984,9408.0,9408.0,86.0,86.0,75.86567164179104,78.20077406869859,81.5,82.0,78.20077406869859,75.86567164179104,82.0,81.5,86.0,86.0,9408.0,9408.0,gputl_mean_full,2.3351024269075538,0.029860349270407347
maskrcnn_coco_bs8_1gpu,2026-05-02_01-18-52_9c1b6ef1,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/maskrcnn_coco_bs8_1gpu.yaml,1,single,6564.68,6582.08,0,28606.0,1.0,29854.0,29936.0,100.0,100.0,76.06106870229007,80.55680256527714,83.0,84.0,80.55680256527714,76.06106870229007,84.0,83.0,100.0,100.0,29936.0,29854.0,gputl_mean_full,4.495733862987066,0.05580824610490298
mnist_bs32_1gpu,2026-05-01_17-54-59_06784923,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mnist_bs32_1gpu.yaml,1,single,139.54,140.45,0,1776.0,0.0363,1098.0,1098.0,20.0,20.0,15.76595744680851,15.76595744680851,19.0,19.0,15.76595744680851,15.76595744680851,19.0,19.0,20.0,20.0,1098.0,1098.0,gputl_mean_full,0.0,0.0
mobilenet_cifar100_bs128_20e_1gpu,2026-05-01_04-01-49_ab92b1b5,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs128_20e_1gpu.yaml,1,single,195.16,198.4,0,632.0,0.048,634.0,634.0,46.0,46.0,31.78625954198473,31.64179104477612,35.0,35.5,31.64179104477612,31.78625954198473,35.5,35.0,46.0,46.0,634.0,634.0,gputl_mean_full,0.1444684972086101,0.004565749675932489
mobilenet_cifar100_bs128_50e_1gpu,2026-05-01_04-05-13_1121d682,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs128_50e_1gpu.yaml,1,single,572.07,575.3,0,632.0,0.048,634.0,634.0,48.0,55.0,31.229007633587788,31.34656084656085,33.0,32.0,31.34656084656085,31.229007633587788,32.0,33.0,55.0,48.0,634.0,634.0,gputl_mean_full,0.11755321297306054,0.003750115157719376
mobilenet_cifar100_bs32_20e_1gpu,2026-05-01_04-14-54_00788871,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_20e_1gpu.yaml,1,single,900.11,903.35,0,590.0,0.0148,592.0,592.0,42.0,43.0,23.635658914728683,25.73037542662116,23.0,24.0,25.73037542662116,23.635658914728683,24.0,23.0,43.0,42.0,592.0,592.0,gputl_mean_full,2.094716511892475,0.08141025838765026
