workload_id,run_id,spec_path,source_gpu_count,gpu_label,training_loop_time_s,end_to_end_time_s,exit_code,gpu_memory_requirement_mib,faketensor_estimate,drama_aegis_profile_risk_full,drama_ewma_full,drama_max_full,drama_mean_full,drama_median_full,drama_mode_full,drama_p95_full,drama_profile_stat_score_full,gpu_memory_peak_mib_peak_full,smact_aegis_profile_risk_full,smact_ewma_full,smact_max_full,smact_mean_full,smact_median_full,smact_mode_full,smact_p95_full,smact_profile_stat_score_full,smocc_aegis_profile_risk_full,smocc_ewma_full,smocc_max_full,smocc_mean_full,smocc_median_full,smocc_mode_full,smocc_p95_full,smocc_profile_stat_score_full,coarse_resource_label
gpt2_large_wiki_bs8_2gpu,2026-05-03_22-30-47_60bba3e7,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,2,gpu_a,3943.9,3981.23,0,28356.0,-2.0,0.21371836903018446,0.1841968699944163,0.26,0.2116766061263215,0.211,0.214,0.248,0.22416915153158037,28330.0,0.8523795383073411,0.7256431193448428,0.965,0.8328750338845216,0.889,0.962,0.962,0.9122187584711303,0.2654116947349796,0.2317842145593274,0.324,0.2658625643805909,0.27,0.271,0.294,0.28271564109514774,light
gpt2_large_wiki_bs8_2gpu,2026-05-03_22-30-47_60bba3e7,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,2,gpu_b,3943.9,3981.23,0,28356.0,-2.0,0.16064421325467282,0.138970726697195,0.19,0.1596061263214963,0.16,0.145,0.184,0.16365153158037407,16458.0,0.8374835552275357,0.6864400490478498,0.965,0.7884941718622932,0.913,0.962,0.962,0.9071235429655733,0.2491621599316557,0.2032444651535678,0.303,0.233404174573055,0.267,0.271,0.293,0.26860104364326376,light
inception_imagenet_bs128_1gpu,2026-05-01_01-24-22_a8c790c1,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs128_1gpu.yaml,1,single,2978.89,2983.56,0,17830.0,11.9588,0.35925477047584836,0.3112168841011957,0.433,0.3618021978021978,0.366,0.367,0.398,0.38195054945054946,17964.0,0.6494083061407008,0.5574469108764892,0.786,0.6551863136863136,0.663,0.661,0.722,0.6912965784215784,0.3011828325381801,0.2590050564264467,0.364,0.3037262737262737,0.307,0.306,0.335,0.3201815684315684,light
inception_imagenet_bs32_1gpu,2026-05-01_02-14-11_813e5ea8,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs32_1gpu.yaml,1,single,3354.87,3359.46,0,5230.0,2.9989,0.28710425773743775,0.2482953495338218,0.317,0.2921216814159292,0.297,0.297,0.311,0.3007804203539823,5246.0,0.594976501018788,0.5141436146946207,0.656,0.604762389380531,0.616,0.636,0.645,0.6281905973451327,0.25977809289741377,0.2244079468108941,0.287,0.263704424778761,0.268,0.264,0.283,0.27067610619469024,light
inception_imagenet_bs64_1gpu,2026-05-01_03-10-16_4e930f6d,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs64_1gpu.yaml,1,single,3078.71,3083.32,0,9332.0,5.984,0.3199453904101086,0.2749257319355482,0.375,0.3238558297048863,0.329,0.329,0.352,0.33921395742622157,9408.0,0.6150250284540403,0.5286003557126293,0.725,0.6224997581035316,0.631,0.631,0.678,0.6523749395258829,0.2782336736965263,0.2394296149602706,0.331,0.2815050798258345,0.285,0.286,0.307,0.2958762699564586,light
maskrcnn_coco_bs8_1gpu,2026-05-02_01-18-52_9c1b6ef1,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/maskrcnn_coco_bs8_1gpu.yaml,1,single,6564.68,6582.08,0,28606.0,1.0,0.3884982505967194,0.2844538361019485,0.538,0.368539166284929,0.398,0.414,0.503,0.42963479157123224,29936.0,0.665177793280787,0.5129021946531523,0.874,0.6528089784699954,0.704,0.781,0.791,0.7529522446174989,0.32205719585727366,0.245688700973758,0.415,0.3150400824553366,0.3405,0.319,0.387,0.34738502061383414,light
mnist_bs32_1gpu,2026-05-01_17-54-59_06784923,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mnist_bs32_1gpu.yaml,1,single,139.54,140.45,0,1776.0,0.0363,0.012986741483940325,0.0106278169995911,0.015,0.0123191489361702,0.014,0.014,0.015,0.01382978723404255,1098.0,0.0826387452748741,0.0660017896101347,0.098,0.0765531914893617,0.091,0.092,0.097,0.08938829787234043,0.030915856014691073,0.0248336368247218,0.036,0.0288297872340425,0.034,0.034,0.036,0.03320744680851063,light
mobilenet_cifar100_bs128_20e_1gpu,2026-05-01_04-01-49_ab92b1b5,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs128_20e_1gpu.yaml,1,single,195.16,198.4,0,632.0,0.048,0.005587289764238125,0.0044312486091914,0.008,0.0049179104477611,0.006,0.006,0.007,0.006229477611940275,634.0,0.16237345974834416,0.1370990628739737,0.198,0.1530447761194029,0.169,0.184,0.19035,0.17601119402985071,0.0932832039853827,0.0769395323594414,0.116,0.0873432835820895,0.0975,0.107,0.1113499999999999,0.10196082089552237,light
mobilenet_cifar100_bs128_50e_1gpu,2026-05-01_04-05-13_1121d682,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs128_50e_1gpu.yaml,1,single,572.07,575.3,0,632.0,0.048,0.004496908431494525,0.0036992739376184,0.008,0.0042883597883597,0.004,0.004,0.006,0.005072089947089925,634.0,0.1554759801490461,0.1298801110723749,0.233,0.1500238095238095,0.155,0.151,0.187,0.17225595238095237,0.0898417761223951,0.0735258346483106,0.132,0.0848412698412698,0.091,0.089,0.11,0.09921031746031744,light
mobilenet_cifar100_bs32_20e_1gpu,2026-05-01_04-14-54_00788871,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_20e_1gpu.yaml,1,single,900.11,903.35,0,590.0,0.0148,0.001830057826137775,0.0015369548540392,0.003,0.0017832764505119,0.002,0.002,0.002,0.002195819112627975,592.0,0.07819699209226998,0.0656326782666909,0.109,0.075155290102389,0.07,0.069,0.102,0.08078882252559726,0.039188566272848946,0.0324829340333754,0.056,0.0372713310580204,0.035,0.035,0.052,0.0408178327645051,light
mobilenet_cifar100_bs32_50e_1gpu,2026-05-01_04-30-03_5aebaa38,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_50e_1gpu.yaml,1,single,2038.8,2042.09,0,590.0,0.0148,0.002101907148006975,0.0016074771915737,0.003,0.0018001514004542,0.002,0.002,0.003,0.00220003785011355,592.0,0.08650129874450732,0.0730498581120187,0.131,0.0829553368660106,0.083,0.102,0.107,0.09973883421650265,0.042334613158253195,0.0361946222015215,0.067,0.0411438304314913,0.037,0.052,0.055,0.04928595760787283,light
mobilenet_cifar100_bs64_20e_1gpu,2026-05-01_05-04-11_a5c47ecb,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs64_20e_1gpu.yaml,1,single,414.75,418.09,0,598.0,0.0253,0.00306725600882415,0.002418659071793,0.005,0.0028503649635036,0.003,0.004,0.004,0.0037125912408759003,602.0,0.11454948970666527,0.0963913894835954,0.156,0.1128065693430657,0.102,0.099,0.147,0.11745164233576642,0.06108925095356775,0.05037890162449,0.084,0.058978102189781,0.055,0.054,0.08,0.06299452554744525,light
