configuration_label,run_label,policy,estimator,submitted_job_count,completed_job_count,incomplete_job_count,completion_fraction,makespan_s,total_queue_wait_mean_s,total_queue_wait_p50_s,total_queue_wait_p95_s,jct_mean_s,jct_p50_s,jct_p95_s,total_execution_time_mean_s,execution_span_p50_s,total_execution_time_p95_s,successful_attempt_runtime_mean_s,successful_attempt_runtime_p50_s,successful_attempt_runtime_p95_s,failed_attempt_count,recovered_attempt_count,recovery_stopped_job_count,total_failed_attempt_runtime_s,total_recovery_queue_wait_s
aegis_estimator_free,OR-MAGM,OR-MAGM,,60,60,0,1.0,30208.227242,8686.463268366668,9864.1332585,15885.16814425,11915.943266683336,11665.0885075,20698.911821899997,3229.4512844333326,2692.075204,7443.161986849997,3228.944029133333,2662.057146,7443.161986849997,3,3,0,30.435317999999995,7824.864166
aegis_horus,EST-MAGM__horus,EST-MAGM,horus,60,60,0,1.0,31379.895394,9498.995931683334,11030.830557,17738.48837205,12300.849791850002,11806.979959,20643.22322015,2801.8252582833325,2432.333576,6887.258923349998,2801.365364966666,2432.333576,6861.045004299998,1,1,0,27.593599,4108.159017
exclusive,exclusive,exclusive,,60,60,0,1.0,42633.526644,16928.3363411,17441.126776999998,29115.10709685,18823.171411916668,19536.928526,30761.54493585,1894.8059101666663,1626.6446274999998,3520.1947086999985,1894.8059101666663,1626.6446274999998,3520.1947086999985,0,0,0,0.0,0.0
horus_baseline,HORUS__horus,HORUS,horus,60,60,0,1.0,39040.792424,14325.231645833332,13670.6139405,24965.26738935,16280.508426749995,16953.9693395,26776.376099,1955.2489479666667,1645.642627,4073.200217399997,1955.2489479666667,1645.642627,4073.200217399997,0,0,0,0.0,0.0
lucid_baseline,LUCID,LUCID,,60,60,0,1.0,35789.950191,12018.034470566668,12279.8853065,22176.16287675,14159.891632333332,14604.4145815,24026.05008815,2141.8286621,1749.453,4175.815176699996,2141.8286621,1749.453,4175.815176699996,0,0,0,0.0,0.0
oracle_upper_bound,oracle-MAGM,oracle-MAGM,,60,60,0,1.0,31257.59924,8555.876148016665,9154.179511,16628.41522295,11924.59449575,11207.0330425,21659.9461766,3368.690330616668,2701.151942,7485.579075049995,3368.690330616668,2701.151942,7485.579075049995,0,0,0,0.0,0.0
