summary_window_seconds,total_n,weighted_mean_abs_error,weighted_median_abs_error,weighted_p95_abs_error,weighted_mean_abs_relative_error
5.0,150,0.04231845677342437,0.019013465698446967,0.13891032834308384,0.1638482614543653
10.0,150,0.017523406349604132,0.010583482944904401,0.05457862789909936,0.07708083226646167
20.0,150,0.0082469273941937,0.0057077613039820336,0.02383006397893,0.043729866594739326
30.0,150,0.005601540623434933,0.0033442536332245667,0.0162844120520728,0.0328862990758723
40.0,150,0.005244261997494234,0.0035143110581611,0.0161206922930078,0.030053934257797933
60.0,150,0.0038616553590227008,0.002274659082253533,0.012962909014284698,0.025498646036228666
120.0,150,0.0027301947337713,0.0016851796342345334,0.009870685402723768,0.020158992245225965
200.0,150,0.0,0.0,0.0,0.0
