stat,anchor,n,median_relative_error_percent,p90_relative_error_percent,p95_relative_error_percent,max_relative_error_percent
mean,launch,159,2.89105773132374,15.281376867449051,21.243461848620385,28.170117810224472
mean,first_memory,159,1.29835410079987,13.268726978851864,17.60013625264701,24.42930030739901
mean,activity_filtered,159,1.6186892136258901,5.589225623405841,16.67138852665407,28.170117810224472
median,launch,156,0.41841736694677495,4.85602094240837,14.601233751927746,50.0
median,first_memory,156,0.32467874724602497,4.98853517789582,13.54334185758351,50.0
median,activity_filtered,156,0.271747156993055,3.245192307692305,11.1111111111111,50.0
p95,launch,159,0.33199195171025,3.8061888180801433,6.901250000000338,28.95652173913044
p95,first_memory,159,0.38352272727273,3.6204689058862627,6.901250000000338,28.95652173913044
p95,activity_filtered,159,0.3169014084507,3.5338709677419047,6.901250000000338,28.95652173913044
ewma,launch,159,2.59349336257596,9.259541609215114,11.689595875897705,18.463806675108017
ewma,first_memory,159,2.50319015579212,7.631822007599968,9.927655197726372,21.43431669909532
ewma,activity_filtered,159,1.97646507609975,8.05206742371928,11.689595875897705,22.38336511144608
aegis_profile_risk,launch,159,0.98609157144403,7.855620961430278,9.879799546005716,18.46792528749903
aegis_profile_risk,first_memory,159,1.08115127760528,6.812962624521112,8.648159535325133,17.45039311219005
aegis_profile_risk,activity_filtered,159,0.98609157144403,5.504864575720655,8.465775725890927,18.46792528749903
