configuration_label,run_label,policy,estimator,submitted_job_count,completed_job_count,incomplete_job_count,completion_fraction,makespan_s,initial_queue_wait_mean_s,initial_queue_wait_p50_s,initial_queue_wait_p95_s,jct_mean_s,jct_p50_s,jct_p95_s,execution_span_mean_s,execution_span_p50_s,execution_span_p95_s,successful_attempt_runtime_mean_s,successful_attempt_runtime_p50_s,successful_attempt_runtime_p95_s,failed_attempt_count,recovered_attempt_count,recovery_stopped_job_count,total_failed_attempt_runtime_s,total_recovery_queue_wait_s
exclusive,exclusive,exclusive,,60,60,0,1.0,33743.977712,7197.593404883333,6119.891202000001,15054.093700999998,10427.558503949998,9638.432242,21829.3143576,3227.54111835,1750.189023,8747.967757249997,3227.54111835,1750.189023,8747.967757249997,0,0,0,0.0,0.0
fixed_smi50,OR-MAGM,OR-MAGM,,60,60,0,1.0,29050.194776,5207.175479,3975.918649,12522.5378616,8734.09096145,8089.685562000001,17831.565726299996,3524.2961215166665,1890.321589,9276.596877849996,3524.2961215166665,1890.321589,9276.596877849996,0,0,0,0.0,0.0
fixed_smi60,OR-MAGM,OR-MAGM,,60,60,0,1.0,25113.189408,5059.947291016667,3934.103868,12137.12345945,8644.436203966667,7907.0101275,17592.256566849992,3581.7068450000006,2316.815113,9132.026340149994,3581.7068450000006,2316.815113,9132.026340149994,0,0,0,0.0,0.0
fixed_smi70,OR-MAGM,OR-MAGM,,60,60,0,1.0,23758.248082,4733.022808799999,3947.987583,12173.73405735,8603.78166765,7898.237993000001,19731.9810464,3867.84446825,2498.7454855,10847.129297099991,3867.84446825,2498.7454855,10847.129297099991,0,0,0,0.0,0.0
fixed_smi80,OR-MAGM,OR-MAGM,,60,60,0,1.0,24867.495859,4632.051206166667,3877.489025,12013.4071496,8481.517675683333,8089.628990499999,17238.120101999997,3846.447851483333,3510.193634,8982.275569399999,3846.447851483333,3510.193634,8982.275569399999,0,0,0,0.0,0.0
horus_baseline,HORUS__horus,HORUS,horus,60,60,0,1.0,24439.400811,4792.06108765,3978.135212,10645.3729143,8576.569013183333,7831.042096499999,18559.4117244,3781.684272366666,2677.0512845000003,9577.045473599996,3781.684272366666,2677.0512845000003,9577.045473599996,0,0,0,0.0,0.0
lucid_baseline,LUCID,LUCID,,60,60,0,1.0,25557.528372,4236.703929866667,3734.8780455,11020.937683,8052.844448266667,7652.711203999999,17726.91259245,3813.3540268,2835.150982,8692.75787525,3813.3540268,2835.150982,8692.75787525,0,0,0,0.0,0.0
memory_only_interference,OR-MAGM,OR-MAGM,,60,60,0,1.0,29084.351803,2657.9395191333338,260.583204,8680.026289450001,10697.72694465,9134.723962,25738.38071085,8034.525587566668,5769.4111565,25097.4586833,8034.525587566668,5769.4111565,25097.4586833,0,0,0,0.0,0.0
