trace_name,repetition,configuration_label,experiment_name,run_label,policy,estimator,trace_csv,run_dir,git_commit,return_code,timed_out,expected_tasks,submitted_job_count,completed_job_count,incomplete_job_count,completion_fraction,makespan_s,total_attempt_count,failed_attempt_count,recovered_attempt_count,recovery_stopped_job_count,total_recovery_queue_wait_s,total_failed_attempt_runtime_s,risk_smact_threshold,risk_smocc_threshold,risk_drama_threshold,initial_queue_wait_mean_s,initial_queue_wait_p50_s,initial_queue_wait_p95_s,initial_queue_wait_p99_s,jct_mean_s,jct_p50_s,jct_p95_s,jct_p99_s,execution_span_mean_s,execution_span_p50_s,execution_span_p95_s,execution_span_p99_s,successful_attempt_runtime_mean_s,successful_attempt_runtime_p50_s,successful_attempt_runtime_p95_s,successful_attempt_runtime_p99_s,recovery_queue_wait_mean_s,recovery_queue_wait_p50_s,recovery_queue_wait_p95_s,recovery_queue_wait_p99_s,recovery_gap_mean_s,recovery_gap_p50_s,recovery_gap_p95_s,recovery_gap_p99_s,policy_key,policy_display,policy_order,trace_display,trace_order,total_queue_wait_mean_s,total_queue_wait_p95_s,total_execution_time_mean_s,total_execution_time_p95_s,makespan_s_vs_exclusive,jct_mean_s_vs_exclusive,jct_p95_s_vs_exclusive,total_queue_wait_mean_s_vs_exclusive,total_queue_wait_p95_s_vs_exclusive,total_execution_time_mean_s_vs_exclusive,total_execution_time_p95_s_vs_exclusive
philly_legacy,1,exclusive,legacy_zeus_philly_legacy_exclusive__philly_legacy__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/legacy_rtx2080ti/mapper_outputs/philly_legacy_rtx2080ti_seed42_60jobs.execution.csv,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/20260628-151203/exclusive,c22a056e78083fd18a4d47201d62d4952f7ba932,0,False,60,60,60,0,1.0,30774.7296,60,0,0,0,0.0,0.0,0.65,0.35,0.5,2482.5085817166664,3.6999805,10697.017403599995,12267.14396934,5487.914242100001,3316.704414,16874.40155195,18583.14050972,3003.38204425,1475.847719,8435.658154299994,14278.645441099972,3003.38204425,1475.847719,8435.658154299994,14278.645441099972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,exclusive,Exclusive,0,Philly-legacy,0,2482.5085817166664,10697.017403599995,3003.38204425,8435.658154299994,1.0,1.0,1.0,1.0,1.0,1.0,1.0
philly_legacy,1,memory_only_interference,legacy_zeus_philly_legacy_memory_only_interference__philly_legacy__rep01__memory_only_interference,OR-MAGM,OR-MAGM,,evaluation/experiments/traces/legacy_rtx2080ti/mapper_outputs/philly_legacy_rtx2080ti_seed42_60jobs.execution.csv,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__memory_only_interference/20260629-001510/OR-MAGM,c22a056e78083fd18a4d47201d62d4952f7ba932,0,False,60,60,60,0,1.0,33900.519695,61,1,1,0,5805.777193,47.654096,0.65,0.35,0.5,990.8329738333334,3.985962,6297.61790945,6406.7170222800005,5549.608726250001,4661.555737,16901.8856483,19821.39589104998,4556.113075316665,3675.224903,16622.2970578,17156.78572553,4458.519255399999,3675.224903,16622.2970578,17156.78572553,96.76295321666666,0.0,0.0,2380.36864912998,96.79958498333332,0.0,0.0,2381.2697905899804,memory_only_interference,Memory-only,1,Philly-legacy,0,990.8329738333334,6297.61790945,4556.113075316665,16622.2970578,1.101570026304959,1.0112418819661426,1.0016287449522514,0.3991256993553544,0.58872652738983,1.5169941779599374,1.970480163344095
philly_legacy,1,fixed_smi80,legacy_zeus_philly_legacy_fixed_smi80__philly_legacy__rep01__fixed_smi80,OR-MAGM,OR-MAGM,,evaluation/experiments/traces/legacy_rtx2080ti/mapper_outputs/philly_legacy_rtx2080ti_seed42_60jobs.execution.csv,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__fixed_smi80/20260629-101025/OR-MAGM,c22a056e78083fd18a4d47201d62d4952f7ba932,0,False,60,60,60,0,1.0,30369.682078,60,0,0,0,0.0,0.0,0.65,0.35,0.5,1385.0395166333333,3.39544,6630.0473353,7347.436650449999,5351.64970435,4350.680969,15418.6745335,17275.355203119987,3964.2135656333335,2982.3201075,11080.91135205,15526.667208729976,3964.2135656333335,2982.3201075,11080.91135205,15526.667208729976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_smi80,AEGIS-SMI80,2,Philly-legacy,0,1385.0395166333333,6630.0473353,3964.2135656333335,11080.91135205,0.9868383076873567,0.9751700679459129,0.9137316358172254,0.557919326778549,0.6198033606142129,1.319916516522716,1.313579942354778
philly_legacy,1,fixed_smi70,legacy_zeus_philly_legacy_fixed_smi70__philly_legacy__rep01__fixed_smi70,OR-MAGM,OR-MAGM,,evaluation/experiments/traces/legacy_rtx2080ti/mapper_outputs/philly_legacy_rtx2080ti_seed42_60jobs.execution.csv,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__fixed_smi70/20260629-190648/OR-MAGM,c22a056e78083fd18a4d47201d62d4952f7ba932,0,False,60,60,60,0,1.0,29777.814354,60,0,0,0,0.0,0.0,0.65,0.35,0.5,1484.101450183333,3.4603955,6529.57163935,7486.5685733999935,5310.983144566667,3567.1829005,15189.6220353,16901.519641749986,3824.5662457,2545.1780685000003,11070.12065545,14636.033006649974,3824.5662457,2545.1780685000003,11070.12065545,14636.033006649974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_smi70,AEGIS-SMI70,3,Philly-legacy,0,1484.101450183333,6529.57163935,3824.5662457,11070.12065545,0.9676060436937194,0.9677598647267437,0.9001576730609859,0.5978232909700839,0.6104104904188082,1.2734198278311493,1.312300765744889
philly_legacy,1,fixed_smi60,legacy_zeus_philly_legacy_fixed_smi60__philly_legacy__rep01__fixed_smi60,OR-MAGM,OR-MAGM,,evaluation/experiments/traces/legacy_rtx2080ti/mapper_outputs/philly_legacy_rtx2080ti_seed42_60jobs.execution.csv,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__fixed_smi60/20260630-035324/OR-MAGM,c22a056e78083fd18a4d47201d62d4952f7ba932,0,False,60,60,60,0,1.0,28567.05098,60,0,0,0,0.0,0.0,0.65,0.35,0.5,1449.38511675,3.437008,6635.16462725,8282.490423269997,5194.301247666665,3822.8906135,14290.89459105,16234.32458626999,3742.5815665666655,2359.566382,10978.6269624,15684.782136349986,3742.5815665666655,2359.566382,10978.6269624,15684.782136349986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_smi60,AEGIS-SMI60,4,Philly-legacy,0,1449.38511675,6635.16462725,3742.5815665666655,10978.6269624,0.9282632650653737,0.9464982538938179,0.8468978616547471,0.5838389149687222,0.6202817455468465,1.2461223751842925,1.3014547011727535
philly_legacy,1,fixed_smi50,legacy_zeus_philly_legacy_fixed_smi50__philly_legacy__rep01__fixed_smi50,OR-MAGM,OR-MAGM,,evaluation/experiments/traces/legacy_rtx2080ti/mapper_outputs/philly_legacy_rtx2080ti_seed42_60jobs.execution.csv,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__fixed_smi50/20260630-115643/OR-MAGM,c22a056e78083fd18a4d47201d62d4952f7ba932,0,False,60,60,60,0,1.0,33488.732531,60,0,0,0,0.0,0.0,0.65,0.35,0.5,1743.4595456833335,3.962578,8480.751301549999,8749.16631371,5317.712759466667,3509.297644,14270.186692299998,18058.54859378997,3571.9874718333326,2239.438664,10630.672687999995,14653.036585269996,3571.9874718333326,2239.438664,10630.672687999995,14653.036585269996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_smi50,AEGIS-SMI50,5,Philly-legacy,0,1743.4595456833335,8480.751301549999,3571.9874718333326,10630.672687999995,1.0881893347651055,0.9689861256709063,0.8456706833938618,0.7022974899356533,0.7928145745276501,1.189321711059681,1.2602066719098988
philly_legacy,1,horus_baseline,legacy_zeus_philly_legacy_horus_baseline__philly_legacy__rep01__horus_baseline,HORUS__horus,HORUS,horus,evaluation/experiments/traces/legacy_rtx2080ti/mapper_outputs/philly_legacy_rtx2080ti_seed42_60jobs.execution.csv,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__horus_baseline/20260630-214510/HORUS__horus,c22a056e78083fd18a4d47201d62d4952f7ba932,0,False,60,60,60,0,1.0,29745.733789,60,0,0,0,0.0,0.0,0.65,0.35,0.5,1838.1571736,3.4743890000000004,7895.309007649999,8523.969818669999,5064.1529365666665,2991.285626,15156.3993903,18202.61210844,3223.8528133499995,1654.386092,10643.892393849996,15079.82381867999,3223.8528133499995,1654.386092,10643.892393849996,15079.82381867999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,horus_baseline,Horus,6,Philly-legacy,0,1838.1571736,7895.309007649999,3223.8528133499995,10643.892393849996,0.9665636116263391,0.9227828120413234,0.8981888539062609,0.7404434317519683,0.7380850857541745,1.073407500561606,1.2617737939539875
philly_legacy,1,lucid_baseline,legacy_zeus_philly_legacy_lucid_baseline__philly_legacy__rep01__lucid_baseline,LUCID,LUCID,,evaluation/experiments/traces/legacy_rtx2080ti/mapper_outputs/philly_legacy_rtx2080ti_seed42_60jobs.execution.csv,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__lucid_baseline/20260701-063110/LUCID,c22a056e78083fd18a4d47201d62d4952f7ba932,0,False,60,60,60,0,1.0,34400.191618,60,0,0,0,0.0,0.0,0.65,0.35,0.5,1443.1637316666668,3.960678,7146.0274147,7917.371543049994,5204.772117900001,3200.251368,14894.97863975,23787.35975664,3759.3271539,2436.481155,8926.628328549983,21280.91542803,3759.3271539,2436.481155,8926.628328549983,21280.91542803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lucid_baseline,Lucid,7,Philly-legacy,0,1443.1637316666668,7146.0274147,3759.3271539,8926.628328549983,1.1178064621565351,0.9484062411128982,0.882696704466461,0.5813328269216747,0.6680392435647587,1.2516979520128861,1.0582017627160154
saturn_legacy,1,exclusive,final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/legacy_rtx2080ti/mapper_outputs/saturn_legacy_rtx2080ti_seed42_60jobs.execution.csv,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__saturn_legacy__rep01__exclusive/20260622-171258/exclusive,422ecfdb39ad61acef7ae126de9992fbb5ddfc7c,0,False,60,60,60,0,1.0,33743.977712,60,0,0,0,0.0,0.0,0.65,0.35,0.5,7197.593404883333,6119.891202000001,15054.093700999998,15960.3255398,10427.558503949998,9638.432242,21829.3143576,27355.72766840997,3227.54111835,1750.189023,8747.967757249997,14116.610819769983,3227.54111835,1750.189023,8747.967757249997,14116.610819769983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,exclusive,Exclusive,0,Saturn-legacy,1,7197.593404883333,15054.093700999998,3227.54111835,8747.967757249997,1.0,1.0,1.0,1.0,1.0,1.0,1.0
saturn_legacy,1,memory_only_interference,final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__aegis_estimator_free,OR-MAGM,OR-MAGM,,evaluation/experiments/traces/legacy_rtx2080ti/mapper_outputs/saturn_legacy_rtx2080ti_seed42_60jobs.execution.csv,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__saturn_legacy__rep01__memory_only_interference/20260623-030541/OR-MAGM,422ecfdb39ad61acef7ae126de9992fbb5ddfc7c,0,False,60,60,60,0,1.0,29084.351803,60,0,0,0,0.0,0.0,0.65,0.35,0.5,2657.9395191333338,260.583204,8680.026289450001,9422.92466958,10697.72694465,9134.723962,25738.38071085,27031.51392413,8034.525587566668,5769.4111565,25097.4586833,26657.04674507,8034.525587566668,5769.4111565,25097.4586833,26657.04674507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,memory_only_interference,Memory-only,1,Saturn-legacy,1,2657.9395191333338,8680.026289450001,8034.525587566668,25097.4586833,0.8619123700006788,1.0259090793494623,1.1790741701371412,0.36928169870362615,0.5765890967500363,2.489364284745075,2.8689473235083818
