policy,geomean,Philly-legacy,Saturn-legacy,Venus-gapfix600
Exclusive,1.0,1.0,1.0,1.0
Memory-only,0.11635431231761714,0.3991256993553544,0.36928169870362615,0.010687594645969163
AEGIS-SMI80,0.5660321800484359,0.557919326778549,0.6435555533081336,0.5050866839282465
AEGIS-SMI70,0.5852534561931914,0.5978232909700839,0.6575840760314131,0.5099268056867184
AEGIS-SMI60,0.6551653393112264,0.5838389149687222,0.7030054361758831,0.6851742269119268
AEGIS-SMI50,0.6726164983846634,0.7022974899356533,0.7234606327535953,0.5989168437516719
Horus,0.6473883331580192,0.7404434317519683,0.6657865786637437,0.5503863880052157
Lucid,0.5097563600406376,0.5813328269216747,0.5886278498299446,0.38709922818672965
