policy,mean_geomean,p95_geomean
Exclusive,1.0,1.0
Memory-only,1.7308108395007982,1.9552467768951278
AEGIS-SMI80,1.184862484768385,1.0520654754226058
AEGIS-SMI70,1.1723489596949115,1.1150238842259625
AEGIS-SMI60,1.1573117782005804,1.0448896979990856
AEGIS-SMI50,1.1132462863798247,1.0370583791517023
Horus,1.1122358976580549,1.044264740247595
Lucid,1.1947402614396898,0.9626261886792176
