policy,mean_geomean,p95_geomean
Exclusive,1.0,1.0
Memory-only,0.11635431231761714,0.15508852390364222
AEGIS-SMI80,0.5660321800484359,0.7553173963389901
AEGIS-SMI70,0.5852534561931914,0.7541544799864578
AEGIS-SMI60,0.6551653393112264,0.7473329425611335
AEGIS-SMI50,0.6726164983846634,0.8283026319826299
Horus,0.6473883331580192,0.759994673550891
Lucid,0.5097563600406376,0.6312518988941064
