policy,queue,execution,jct
Memory-only,0.11635431231761714,1.7308108395007982,0.9975611504520898
AEGIS-SMI80,0.5660321800484359,1.184862484768385,0.8900001868415042
AEGIS-SMI70,0.5852534561931914,1.1723489596949115,0.8921072221512789
AEGIS-SMI60,0.6551653393112264,1.1573117782005804,0.9185863357533637
AEGIS-SMI50,0.6726164983846634,1.1132462863798247,0.9074995149237709
Horus,0.6473883331580192,1.1122358976580549,0.8897227266690265
Lucid,0.5097563600406376,1.1947402614396898,0.8764377748306045
