policy,geomean,Philly-legacy,Saturn-legacy,Venus-gapfix600
Exclusive,1.0,1.0,1.0,1.0
Memory-only,1.7308108395007982,1.5169941779599374,2.489364284745075,1.3730186953779058
AEGIS-SMI80,1.184862484768385,1.319916516522716,1.191757970057941,1.0574730758443076
AEGIS-SMI70,1.1723489596949115,1.2734198278311493,1.198387356325096,1.0558491656559748
AEGIS-SMI60,1.1573117782005804,1.2461223751842925,1.1097323670445007,1.1209136861457407
AEGIS-SMI50,1.1132462863798247,1.189321711059681,1.0919446080731499,1.0623651364850444
Horus,1.1122358976580549,1.073407500561606,1.171692050913346,1.0939881418677206
Lucid,1.1947402614396898,1.2516979520128861,1.1815043982304034,1.153149495278067
