policy,geomean,Philly-legacy,Saturn-legacy,Venus-gapfix600
Exclusive,1.0,1.0,1.0,1.0
Memory-only,1.0755985777480996,1.0016287449522514,1.1790741701371412,1.0536654822248952
AEGIS-SMI80,0.81209700088603,0.9137316358172254,0.7896775784896994,0.7422586221550533
AEGIS-SMI70,0.8577082437834194,0.9001576730609859,0.9039212465933544,0.7754781587118897
AEGIS-SMI60,0.8167739809668702,0.8468978616547471,0.8059005554943207,0.7983497469981062
AEGIS-SMI50,0.8030517186729826,0.8456706833938618,0.816863298323973,0.7496868425153819
Horus,0.8439641101823255,0.8981888539062609,0.8502058937979624,0.7871910775609795
Lucid,0.8324624285677118,0.882696704466461,0.8120691425325631,0.804802675663317
