policy,mean_geomean,p95_geomean
Exclusive,1.0,1.0
Memory-only,0.9975611504520898,1.0755985777480996
AEGIS-SMI80,0.8900001868415042,0.81209700088603
AEGIS-SMI70,0.8921072221512789,0.8577082437834194
AEGIS-SMI60,0.9185863357533637,0.8167739809668702
AEGIS-SMI50,0.9074995149237709,0.8030517186729826
Horus,0.8897227266690265,0.8439641101823255
Lucid,0.8764377748306045,0.8324624285677118
