configuration_label,run_label,completion_fraction,makespan_s,makespan_s_vs_exclusive,makespan_reduction_percent,initial_queue_wait_mean_s,initial_queue_wait_mean_s_vs_exclusive,initial_queue_wait_p95_s,initial_queue_wait_p95_s_vs_exclusive,jct_mean_s,jct_mean_s_vs_exclusive,jct_p95_s,jct_p95_s_vs_exclusive,execution_span_mean_s,execution_span_mean_s_vs_exclusive,execution_span_p95_s,execution_span_p95_s_vs_exclusive,successful_attempt_runtime_mean_s,successful_attempt_runtime_mean_s_vs_exclusive,failed_attempt_count,recovered_attempt_count
exclusive,exclusive,1.0,30774.7296,1.0,0.0,2482.5085817166664,1.0,10697.017403599995,1.0,5487.914242100001,1.0,16874.40155195,1.0,3003.38204425,1.0,8435.658154299994,1.0,3003.38204425,1.0,0,0
fixed_smi60,fixed_smi60,1.0,28567.05098,0.9282632650653737,7.173673493462629,1449.38511675,0.5838389149687222,6635.16462725,0.6202817455468465,5194.301247666665,0.9464982538938179,14290.89459105,0.8468978616547471,3742.5815665666655,1.2461223751842925,10978.6269624,1.3014547011727535,3742.5815665666655,1.2461223751842925,0,0
fixed_smi70,fixed_smi70,1.0,29777.814354,0.9676060436937194,3.2393956306280614,1484.101450183333,0.5978232909700839,6529.57163935,0.6104104904188082,5310.983144566667,0.9677598647267437,15189.6220353,0.9001576730609859,3824.5662457,1.2734198278311493,11070.12065545,1.312300765744889,3824.5662457,1.2734198278311493,0,0
fixed_smi80,fixed_smi80,1.0,30369.682078,0.9868383076873567,1.3161692312643303,1385.0395166333333,0.557919326778549,6630.0473353,0.6198033606142129,5351.64970435,0.9751700679459129,15418.6745335,0.9137316358172254,3964.2135656333335,1.319916516522716,11080.91135205,1.313579942354778,3964.2135656333335,1.319916516522716,0,0
memory_only_interference,memory_only_interference,1.0,33900.519695,1.101570026304959,-10.157002630495903,990.8329738333334,0.3991256993553544,6297.61790945,0.58872652738983,5549.608726250001,1.0112418819661426,16901.8856483,1.0016287449522514,4556.113075316665,1.5169941779599374,16622.2970578,1.970480163344095,4458.519255399999,1.4844995374251075,1,1
