trace,policy,configuration_label,matched_jobs,mean_slowdown,p50_slowdown,p95_slowdown,worst_slowdown,failed_attempt_count,recovered_attempt_count
philly,OR-LUG,or_lug,60,2.18158459545354,1.596871747521841,5.43946482598949,6.243514307506525,3,3
saturn,OR-LUG,or_lug,60,2.0322705708833584,1.858827344463529,4.082347240131365,5.913302534708768,5,5
venus,OR-LUG,or_lug,60,1.8726549249676026,1.5570363984374915,3.3050504777428076,5.731699220023493,5,5
philly,OR-MAGM,or_magm,60,2.116555099801259,1.8052678904457702,3.868403595734626,5.41223230481059,3,3
saturn,OR-MAGM,or_magm,60,1.8914941147713964,1.4471009387741363,3.8193858937930525,5.264858754597715,3,3
venus,OR-MAGM,or_magm,60,1.3811685014892723,1.2377155388386496,2.454365303557119,2.64298430371456,6,6
philly,OR-RR,or_rr,60,2.216127805145547,1.776559091659214,4.8124978786620565,8.336665654383346,8,8
saturn,OR-RR,or_rr,60,2.5433849322020436,1.9421842687949353,5.189120521418997,12.187517607391587,7,7
venus,OR-RR,or_rr,60,1.7182144790355707,1.21287847207402,4.780300757015664,5.903334062586803,13,13
