policy,trace_count,matched_jobs_min,mean_slowdown_geomean,p95_slowdown_geomean,worst_slowdown,failed_attempt_count,recovered_attempt_count
OR-LUG,3,60,2.024900936380164,4.1867921772991545,6.243514307506525,13,13
OR-MAGM,3,60,1.7683181838937516,3.30995056086455,5.41223230481059,12,12
OR-RR,3,60,2.1315462339563163,4.9238692280040794,12.187517607391587,28,28
