risk_component,summary_window_seconds,total_n,weighted_mean_abs_error,weighted_median_abs_error,weighted_p95_abs_error,weighted_mean_abs_relative_error
mean,5.0,150,0.051650381192640066,0.021790908704789197,0.1979874902404584,0.21981673916304753
mean,10.0,150,0.025749941239427237,0.012405017073820168,0.09795725854017556,0.11333264580440307
mean,20.0,150,0.013324972629020866,0.0066912555968538,0.049029365021657,0.06497400203520544
mean,30.0,150,0.008418680882607233,0.0038793402575537663,0.03121848592602487,0.04536973573704993
mean,40.0,150,0.007412775086648399,0.0046182549307091005,0.022479494192236497,0.03959488374549774
mean,60.0,150,0.004590867571627566,0.002809168815786433,0.0148218469916924,0.028000375155372167
mean,120.0,150,0.0023282177660673333,0.0015580224728713335,0.0070212577487990336,0.017651343424589568
mean,200.0,150,0.0,0.0,0.0,0.0
median,5.0,150,0.069363,0.014691666666666601,0.2687999999999999,0.22065008251281787
median,10.0,150,0.019094999999999966,0.0060833333333333,0.061391666666666504,0.09391129440283455
median,20.0,150,0.006577666666666601,0.0031666666666666328,0.0237833333333333,0.058909492190584556
median,30.0,150,0.004649999999999967,0.0021666666666666666,0.017333333333333232,0.04695899562241537
median,40.0,150,0.0045873333333333,0.0019999999999999666,0.019333333333333265,0.03979384301575427
median,60.0,150,0.003925999999999967,0.001833333333333333,0.016083333333333297,0.033864679695559737
median,120.0,150,0.0019319999999999667,0.0009999999999999666,0.005049999999999934,0.01878832251257523
median,200.0,150,0.0,0.0,0.0,0.0
p95,5.0,150,0.017148884480255235,0.006408333333333301,0.07253833333333323,0.07533485223795211
p95,10.0,150,0.008266685050158866,0.0031249999999999334,0.03315499999999996,0.044742951298636605
p95,20.0,150,0.0058037154895503665,0.0023583333333333,0.023828333333333233,0.030149679586408004
p95,30.0,150,0.003162999999999967,0.0016833333333332668,0.009908333333333302,0.02102983863339187
p95,40.0,150,0.0031254198180294336,0.0015999999999999333,0.010339999999999967,0.0212839926918992
p95,60.0,150,0.0025813683310153333,0.0014516513541087332,0.009875000000000002,0.0186058799364223
p95,120.0,150,0.0017306745621343,0.0009501714047682335,0.005860833333333233,0.014319656738021666
p95,200.0,150,0.0,0.0,0.0,0.0
ewma,5.0,150,0.0404694642011965,0.020598775444295527,0.1346108491167854,0.19489684617419875
ewma,10.0,150,0.022050605403064503,0.012820742456884866,0.06411018383567774,0.11448305898457155
ewma,20.0,150,0.011449716561630968,0.006428935300171433,0.038488807810563706,0.06026148336209064
ewma,30.0,150,0.009708518049848066,0.004144832016101134,0.03208175173638763,0.05613787807244236
ewma,40.0,150,0.0087939664893474,0.004890276098103534,0.029399571234491363,0.04941906378439698
ewma,60.0,150,0.0069530139702357,0.0028585976033575333,0.029013474000836266,0.0414618610614194
ewma,120.0,150,0.005927432821405167,0.0027309015185671,0.025901522379214798,0.04001297862226334
ewma,200.0,150,0.0,0.0,0.0,0.0
risk,5.0,150,0.042318456773424364,0.019013465698446967,0.13891032834308384,0.16384826145436526
risk,10.0,150,0.017523406349604132,0.0105834829449044,0.05457862789909936,0.07708083226646167
risk,20.0,150,0.008246927394193701,0.0057077613039820336,0.02383006397893,0.043729866594739326
risk,30.0,150,0.005601540623434933,0.0033442536332245667,0.016284412052072803,0.0328862990758723
risk,40.0,150,0.005244261997494234,0.0035143110581611,0.016120692293007798,0.030053934257797933
risk,60.0,150,0.0038616553590227008,0.0022746590822535335,0.012962909014284698,0.025498646036228666
risk,120.0,150,0.0027301947337713,0.0016851796342345334,0.009870685402723766,0.02015899224522597
risk,200.0,150,0.0,0.0,0.0,0.0
