metric,summary_window_seconds,reference_window_seconds,n,mean_abs_error,median_abs_error,p95_abs_error,mean_abs_relative_error
drama_ewma,5.0,200.0,50,0.018793248272892277,0.012792169856326446,0.0657247179456086,0.13711979267406404
drama_ewma,10.0,200.0,50,0.009708108341247645,0.006189500490884556,0.032972643188705776,0.0847426095903533
drama_ewma,20.0,200.0,50,0.0054129002488227185,0.002870491985491299,0.022098792340479116,0.055977408355504944
drama_ewma,30.0,200.0,50,0.004205372908851022,0.0021805261853082058,0.012746763527294803,0.053579187779138435
drama_ewma,40.0,200.0,50,0.003364254092524021,0.001674847630281303,0.011087235805246771,0.04220379644118459
drama_ewma,60.0,200.0,50,0.002667889649500549,0.0011892775671443895,0.00933225647029587,0.03687846055853475
drama_ewma,120.0,200.0,50,0.002655300889650216,0.0010286071333603332,0.008781971733017205,0.039437443993118666
drama_ewma,200.0,200.0,50,0.0,0.0,0.0,0.0
drama_mean,5.0,200.0,50,0.03937058085639804,0.014273129133310147,0.1309575,0.2028009790451515
drama_mean,10.0,200.0,50,0.02027172068323786,0.008737817108512812,0.06728525753768842,0.12741033125783388
drama_mean,20.0,200.0,50,0.010848114139265846,0.006367043760413943,0.03260907698213287,0.08147205901276842
drama_mean,30.0,200.0,50,0.006735153047080604,0.003808595363652245,0.020503827508960515,0.05875350771167897
drama_mean,40.0,200.0,50,0.004839113830923788,0.002569223671892197,0.014918604768245976,0.043218445477701095
drama_mean,60.0,200.0,50,0.002874730972294679,0.0018082283142389225,0.0090590577889448,0.03134810574188864
drama_mean,120.0,200.0,50,0.0013459658369930412,0.0008403887009673615,0.00430683656920972,0.01976156882008904
drama_mean,200.0,200.0,50,0.0,0.0,0.0,0.0
drama_median,5.0,200.0,50,0.015242000000000004,0.00375,0.07342499999999991,0.175838722085192
drama_median,10.0,200.0,50,0.0051699999999999975,0.0020000000000000018,0.023199999999999985,0.10394102342024332
drama_median,20.0,200.0,50,0.004059999999999999,0.0010000000000000009,0.020574999999999993,0.0868825533165102
drama_median,30.0,200.0,50,0.002600000000000001,0.0010000000000000009,0.01319999999999999,0.062720444140273
drama_median,40.0,200.0,50,0.001988,0.001,0.008199999999999992,0.0542983650482121
drama_median,60.0,200.0,50,0.0013920000000000043,0.001,0.004500000000000001,0.04174763792800722
drama_median,120.0,200.0,50,0.0011230000000000042,0.0005000000000000004,0.0035000000000000014,0.03905874180851361
drama_median,200.0,200.0,50,0.0,0.0,0.0,0.0
drama_p95,5.0,200.0,50,0.010019536225889254,0.003649999999999985,0.04206999999999994,0.07831290012706557
drama_p95,10.0,200.0,50,0.006115312180435475,0.002000000000000001,0.025760000000000026,0.05823287005566108
drama_p95,20.0,200.0,50,0.0037993670168389028,0.001899999999999999,0.014539999999999996,0.03803646201518639
drama_p95,30.0,200.0,50,0.002320999999999993,0.001074999999999951,0.008204999999999926,0.03497610819093194
drama_p95,40.0,200.0,50,0.002090422108325741,0.0010000000000000009,0.00758999999999999,0.03382634036305002
drama_p95,60.0,200.0,50,0.0021112161303131582,0.001,0.010155000000000013,0.033501636537404074
drama_p95,120.0,200.0,50,0.0015963373600713388,0.0009250000000000074,0.006854999999999883,0.025348138664150744
drama_p95,200.0,200.0,50,0.0,0.0,0.0,0.0
drama_risk,5.0,200.0,50,0.021237933309479085,0.014254150361472151,0.07787547716843148,0.1417281680930838
drama_risk,10.0,200.0,50,0.009705880294173172,0.006925898769847047,0.0275956591387879,0.08110603700436021
drama_risk,20.0,200.0,50,0.005593073308251798,0.003360820352950551,0.013558046663819611,0.05465760626276887
drama_risk,30.0,200.0,50,0.003497834130619606,0.00239512934402265,0.01004566368579146,0.04346174623629044
drama_risk,40.0,200.0,50,0.002741347742802997,0.0021657862640538025,0.007230294212224322,0.03486648302260699
drama_risk,60.0,200.0,50,0.0018349883103599576,0.0014558245144695586,0.005829383539847908,0.02981962748007023
drama_risk,120.0,200.0,50,0.0016165494343530849,0.000806353379006751,0.006536682350984749,0.027458756752356386
drama_risk,200.0,200.0,50,0.0,0.0,0.0,0.0
smact_ewma,5.0,200.0,50,0.06858147055595304,0.03301751052560375,0.21236336617963708,0.2222291768994176
smact_ewma,10.0,200.0,50,0.037252269852296044,0.021814414549517602,0.10020365124307976,0.12503102858219636
smact_ewma,20.0,200.0,50,0.019292481121015052,0.011008563212451597,0.05992024891802907,0.0630593425065432
smact_ewma,30.0,200.0,50,0.016237682441839017,0.006550201077877765,0.053100367720508794,0.0555893237336287
smact_ewma,40.0,200.0,50,0.015415980810887086,0.009271249996442632,0.04831350352823895,0.05401088945725533
smact_ewma,60.0,200.0,50,0.011964925386971055,0.004806955675289902,0.04919510948480958,0.044333433479882424
smact_ewma,120.0,200.0,50,0.010024505670899042,0.004733444139840927,0.046542440790069875,0.040187147472357354
smact_ewma,200.0,200.0,50,0.0,0.0,0.0,0.0
smact_mean,5.0,200.0,50,0.07776112480779789,0.03448735595895816,0.29512366709580956,0.2260608228416367
smact_mean,10.0,200.0,50,0.03797391448338552,0.01903648589332199,0.1472989195979899,0.10343175469044208
smact_mean,20.0,200.0,50,0.019698076688327366,0.00929432449903042,0.07684641959798989,0.05778456483670647
smact_mean,30.0,200.0,50,0.01233180116303493,0.005067043380896842,0.04840192630853993,0.03810391930686316
smact_mean,40.0,200.0,50,0.011677445690031278,0.0075340853658536905,0.03499859297520653,0.03786633537758871
smact_mean,60.0,200.0,50,0.00737396988135723,0.0042848472449535935,0.025418407453936268,0.026831332889697877
smact_mean,120.0,200.0,50,0.0038653436107325585,0.0026781738409972985,0.012065992462311553,0.017138140965986894
smact_mean,200.0,200.0,50,0.0,0.0,0.0,0.0
smact_median,5.0,200.0,50,0.129985,0.026574999999999988,0.49312499999999987,0.24187374113067506
smact_median,10.0,200.0,50,0.034425,0.010499999999999954,0.12279999999999977,0.08402421179300595
smact_median,20.0,200.0,50,0.010902999999999994,0.005499999999999949,0.03600000000000002,0.04502357380324123
smact_median,30.0,200.0,50,0.007719999999999994,0.003500000000000031,0.027749999999999938,0.03819353899750977
smact_median,40.0,200.0,50,0.008457999999999999,0.0034999999999999892,0.036249999999999984,0.03461724807926123
smact_median,60.0,200.0,50,0.007439999999999999,0.0030000000000000027,0.033275,0.030773484755051466
smact_median,120.0,200.0,50,0.0033279999999999937,0.0014999999999999736,0.008649999999999968,0.009182311493483133
smact_median,200.0,200.0,50,0.0,0.0,0.0,0.0
smact_p95,5.0,200.0,50,0.025368400735342952,0.009850000000000053,0.08775500000000004,0.06800954927011305
smact_p95,10.0,200.0,50,0.011316372916921953,0.0045249999999999735,0.05419500000000005,0.0350790350532463
smact_p95,20.0,200.0,50,0.008441715762966713,0.003275000000000028,0.03788499999999997,0.024947849544647415
smact_p95,30.0,200.0,50,0.004432000000000004,0.0021749999999999964,0.01213000000000002,0.013497321583090744
smact_p95,40.0,200.0,50,0.004657272992842181,0.002449999999999952,0.014610000000000052,0.014306129394953779
smact_p95,60.0,200.0,50,0.003679047017709319,0.0023249999999999937,0.012707500000000026,0.01112844854841627
smact_p95,120.0,200.0,50,0.002522821397091193,0.0011249999999999871,0.007649999999999998,0.00927212206792371
smact_p95,200.0,200.0,50,0.0,0.0,0.0,0.0
smact_risk,5.0,200.0,50,0.07065773933730857,0.029932803678043615,0.21471929515609886,0.1760922204541463
smact_risk,10.0,200.0,50,0.028028130741746954,0.016085450859533626,0.09314049268982874,0.07238363598045469
smact_risk,20.0,200.0,50,0.012783952966290679,0.009255491652189377,0.03744615496976593,0.03818760896393987
smact_risk,30.0,200.0,50,0.008735149043710288,0.005327780904864202,0.025406585241911653,0.02709359324195639
smact_risk,40.0,200.0,50,0.008873294148331374,0.005431989697167863,0.029272895740099246,0.02898122199353151
smact_risk,60.0,200.0,50,0.006645639603571133,0.003706173874124641,0.024008363228967818,0.02426653441862826
smact_risk,120.0,200.0,50,0.0044903468679196095,0.0029231500406667194,0.01562575638670438,0.017455136208397684
smact_risk,200.0,200.0,50,0.0,0.0,0.0,0.0
smocc_ewma,5.0,200.0,50,0.03403367377474432,0.015986645950956502,0.12574446322511054,0.2253415689491147
smocc_ewma,10.0,200.0,50,0.019191438015649993,0.010458312330252552,0.059154257075247824,0.133675538781165
smocc_ewma,20.0,200.0,50,0.009643768315055236,0.0054077507025716495,0.03344738217318307,0.061747699224223844
smocc_ewma,30.0,200.0,50,0.008682498798854242,0.003703768785117599,0.03039812396135943,0.05924512270456006
smocc_ewma,40.0,200.0,50,0.007601664564631277,0.0037247306675867037,0.02879797436998853,0.05204250545475112
smocc_ewma,60.0,200.0,50,0.006226226874235657,0.0025795595676384453,0.028513056047403586,0.043173689145841146
smocc_ewma,120.0,200.0,50,0.0051024919036663195,0.002430653282500167,0.02238015461455744,0.040414344401314126
smocc_ewma,200.0,200.0,50,0.0,0.0,0.0,0.0
smocc_mean,5.0,200.0,50,0.037819437913724455,0.016612241022099447,0.16788130362556575,0.23058841560235435
smocc_mean,10.0,200.0,50,0.01900418855165847,0.009440748219625802,0.07928759848484847,0.10915585146493345
smocc_mean,20.0,200.0,50,0.009428727059469507,0.0044123985311171066,0.03763259848484847,0.05566538225614151
smocc_mean,30.0,200.0,50,0.006189088437706297,0.0027623820281123986,0.02474970396057423,0.039251780192607826
smocc_mean,40.0,200.0,50,0.005721765738990307,0.003751455754381655,0.017521284833257184,0.03769987038120351
smocc_mean,60.0,200.0,50,0.003523901861230926,0.0023344308881669967,0.009988075732196278,0.025821686834530132
smocc_mean,120.0,200.0,50,0.0017733438504765886,0.0011555048766495012,0.004690944214875999,0.016054320487692918
smocc_mean,200.0,200.0,50,0.0,0.0,0.0,0.0
smocc_median,5.0,200.0,50,0.06286200000000002,0.013749999999999978,0.23984999999999998,0.24423778432258667
smocc_median,10.0,200.0,50,0.017690000000000004,0.005750000000000054,0.038174999999999966,0.09376864799525447
smocc_median,20.0,200.0,50,0.004770000000000001,0.0030000000000000027,0.014775000000000012,0.04482234945200237
smocc_median,30.0,200.0,50,0.00363,0.0020000000000000018,0.011049999999999999,0.03996300372946341
smocc_median,40.0,200.0,50,0.003316000000000003,0.0015000000000000013,0.013550000000000003,0.03046591591978956
smocc_median,60.0,200.0,50,0.002946000000000002,0.0015000000000000013,0.010474999999999991,0.029072916403620603
smocc_median,120.0,200.0,50,0.001345000000000002,0.0010000000000000009,0.0029999999999999966,0.008123914235729016
smocc_median,200.0,200.0,50,0.0,0.0,0.0,0.0
smocc_p95,5.0,200.0,50,0.016058716479533646,0.005725000000000008,0.08778999999999987,0.07968210731667785
smocc_p95,10.0,200.0,50,0.0073683700531193405,0.0028499999999999984,0.019509999999999986,0.04091694878700257
smocc_p95,20.0,200.0,50,0.00517006368884553,0.0019000000000000059,0.019059999999999924,0.027464727199390394
smocc_p95,30.0,200.0,50,0.0027360000000000075,0.0018000000000000516,0.009390000000000055,0.014616086126153043
smocc_p95,40.0,200.0,50,0.002628564352920594,0.0013499999999999832,0.008820000000000001,0.01571950831769395
smocc_p95,60.0,200.0,50,0.001953841845023617,0.0010299540623263485,0.006762500000000033,0.011187554723446768
smocc_p95,120.0,200.0,50,0.001072864929240539,0.0008005142143048954,0.003077500000000055,0.008338709481990694
smocc_p95,200.0,200.0,50,0.0,0.0,0.0,0.0
smocc_risk,5.0,200.0,50,0.03505969767348565,0.012853443055825298,0.12413621270472137,0.17372439581586574
smocc_risk,10.0,200.0,50,0.01483620801289248,0.008739099205332647,0.04299973186868153,0.07775282381457027
smocc_risk,20.0,200.0,50,0.006363755908038812,0.004506971906806351,0.020485990303204516,0.03834438455750942
smocc_risk,30.0,200.0,50,0.004571638695975097,0.0023098506507869473,0.013400987228515451,0.02810355774937028
smocc_risk,40.0,200.0,50,0.00411814410134851,0.0029451572132617176,0.011858886926699907,0.026314097757255447
smocc_risk,60.0,200.0,50,0.003104338163137176,0.0016619788581665115,0.009050980274038455,0.02240977620998763
smocc_risk,120.0,200.0,50,0.0020836878990413243,0.0013260354830302024,0.007449617470482325,0.015563083774924007
smocc_risk,200.0,200.0,50,0.0,0.0,0.0,0.0
