row_index,run_id,task_path,finish_status,return_code,total_runtime_seconds,ttfk_wait_seconds,base_metric,mean_w40s,mean_w200s,mean_abs_error,mean_relative_error,median_w40s,median_w200s,median_abs_error,median_relative_error,p95_w40s,p95_w200s,p95_abs_error,p95_relative_error,ewma_w40s,ewma_w200s,ewma_abs_error,ewma_relative_error,risk_w40s,risk_w200s,risk_abs_error,risk_relative_error
2,solo_0003_dlrm_criteo_bs32768_1gpu_12f420cd,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/dlrm_criteo_bs32768_1gpu.yaml,completed,0,1523.408148114002,6.114486352991662,smact,0.14175,0.1209399999999999,0.020810000000000092,0.17206879444352663,0.0385,0.0,0.0385,,0.5707999999999999,0.5206499999999998,0.05015000000000003,0.09632190531066943,0.1361036104719863,0.0972402173508928,0.03886339312109349,0.39966378294748506,0.2217884026179965,0.1847075543377231,0.037080848280273415,0.20075436769886534
9,solo_0010_efficientnet_imagenet_bs128_1gpu_c495ca3c,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs128_1gpu.yaml,completed,0,1682.8490802990127,8.214838965999661,smact,0.5398,0.6002462311557789,0.06044623115577896,0.10070239181575412,0.618,0.634,0.016000000000000014,0.025236593059936932,0.66305,0.667,0.003950000000000009,0.005922038980509759,0.4866999643427607,0.5323637275758182,0.045663763233057486,0.08577549684121585,0.5768874910856903,0.6084024896828992,0.031514998597208965,0.051799588482346046
12,solo_0013_gpt2_xl_wiki_bs2_1gpu_c7de8d6f,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_xl_wiki_bs2_1gpu.yaml,completed,0,14544.846102806989,37.90996389799693,smact,0.7968,0.8570350000000001,0.06023500000000015,0.07028301061216886,0.9325,0.948,0.015499999999999958,0.01635021097046409,0.958,0.958,0.0,0.0,0.7036820404865738,0.7463818489971129,0.04269980851053912,0.0572090660670719,0.8477455101216435,0.8773542122492783,0.02960870212763489,0.03374771752873549
13,solo_0014_inception_imagenet_bs128_1gpu_8fa1e322,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs128_1gpu.yaml,completed,0,3040.002379544981,9.267761677998353,smact,0.426275,0.4386130653266331,0.012338065326633063,0.028129725952064297,0.6365000000000001,0.643,0.00649999999999995,0.010108864696733982,0.686,0.686,0.0,0.0,0.3653902158701472,0.4620020133870701,0.09661179751692289,0.20911553352037132,0.5285413039675368,0.5574037696784259,0.028862465710889018,0.05178017674250783
0,solo_0001_bert_base_wiki_bs32_1gpu_7b6b39ce,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/bert_base_wiki_bs32_1gpu.yaml,completed,0,908.3378549049958,15.384848839996266,smact,0.848625,0.8867449999999999,0.03811999999999993,0.04298868333060794,0.9105,0.956,0.045499999999999985,0.04759414225941421,0.972,0.973,0.0010000000000000009,0.001027749229188079,0.7604755482777883,0.7736036201096465,0.013128071831858157,0.016970023782977454,0.8729001370694471,0.8973371550274115,0.02443701795796438,0.027232816362338062
10,solo_0011_efficientnet_imagenet_bs32_1gpu_d1224a6f,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs32_1gpu.yaml,completed,0,2194.621616340999,8.310408464007196,smact,0.4419,0.4674773869346734,0.025577386934673374,0.05471363460463518,0.472,0.471,0.0010000000000000009,0.0021231422505307877,0.48305,0.488,0.00495000000000001,0.010143442622950841,0.3918785252775995,0.4462547705475337,0.05437624526993423,0.12185022740085696,0.4472071313193999,0.4681830393705518,0.020975908051151904,0.044802793538512076
11,solo_0012_efficientnet_imagenet_bs64_1gpu_98934577,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs64_1gpu.yaml,completed,0,1698.974163564999,8.356203388990252,smact,0.573175,0.6016633165829145,0.028488316582914508,0.047349266271892725,0.604,0.603,0.0010000000000000009,0.0016583747927031525,0.6491,0.648,0.0010999999999999899,0.0016975308641975152,0.5177220549397181,0.5682035278003783,0.05048147286066018,0.0888439976007952,0.5859992637349296,0.6052167110958233,0.019217447360893702,0.03175300187283002
9,solo_0010_efficientnet_imagenet_bs128_1gpu_c495ca3c,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs128_1gpu.yaml,completed,0,1682.8490802990127,8.214838965999661,smocc,0.334275,0.3707587939698492,0.03648379396984919,0.09840304414415621,0.3805,0.39,0.009500000000000008,0.02435897435897438,0.412,0.413,0.0010000000000000009,0.002421307506053271,0.3015042769392789,0.3285467178807763,0.02704244094149738,0.08230927131437848,0.3570698192348197,0.3755763779626564,0.01850655872783674,0.0492750870761016
15,solo_0016_inception_imagenet_bs64_1gpu_db9abfc5,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs64_1gpu.yaml,completed,0,3072.5587011459866,8.898236471985001,smact,0.4109268292682926,0.418755,0.007828170731707385,0.018693915849858234,0.631,0.635,0.0040000000000000036,0.006299212598425202,0.647,0.66405,0.01705000000000001,0.02567577742639863,0.3648335511092184,0.3962350307426912,0.031401479633472784,0.07924963013647426,0.5134400950943778,0.5285100076856728,0.015069912591294976,0.028513958812786927
49,solo_0001_llama3_width_8layer_wiki_bs1_1gpu_629fcf11,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/llama3_width_8layer_wiki_bs1_1gpu.yaml,completed,0,2366.6501908859937,55.475079863972496,smact,0.5477916666666667,0.5789752066115702,0.031183539944903527,0.05385988827985222,0.875,0.875,0.0,0.0,0.878,0.877,0.0010000000000000009,0.0011402508551881423,0.473691915868342,0.5034291742320287,0.029737258363686736,0.05906939821088108,0.6936208956337522,0.7086010952108996,0.014980199577147468,0.021140525576931177
44,solo_0045_vgg16_imagenet_bs32_1gpu_14bb04eb,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs32_1gpu.yaml,completed,0,3035.353127323993,9.899930458981544,smact,0.5153333333333333,0.5425971223021583,0.027263788968824976,0.050246836645850244,0.815,0.817,0.0020000000000000018,0.002447980416156673,0.8247,0.8271,0.0023999999999999577,0.00290170475154148,0.4462193000089359,0.4714738221327357,0.025254522123799805,0.053565056930541116,0.6503131583355674,0.6645427361087235,0.014229577773156143,0.02141258492490405
23,solo_0024_mobilenet_cifar100_bs64_50e_1gpu_31f93c83,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs64_50e_1gpu.yaml,completed,0,1082.9942204820109,8.12868988601258,smact,0.0856666666666666,0.0747944444444444,0.0108722222222222,0.14536136076654513,0.127,0.0935,0.0335,0.358288770053476,0.14425,0.143,0.0012500000000000011,0.00874125874125875,0.0921888749726145,0.0809286041708161,0.011260270801798408,0.1391383296075556,0.1122763854098203,0.0980557621538151,0.014220623256005191,0.14502588061778582
48,solo_0049_xception_imagenet_bs64_1gpu_8476da21,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs64_1gpu.yaml,completed,0,2955.527791539993,8.934156973002246,smact,0.50512,0.5275396825396825,0.022419682539682517,0.0424985707838122,0.784,0.7865,0.0024999999999999467,0.0031786395422758384,0.8006000000000001,0.803,0.0023999999999999577,0.0029887920298878675,0.4309338585477859,0.4599177689029033,0.028983910355117437,0.06301976639053589,0.6301634646369465,0.6442393628606465,0.014075898223700034,0.021848864001724696
13,solo_0014_inception_imagenet_bs128_1gpu_8fa1e322,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs128_1gpu.yaml,completed,0,3040.002379544981,9.267761677998353,smocc,0.197075,0.2027939698492462,0.0057189698492461916,0.02820088710476738,0.294,0.298,0.0040000000000000036,0.01342281879194632,0.31815,0.3181,4.999999999999449e-05,0.00015718327569944827,0.1690044814634183,0.2122189258371193,0.043214444373701005,0.20363143486490284,0.2445573703658546,0.2577782239215914,0.013220853555736795,0.05128770520103433
24,solo_0025_mobilenet_imagenet_bs128_1gpu_7fcf3ffc,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs128_1gpu.yaml,completed,0,1558.3202043180063,8.371390706015518,smact,0.3241666666666666,0.3352375690607734,0.011070902394106796,0.0330240504521133,0.4475,0.472,0.024499999999999966,0.05190677966101688,0.59625,0.603,0.006750000000000034,0.011194029850746325,0.2802777464970279,0.2906988887520358,0.010421142255007898,0.035848579606704525,0.4120486032909236,0.4252341144532023,0.013185511162278729,0.031007651348090078
22,solo_0023_mobilenet_cifar100_bs64_20e_1gpu_edfd5f73,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs64_20e_1gpu.yaml,completed,0,442.8693032099982,8.257337496004766,smact,0.0896285714285714,0.0814,0.008228571428571405,0.10108810108810079,0.138,0.098,0.04000000000000001,0.4081632653061225,0.145,0.147,0.0020000000000000018,0.013605442176870762,0.0943403449951468,0.0882989286986775,0.006041416296469301,0.06842004071290377,0.1167422291059295,0.1036747321746694,0.013067496931260109,0.12604321860455078
47,solo_0048_xception_imagenet_bs32_1gpu_b892e081,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs32_1gpu.yaml,completed,0,3005.0821303559933,8.900245321012335,smact,0.4988461538461538,0.5150000000000001,0.016153846153846352,0.031366691560866695,0.7605,0.768,0.007500000000000062,0.009765625000000082,0.77575,0.775,0.0007500000000000284,0.0009677419354839076,0.5138448865665369,0.5393007761050732,0.02545588953853628,0.04720165567419219,0.6372352601031727,0.6493251940262683,0.012089933923095653,0.018619228137644935
