run_id,task_id,task_path,finish_status,return_code,window_seconds,summary_windows_collected,total_runtime_seconds,ttfk_wait_seconds,row_index,summary_window_seconds,metric,value
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,10.0,smocc_risk,0.1806755580512088
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,10.0,drama_mean,0.1505
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,10.0,drama_median,0.1985
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,10.0,drama_p95,0.20975
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,10.0,drama_ewma,0.1561150116023085
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,10.0,drama_risk,0.1787162529005771
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,20.0,smact_mean,0.4849166666666666
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,20.0,smact_median,0.7125
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,20.0,smact_p95,0.886
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,20.0,smact_ewma,0.4807542349392965
