configuration_label,run_label,policy,estimator,submitted_job_count,completed_job_count,incomplete_job_count,completion_fraction,makespan_s,total_queue_wait_mean_s,total_queue_wait_p50_s,total_queue_wait_p95_s,jct_mean_s,jct_p50_s,jct_p95_s,total_execution_time_mean_s,execution_span_p50_s,total_execution_time_p95_s,successful_attempt_runtime_mean_s,successful_attempt_runtime_p50_s,successful_attempt_runtime_p95_s,failed_attempt_count,recovered_attempt_count,recovery_stopped_job_count,total_failed_attempt_runtime_s,total_recovery_queue_wait_s
aegis_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,60,60,0,1.0,33846.890933,8421.45676965,8767.887251,17938.3926738,12293.380020316668,12362.7380155,19860.556847849995,3871.89223025,4133.2971985,9013.029004149996,3868.6189142,3567.750251,8986.141992999997,7,7,0,196.398963,26140.217184
aegis_lug_thresholded,aegis_lug_thresholded,OR-LUG,,60,60,0,1.0,33560.159135,8677.038849166667,9916.1222775,16953.24469015,11972.05855908333,11838.438799,21465.0252607,3294.9926142333343,2734.149766,8089.4102219499955,3294.3588016833337,2734.149766,8073.867933149995,3,3,0,38.028753,13515.026035
aegis_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,60,60,0,1.0,31690.982375,8359.279488549999,8782.7931615,17276.2753073,12528.8825015,12410.805648,22207.6212021,4169.572751683333,4134.615455,9738.5657142,4166.355543333333,3718.762154,9738.5657142,6,6,0,193.032501,20010.371097
aegis_magm_thresholded,aegis_magm_thresholded,OR-MAGM,,60,60,0,1.0,30208.227242,8686.463268366668,9864.1332585,15885.16814425,11915.943266683336,11665.0885075,20698.911821899997,3229.4512844333326,2692.075204,7443.161986849997,3228.944029133333,2662.057146,7443.161986849997,3,3,0,30.435317999999995,7824.864166
exclusive,exclusive,exclusive,,60,60,0,1.0,42633.526644,16928.3363411,17441.126776999998,29115.10709685,18823.171411916668,19536.928526,30761.54493585,1894.8059101666663,1626.6446274999998,3520.1947086999985,1894.8059101666663,1626.6446274999998,3520.1947086999985,0,0,0,0.0,0.0
