configuration_label,run_label,completion_fraction,makespan_s,makespan_s_vs_exclusive,makespan_reduction_percent,total_queue_wait_mean_s,total_queue_wait_mean_s_vs_exclusive,total_queue_wait_p95_s,total_queue_wait_p95_s_vs_exclusive,jct_mean_s,jct_mean_s_vs_exclusive,jct_p95_s,jct_p95_s_vs_exclusive,total_execution_time_mean_s,total_execution_time_mean_s_vs_exclusive,total_execution_time_p95_s,total_execution_time_p95_s_vs_exclusive,successful_attempt_runtime_mean_s,successful_attempt_runtime_mean_s_vs_exclusive,failed_attempt_count,recovered_attempt_count
aegis_lug_no_thresholds,aegis_lug_no_thresholds,1.0,33846.890933,0.7939031461232265,20.609685387677345,8421.45676965,0.4974769286219638,17938.3926738,0.6161197557724518,12293.380020316668,0.6530982346861015,19860.556847849995,0.6456293690472023,3871.89223025,2.043424188976395,9013.029004149996,2.560377976216688,3868.6189142,2.0416966684781546,7,7
aegis_lug_thresholded,aegis_lug_thresholded,1.0,33560.159135,0.7871776457818103,21.282235421818974,8677.038849166667,0.512574813869916,16953.24469015,0.5822834391010774,11972.05855908333,0.6360277073981274,21465.0252607,0.6977876210529437,3294.9926142333343,1.7389604901240296,8089.4102219499955,2.2980007901146466,3294.3588016833337,1.7386259901382528,3,3
aegis_magm_no_thresholds,aegis_magm_no_thresholds,1.0,31690.982375,0.7433347618560194,25.666523814398058,8359.279488549999,0.4938039580566849,17276.2753073,0.5933783877157416,12528.8825015,0.66560954194829,22207.6212021,0.7219280191684677,4169.572751683333,2.2005276262393436,9738.5657142,2.7664849589517266,4166.355543333333,2.198829717058916,6,6
aegis_magm_thresholded,aegis_magm_thresholded,1.0,30208.227242,0.7085556748388615,29.14443251611385,8686.463268366668,0.5131315383471536,15885.16814425,0.5455988223367599,11915.943266683336,0.633046525791054,20698.911821899997,0.672882713305376,3229.4512844333326,1.7043704936244743,7443.161986849997,2.1144176964003063,3228.944029133333,1.7041027853081356,3,3
exclusive,exclusive,1.0,42633.526644,1.0,0.0,16928.3363411,1.0,29115.10709685,1.0,18823.171411916668,1.0,30761.54493585,1.0,1894.8059101666663,1.0,3520.1947086999985,1.0,1894.8059101666663,1.0,0,0
