run_label,trace_count,completion_fraction_mean,makespan_s_vs_exclusive_geomean,jct_mean_s_vs_exclusive_geomean,jct_p95_s_vs_exclusive_geomean,initial_queue_wait_mean_s_vs_exclusive_geomean,initial_queue_wait_p95_s_vs_exclusive_geomean,execution_span_mean_s_vs_exclusive_geomean,makespan_reduction_percent_from_geomean,policy_display
exclusive,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Exclusive
memory_only_interference,2,1.0,0.9744007553846709,1.0185490798815258,1.0867357458186797,0.38391381357567483,0.5826262066372294,1.9432835940180433,2.559924461532914,Memory-only
fixed_smi80,2,1.0,0.8527876244531071,0.8906060672413324,0.8494429854684648,0.5992095468584179,0.7032872659722269,1.2542013508113683,14.721237554689292,AEGIS-SMI80
fixed_smi70,2,1.0,0.8253883882503205,0.8935876881221556,0.9020374969832793,0.6269920864114804,0.7025796913105972,1.2353340523787604,17.461161174967955,AEGIS-SMI70
fixed_smi60,1,1.0,0.7442272995299327,0.8289990605847113,0.8059005554943207,0.7030054361758831,0.8062340849282589,1.1097323670445007,25.577270047006728,AEGIS-SMI60
