spec_name,spec_path,spec_key,peak_memory_mib,memory_fraction,horus_gpu_util_mean,horus_gpu_util_p95,horus_gpu_util_max,avg_smact,avg_smocc,avg_drama,amp_enabled,representative_spec_path,lucid_mean_normalized_speed,lucid_std_normalized_speed,lucid_min_normalized_speed,lucid_max_normalized_speed,lucid_num_pair_observations,lucid_class,lucid_ss,lucid_label_source,lucid_label_usable
mobilenet_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_20e_1gpu.yaml,mobilenet_cifar100_bs32_20e_1gpu.yaml,344,0.030539772727272728,12.370786516853933,16.150000000000006,17.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_20e_1gpu.yaml,0.9550319572990512,0.0510514784575665,0.8758841372919517,1.0,4.0,tiny,0.0,measured_pairwise,True
mobilenet_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_50e_1gpu.yaml,mobilenet_cifar100_bs32_50e_1gpu.yaml,344,0.030539772727272728,11.741573033707866,15.0,17.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_50e_1gpu.yaml,0.996901153304506,0.0061976933909882,0.9845057665225294,1.0,5.0,tiny,0.0,measured_pairwise,True
mobilenet_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs64_20e_1gpu.yaml,mobilenet_cifar100_bs64_20e_1gpu.yaml,424,0.037642045454545456,12.96629213483146,17.0,20.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs64_20e_1gpu.yaml,0.9962602916872626,0.0052887462151927,0.9887808750617876,1.0,3.0,tiny,0.0,measured_pairwise,True
mobilenet_cifar100_bs64_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs64_50e_1gpu.yaml,mobilenet_cifar100_bs64_50e_1gpu.yaml,424,0.037642045454545456,15.095505617977528,20.0,21.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs64_50e_1gpu.yaml,0.9366344133770382,0.0666093216725752,0.8445876869227704,1.0,3.0,medium,1.0,measured_pairwise,True
mobilenet_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs32_1gpu.yaml,mobilenet_imagenet_bs32_1gpu.yaml,3032,0.26917613636363635,74.0505617977528,82.0,83.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs32_1gpu.yaml,0.8626112298980114,0.1381221403981774,0.7051201455990576,1.0,4.0,medium,1.0,measured_pairwise,True
mobilenet_imagenet_bs64_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs64_1gpu.yaml,mobilenet_imagenet_bs64_1gpu.yaml,5776,0.5127840909090909,78.98876404494382,83.0,84.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs64_1gpu.yaml,0.9264066321342166,0.0390780784639854,0.8873285536702311,0.965484710598202,2.0,medium,1.0,insufficient_pairwise,False
resnet18_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs128_20e_1gpu.yaml,resnet18_cifar100_bs128_20e_1gpu.yaml,514,0.04563210227272727,47.925,60.04999999999998,65.0,,,,0,,,,,,,,,,
resnet18_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs128_50e_1gpu.yaml,resnet18_cifar100_bs128_50e_1gpu.yaml,514,0.04563210227272727,47.88826815642458,60.0,64.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs128_50e_1gpu.yaml,0.928040590915052,0.0228211462444226,0.9052194446706294,0.9508617371594748,2.0,medium,1.0,insufficient_pairwise,False
resnet18_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_20e_1gpu.yaml,resnet18_cifar100_bs32_20e_1gpu.yaml,494,0.04385653409090909,33.60112359550562,40.0,45.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_20e_1gpu.yaml,0.9790990570586988,0.0359334290403417,0.9078748073185444,1.0,5.0,tiny,0.0,measured_pairwise,True
resnet18_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_50e_1gpu.yaml,resnet18_cifar100_bs32_50e_1gpu.yaml,494,0.04385653409090909,32.7752808988764,40.0,43.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_50e_1gpu.yaml,0.9671076219785472,0.0569712699149179,0.8684304879141892,1.0,4.0,tiny,0.0,measured_pairwise,True
resnet18_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_20e_1gpu.yaml,resnet18_cifar100_bs64_20e_1gpu.yaml,514,0.04563210227272727,38.48603351955308,48.1,55.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_20e_1gpu.yaml,0.9861852622688746,0.0138147377311254,0.9723705245377492,1.0,2.0,tiny,0.0,insufficient_pairwise,False
