spec_name,spec_path,spec_key,peak_memory_mib,memory_fraction,horus_gpu_util_mean,horus_gpu_util_p95,horus_gpu_util_max,avg_smact,avg_smocc,avg_drama,amp_enabled,representative_spec_path,lucid_mean_normalized_speed,lucid_std_normalized_speed,lucid_min_normalized_speed,lucid_max_normalized_speed,lucid_num_pair_observations,lucid_class,lucid_ss,lucid_label_source,lucid_label_usable,lucid_final_ss,lucid_final_class,lucid_final_label_source,lucid_pred_proba_ss0,lucid_pred_proba_ss1,lucid_pred_proba_ss2
efficientnet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs128_20e_1gpu.yaml,efficientnet_cifar100_bs128_20e_1gpu.yaml,538,0.047762784090909,27.76271186440678,35.0,37.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs128_20e_1gpu.yaml,1.0,0.0,1.0,1.0,2.0,tiny,0.0,insufficient_pairwise,False,0.0,tiny,low_coverage_pairwise,0.995,0.005,0.0
efficientnet_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs128_50e_1gpu.yaml,efficientnet_cifar100_bs128_50e_1gpu.yaml,538,0.047762784090909,20.573033707865168,39.0,41.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs128_50e_1gpu.yaml,0.935382732392295,0.0010151677288517,0.9343675646634432,0.9363979001211468,2.0,medium,1.0,insufficient_pairwise,False,1.0,medium,low_coverage_pairwise,0.78,0.22,0.0
efficientnet_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_20e_1gpu.yaml,efficientnet_cifar100_bs32_20e_1gpu.yaml,396,0.03515625,15.429378531073446,17.0,20.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_20e_1gpu.yaml,1.0,0.0,1.0,1.0,3.0,tiny,0.0,measured_pairwise,True,0.0,tiny,measured_pairwise,0.675,0.325,0.0
efficientnet_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_50e_1gpu.yaml,efficientnet_cifar100_bs32_50e_1gpu.yaml,396,0.03515625,15.71186440677966,16.0,25.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_50e_1gpu.yaml,0.9394188634999032,0.0709024557906961,0.8399316061600226,1.0,3.0,medium,1.0,measured_pairwise,True,1.0,medium,measured_pairwise,0.31,0.69,0.0
efficientnet_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_20e_1gpu.yaml,efficientnet_cifar100_bs64_20e_1gpu.yaml,502,0.0445667613636363,26.519553072625698,31.0,33.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_20e_1gpu.yaml,0.9664463164558588,0.0529005846823276,0.8750545454545454,1.0,4.0,tiny,0.0,measured_pairwise,True,0.0,tiny,measured_pairwise,0.995,0.005,0.0
efficientnet_cifar100_bs64_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_50e_1gpu.yaml,efficientnet_cifar100_bs64_50e_1gpu.yaml,502,0.0445667613636363,27.84357541899441,34.0,36.0,,,,0,,,,,,,,,,,0.0,tiny,predicted_classifier_legacy_nvidia_smi,0.995,0.005,0.0
efficientnet_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs32_1gpu.yaml,efficientnet_imagenet_bs32_1gpu.yaml,3438,0.3052201704545454,80.97752808988764,87.0,87.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs32_1gpu.yaml,0.7456893725584959,0.1291903509281109,0.5879200123306373,0.915568903341582,4.0,jumbo,2.0,measured_pairwise,True,2.0,jumbo,measured_pairwise,0.07,0.195,0.735
efficientnet_imagenet_bs64_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs64_1gpu.yaml,efficientnet_imagenet_bs64_1gpu.yaml,6348,0.5635653409090909,82.72625698324022,88.0,88.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs64_1gpu.yaml,0.8055070508044895,0.1110275776139175,0.6913333044081915,0.9414220131991752,4.0,jumbo,2.0,measured_pairwise,True,2.0,jumbo,measured_pairwise,0.02,0.085,0.895
inception_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/inception_imagenet_bs32_1gpu.yaml,inception_imagenet_bs32_1gpu.yaml,4862,0.431640625,86.29608938547486,90.0,92.0,,,,0,,,,,,,,,,,2.0,jumbo,predicted_classifier_legacy_nvidia_smi,0.02,0.085,0.895
inception_imagenet_bs64_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/inception_imagenet_bs64_1gpu.yaml,inception_imagenet_bs64_1gpu.yaml,9210,0.8176491477272727,86.41011235955057,93.0,93.0,,,,0,,,,,,,,,,,2.0,jumbo,predicted_classifier_legacy_nvidia_smi,0.02,0.085,0.895
mnist_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mnist_bs32_1gpu.yaml,mnist_bs32_1gpu.yaml,808,0.0717329545454545,10.207865168539326,13.0,14.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/mnist_bs32_1gpu.yaml,0.9638966303521664,0.0,0.9638966303521664,0.9638966303521664,1.0,tiny,0.0,insufficient_pairwise,False,0.0,tiny,low_coverage_pairwise,0.86,0.04,0.1
mobilenet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs128_20e_1gpu.yaml,mobilenet_cifar100_bs128_20e_1gpu.yaml,338,0.0300071022727272,16.8876404494382,22.0,24.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs128_20e_1gpu.yaml,0.9634931891380788,0.0365068108619212,0.9269863782761576,1.0,2.0,tiny,0.0,insufficient_pairwise,False,0.0,tiny,low_coverage_pairwise,0.62,0.38,0.0
mobilenet_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs128_50e_1gpu.yaml,mobilenet_cifar100_bs128_50e_1gpu.yaml,338,0.0300071022727272,16.899441340782122,24.0,26.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs128_50e_1gpu.yaml,0.8795741106939352,0.1116930593233483,0.7678810513705869,0.9912671700172836,2.0,medium,1.0,insufficient_pairwise,False,1.0,medium,low_coverage_pairwise,0.62,0.38,0.0
mobilenet_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_20e_1gpu.yaml,mobilenet_cifar100_bs32_20e_1gpu.yaml,344,0.0305397727272727,12.370786516853933,16.150000000000006,17.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_20e_1gpu.yaml,0.9550319572990512,0.0510514784575665,0.8758841372919517,1.0,4.0,tiny,0.0,measured_pairwise,True,0.0,tiny,measured_pairwise,0.945,0.055,0.0
mobilenet_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_50e_1gpu.yaml,mobilenet_cifar100_bs32_50e_1gpu.yaml,344,0.0305397727272727,11.741573033707866,15.0,17.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_50e_1gpu.yaml,0.996901153304506,0.0061976933909882,0.9845057665225294,1.0,5.0,tiny,0.0,measured_pairwise,True,0.0,tiny,measured_pairwise,0.945,0.055,0.0
mobilenet_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs64_20e_1gpu.yaml,mobilenet_cifar100_bs64_20e_1gpu.yaml,424,0.0376420454545454,12.96629213483146,17.0,20.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs64_20e_1gpu.yaml,0.9962602916872626,0.0052887462151927,0.9887808750617876,1.0,3.0,tiny,0.0,measured_pairwise,True,0.0,tiny,measured_pairwise,0.81,0.19,0.0
mobilenet_cifar100_bs64_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs64_50e_1gpu.yaml,mobilenet_cifar100_bs64_50e_1gpu.yaml,424,0.0376420454545454,15.095505617977528,20.0,21.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs64_50e_1gpu.yaml,0.9366344133770382,0.0666093216725752,0.8445876869227704,1.0,3.0,medium,1.0,measured_pairwise,True,1.0,medium,measured_pairwise,0.3,0.7,0.0
mobilenet_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs32_1gpu.yaml,mobilenet_imagenet_bs32_1gpu.yaml,3032,0.2691761363636363,74.0505617977528,82.0,83.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs32_1gpu.yaml,0.8626112298980114,0.1381221403981774,0.7051201455990576,1.0,4.0,medium,1.0,measured_pairwise,True,1.0,medium,measured_pairwise,0.07,0.655,0.275
mobilenet_imagenet_bs64_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs64_1gpu.yaml,mobilenet_imagenet_bs64_1gpu.yaml,5776,0.5127840909090909,78.98876404494382,83.0,84.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs64_1gpu.yaml,0.9264066321342166,0.0390780784639854,0.8873285536702311,0.965484710598202,2.0,medium,1.0,insufficient_pairwise,False,1.0,medium,low_coverage_pairwise,0.02,0.085,0.895
resnet18_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs128_20e_1gpu.yaml,resnet18_cifar100_bs128_20e_1gpu.yaml,514,0.0456321022727272,47.925,60.04999999999998,65.0,,,,0,,,,,,,,,,,0.0,tiny,predicted_classifier_legacy_nvidia_smi,0.825,0.17,0.005
resnet18_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs128_50e_1gpu.yaml,resnet18_cifar100_bs128_50e_1gpu.yaml,514,0.0456321022727272,47.88826815642458,60.0,64.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs128_50e_1gpu.yaml,0.928040590915052,0.0228211462444226,0.9052194446706294,0.9508617371594748,2.0,medium,1.0,insufficient_pairwise,False,1.0,medium,low_coverage_pairwise,0.825,0.17,0.005
resnet18_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_20e_1gpu.yaml,resnet18_cifar100_bs32_20e_1gpu.yaml,494,0.043856534090909,33.60112359550562,40.0,45.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_20e_1gpu.yaml,0.9790990570586988,0.0359334290403417,0.9078748073185444,1.0,5.0,tiny,0.0,measured_pairwise,True,0.0,tiny,measured_pairwise,0.99,0.005,0.005
resnet18_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_50e_1gpu.yaml,resnet18_cifar100_bs32_50e_1gpu.yaml,494,0.043856534090909,32.7752808988764,40.0,43.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_50e_1gpu.yaml,0.9671076219785472,0.0569712699149179,0.8684304879141892,1.0,4.0,tiny,0.0,measured_pairwise,True,0.0,tiny,measured_pairwise,0.99,0.005,0.005
