spec_key,spec_path,normalized_speed,partner_spec_key,pair_id,pairwise_source_csv,pair_time_s,partner_pair_time_s,partner_runtime_ratio,valid_for_label
resnet18_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs128_50e_1gpu.yaml,0.9508617371594748,efficientnet_cifar100_bs128_20e_1gpu.yaml,efficientnet_cifar100_bs128_20e_1gpu__PLUS__resnet18_cifar100_bs128_50e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,467.66,426.19,0.9113244664927511,True
mobilenet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs128_20e_1gpu.yaml,1.0,resnet34_cifar100_bs128_20e_1gpu.yaml,mobilenet_cifar100_bs128_20e_1gpu__PLUS__resnet34_cifar100_bs128_20e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,295.38,270.28,0.9150247139278217,True
resnet34_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_20e_1gpu.yaml,1.0,mobilenet_cifar100_bs128_20e_1gpu.yaml,mobilenet_cifar100_bs128_20e_1gpu__PLUS__resnet34_cifar100_bs128_20e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,270.28,295.38,1.0928666568003553,True
mobilenet_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs128_50e_1gpu.yaml,1.0,mobilenet_cifar100_bs64_20e_1gpu.yaml,mobilenet_cifar100_bs128_50e_1gpu__PLUS__mobilenet_cifar100_bs64_20e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,736.46,548.57,0.744874127583304,False
mobilenet_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs64_20e_1gpu.yaml,1.0,mobilenet_cifar100_bs128_50e_1gpu.yaml,mobilenet_cifar100_bs128_50e_1gpu__PLUS__mobilenet_cifar100_bs64_20e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,548.57,736.46,1.342508704449751,True
efficientnet_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs128_50e_1gpu.yaml,0.9421227774875692,efficientnet_cifar100_bs64_20e_1gpu.yaml,efficientnet_cifar100_bs128_50e_1gpu__PLUS__efficientnet_cifar100_bs64_20e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,1033.74,783.25,0.7576856849884884,False
efficientnet_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_20e_1gpu.yaml,1.0,efficientnet_cifar100_bs128_50e_1gpu.yaml,efficientnet_cifar100_bs128_50e_1gpu__PLUS__efficientnet_cifar100_bs64_20e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,783.25,1033.74,1.3198084902649219,True
resnet18_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_50e_1gpu.yaml,1.0,resnet34_cifar100_bs64_50e_1gpu.yaml,resnet18_cifar100_bs32_50e_1gpu__PLUS__resnet34_cifar100_bs64_50e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,1535.8,1237.79,0.8059578070061206,True
resnet34_cifar100_bs64_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs64_50e_1gpu.yaml,1.0,resnet18_cifar100_bs32_50e_1gpu.yaml,resnet18_cifar100_bs32_50e_1gpu__PLUS__resnet34_cifar100_bs64_50e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,1237.79,1535.8,1.2407597411515685,True
mobilenet_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_20e_1gpu.yaml,1.0,resnet34_cifar100_bs32_20e_1gpu.yaml,mobilenet_cifar100_bs32_20e_1gpu__PLUS__resnet34_cifar100_bs32_20e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,1108.64,981.76,0.8855534709193245,True
