run_id,pair_id,spec_a,spec_b,spec_a_key,spec_b_key,solo_time_a_s,solo_time_b_s,pair_time_a_s,pair_time_b_s,normalized_speed_a,normalized_speed_b,return_code_a,return_code_b,run_dir
20260617-143409-e8364401,efficientnet_cifar100_bs128_50e_1gpu__PLUS__resnet18_cifar100_bs64_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_50e_1gpu.yaml,efficientnet_cifar100_bs128_50e_1gpu.yaml,resnet18_cifar100_bs64_50e_1gpu.yaml,973.91,814.6,1011.28,754.86,0.9630468317379954,1.0791405028747052,0.0,0.0,evaluation/lucid/legacy_rtx2080ti/results/pairwise_runs/gpu2/efficientnet_cifar100_bs128_50e_1gpu__PLUS__resnet18_cifar100_bs64_50e_1gpu/20260617-143409-e8364401
20260617-145109-1a34f4bd,efficientnet_imagenet_bs64_1gpu__PLUS__resnet34_cifar100_bs32_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs64_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_50e_1gpu.yaml,efficientnet_imagenet_bs64_1gpu.yaml,resnet34_cifar100_bs32_50e_1gpu.yaml,3186.77,2662.97,3587.3,3841.28,0.888347782454771,0.6932506872709097,0.0,0.0,evaluation/lucid/legacy_rtx2080ti/results/pairwise_runs/gpu2/efficientnet_imagenet_bs64_1gpu__PLUS__resnet34_cifar100_bs32_50e_1gpu/20260617-145109-1a34f4bd
20260617-113604-e30724fc,efficientnet_cifar100_bs32_20e_1gpu__PLUS__resnet18_cifar100_bs32_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_50e_1gpu.yaml,efficientnet_cifar100_bs32_20e_1gpu.yaml,resnet18_cifar100_bs32_50e_1gpu.yaml,2096.1,1743.93,1575.53,1503.49,1.3304094495185748,1.1599212498919182,0.0,0.0,evaluation/lucid/legacy_rtx2080ti/results/pairwise_runs/gpu3/efficientnet_cifar100_bs32_20e_1gpu__PLUS__resnet18_cifar100_bs32_50e_1gpu/20260617-113604-e30724fc
20260617-120229-9f0c5121,resnet18_cifar100_bs32_20e_1gpu__PLUS__resnet18_cifar100_bs64_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_50e_1gpu.yaml,resnet18_cifar100_bs32_20e_1gpu.yaml,resnet18_cifar100_bs64_50e_1gpu.yaml,677.32,814.6,616.36,758.93,1.0989032383671882,1.0733532736879554,0.0,0.0,evaluation/lucid/legacy_rtx2080ti/results/pairwise_runs/gpu3/resnet18_cifar100_bs32_20e_1gpu__PLUS__resnet18_cifar100_bs64_50e_1gpu/20260617-120229-9f0c5121
20260617-121519-37bf8188,efficientnet_imagenet_bs32_1gpu__PLUS__resnet34_cifar100_bs32_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_50e_1gpu.yaml,efficientnet_imagenet_bs32_1gpu.yaml,resnet34_cifar100_bs32_50e_1gpu.yaml,3204.07,2662.97,3907.11,3656.2,0.8200613752876167,0.7283436354685192,0.0,0.0,evaluation/lucid/legacy_rtx2080ti/results/pairwise_runs/gpu3/efficientnet_imagenet_bs32_1gpu__PLUS__resnet34_cifar100_bs32_50e_1gpu/20260617-121519-37bf8188
20260617-132037-edf0dd28,resnet50_imagenet_bs32_1gpu__PLUS__unet_voc_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet50_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/unet_voc_1gpu.yaml,resnet50_imagenet_bs32_1gpu.yaml,unet_voc_1gpu.yaml,5600.61,4653.18,9594.32,7482.58,0.5837422558347022,0.6218683929874456,0.0,0.0,evaluation/lucid/legacy_rtx2080ti/results/pairwise_runs/gpu3/resnet50_imagenet_bs32_1gpu__PLUS__unet_voc_1gpu/20260617-132037-edf0dd28
20260617-160042-fc73b0ab,mobilenet_imagenet_bs32_1gpu__PLUS__resnet34_cifar100_bs32_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_50e_1gpu.yaml,mobilenet_imagenet_bs32_1gpu.yaml,resnet34_cifar100_bs32_50e_1gpu.yaml,3207.93,2662.97,3099.74,3262.03,1.0349029273422932,0.8163536202916588,0.0,0.0,evaluation/lucid/legacy_rtx2080ti/results/pairwise_runs/gpu3/mobilenet_imagenet_bs32_1gpu__PLUS__resnet34_cifar100_bs32_50e_1gpu/20260617-160042-fc73b0ab
20260617-165515-2dd3e2e0,mobilenet_cifar100_bs32_20e_1gpu__PLUS__mobilenet_cifar100_bs64_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs64_50e_1gpu.yaml,mobilenet_cifar100_bs32_20e_1gpu.yaml,mobilenet_cifar100_bs64_50e_1gpu.yaml,1209.85,1462.26,1281.29,1514.8,0.9442436919042527,0.9653155532083444,0.0,0.0,evaluation/lucid/legacy_rtx2080ti/results/pairwise_runs/gpu3/mobilenet_cifar100_bs32_20e_1gpu__PLUS__mobilenet_cifar100_bs64_50e_1gpu/20260617-165515-2dd3e2e0
20260617-172039-ff9c4a85,resnet18_cifar100_bs64_50e_1gpu__PLUS__resnet34_cifar100_bs128_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_50e_1gpu.yaml,resnet18_cifar100_bs64_50e_1gpu.yaml,resnet34_cifar100_bs128_50e_1gpu.yaml,814.6,671.28,843.49,734.74,0.9657494457551364,0.9136293110488063,0.0,0.0,evaluation/lucid/legacy_rtx2080ti/results/pairwise_runs/gpu3/resnet18_cifar100_bs64_50e_1gpu__PLUS__resnet34_cifar100_bs128_50e_1gpu/20260617-172039-ff9c4a85
20260617-173452-0a2f9148,efficientnet_cifar100_bs32_20e_1gpu__PLUS__mobilenet_imagenet_bs64_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs64_1gpu.yaml,efficientnet_cifar100_bs32_20e_1gpu.yaml,mobilenet_imagenet_bs64_1gpu.yaml,2096.1,2548.31,1707.13,2659.33,1.2278502515918528,0.9582526425829062,0.0,0.0,evaluation/lucid/legacy_rtx2080ti/results/pairwise_runs/gpu3/efficientnet_cifar100_bs32_20e_1gpu__PLUS__mobilenet_imagenet_bs64_1gpu/20260617-173452-0a2f9148
20260617-181922-8cb95320,efficientnet_cifar100_bs64_20e_1gpu__PLUS__resnet34_cifar100_bs32_20e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_20e_1gpu.yaml,efficientnet_cifar100_bs64_20e_1gpu.yaml,resnet34_cifar100_bs32_20e_1gpu.yaml,842.24,1040.43,850.12,1060.82,0.9907307203688891,0.9807790200033937,0.0,0.0,evaluation/lucid/legacy_rtx2080ti/results/pairwise_runs/gpu3/efficientnet_cifar100_bs64_20e_1gpu__PLUS__resnet34_cifar100_bs32_20e_1gpu/20260617-181922-8cb95320
20260617-183713-5d5a33e1,efficientnet_cifar100_bs128_50e_1gpu__PLUS__mobilenet_cifar100_bs32_20e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_20e_1gpu.yaml,efficientnet_cifar100_bs128_50e_1gpu.yaml,mobilenet_cifar100_bs32_20e_1gpu.yaml,973.91,1209.85,1040.06,1176.91,0.9363979001211469,1.027988546277965,0.0,0.0,evaluation/lucid/legacy_rtx2080ti/results/pairwise_runs/gpu3/efficientnet_cifar100_bs128_50e_1gpu__PLUS__mobilenet_cifar100_bs32_20e_1gpu/20260617-183713-5d5a33e1
20260617-185659-097c8fda,efficientnet_cifar100_bs64_20e_1gpu__PLUS__resnet18_cifar100_bs32_20e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_20e_1gpu.yaml,efficientnet_cifar100_bs64_20e_1gpu.yaml,resnet18_cifar100_bs32_20e_1gpu.yaml,842.24,677.32,863.08,665.58,0.9758539185243545,1.017638751164398,0.0,0.0,evaluation/lucid/legacy_rtx2080ti/results/pairwise_runs/gpu3/efficientnet_cifar100_bs64_20e_1gpu__PLUS__resnet18_cifar100_bs32_20e_1gpu/20260617-185659-097c8fda
20260617-191132-d9d93e7f,mobilenet_cifar100_bs32_20e_1gpu__PLUS__resnet34_cifar100_bs64_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs64_50e_1gpu.yaml,mobilenet_cifar100_bs32_20e_1gpu.yaml,resnet34_cifar100_bs64_50e_1gpu.yaml,1209.85,1504.8,1381.29,1448.9,0.8758841372919517,1.0385809924770515,0.0,0.0,evaluation/lucid/legacy_rtx2080ti/results/pairwise_runs/gpu3/mobilenet_cifar100_bs32_20e_1gpu__PLUS__resnet34_cifar100_bs64_50e_1gpu/20260617-191132-d9d93e7f
20260617-193550-0a2b689c,mobilenet_cifar100_bs32_50e_1gpu__PLUS__mobilenet_imagenet_bs64_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs64_1gpu.yaml,mobilenet_cifar100_bs32_50e_1gpu.yaml,mobilenet_imagenet_bs64_1gpu.yaml,3173.83,2548.31,3223.78,2639.41,0.9845057665225294,0.965484710598202,0.0,0.0,evaluation/lucid/legacy_rtx2080ti/results/pairwise_runs/gpu3/mobilenet_cifar100_bs32_50e_1gpu__PLUS__mobilenet_imagenet_bs64_1gpu/20260617-193550-0a2b689c
