trace_name,configuration_label,run_label,task_id,task_file,workload,failed_attempt_count,recovered_attempt_count,recovery_stopped_count,failed_attempt_runtime_s,total_recovery_queue_wait_s,max_recovery_queue_wait_s,total_recovery_gap_s,max_recovery_gap_s,successful_attempt_runtime_s,recovery_overhead_s,jct_s
philly,aegis_estimator_free,OR-MAGM,2880a572-44ba-4082-926b-fb8b31a8c6ac,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs128_1gpu.yaml,mobilenet_imagenet_bs128_1gpu.yaml,1,1,0,10.133182,1070.839971,1070.839971,1070.869619,1070.869619,1585.611506,1081.002801,12983.885324
philly,aegis_estimator_free,OR-MAGM,f6c29ab1-686d-470c-a6cd-4707f2095adc,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs64_1gpu.yaml,resnet50_imagenet_bs64_1gpu.yaml,1,1,0,9.780645,1569.915858,1569.915858,1569.940301,1569.940301,3094.634982,1579.7209460000001,16053.392264
philly,aegis_estimator_free,OR-MAGM,d28d2fcf-0f64-4391-871b-22ef24d5d0ec,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs64_1gpu.yaml,inception_imagenet_bs64_1gpu.yaml,1,1,0,10.521491,5184.108337,5184.108337,5184.140857,5184.140857,5388.450471,5194.662348000001,22395.578304
philly,aegis_horus,EST-MAGM__horus,17b78562-ccce-4f33-a18a-209bd8267620,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/maskrcnn_coco_bs8_1gpu.yaml,maskrcnn_coco_bs8_1gpu.yaml,1,1,0,27.593599,4108.159017,4108.159017,4108.192925,4108.192925,6834.751093,4135.786524,25286.68427
