trace,policy,raw_label,experiment_name,telemetry_file,metric,column,stat,value
saturn,AEGIS+HorusMem,EST-MAGM__horus,final_representative_evaluation__saturn__rep01__aegis_horus,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_horus/analysis/run_summary.csv,smocc,risk_smocc_threshold,max,0.35
saturn,AEGIS+HorusMem,EST-MAGM__horus,final_representative_evaluation__saturn__rep01__aegis_horus,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_horus/analysis/run_summary.csv,drama,risk_drama_threshold,mean,0.5
saturn,AEGIS+HorusMem,EST-MAGM__horus,final_representative_evaluation__saturn__rep01__aegis_horus,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_horus/analysis/run_summary.csv,drama,risk_drama_threshold,p50,0.5
saturn,AEGIS+HorusMem,EST-MAGM__horus,final_representative_evaluation__saturn__rep01__aegis_horus,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_horus/analysis/run_summary.csv,drama,risk_drama_threshold,p95,0.5
saturn,AEGIS+HorusMem,EST-MAGM__horus,final_representative_evaluation__saturn__rep01__aegis_horus,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_horus/analysis/run_summary.csv,drama,risk_drama_threshold,max,0.5
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,gpu_memory,free_gpu_memory,mean,15339.552761010507
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,gpu_memory,free_gpu_memory,p50,10942.0
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,gpu_memory,free_gpu_memory,p95,40395.0
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,gpu_memory,free_gpu_memory,max,40441.0
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,gpu_memory,memory_copy,mean,43.286463223787166
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,gpu_memory,memory_copy,p50,45.0
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,gpu_memory,memory_copy,p95,78.0
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,gpu_memory,memory_copy,max,86.0
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,smact,smact,mean,0.5200962105969148
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,smact,smact,p50,0.7235
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,smact,smact,p95,0.992
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,smact,smact,max,0.999
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,smocc,smocc,mean,0.24869960876369332
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,smocc,smocc,p50,0.305
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,smocc,smocc,p95,0.585
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,smocc,smocc,max,0.652
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,drama,drama,mean,0.33852512854907224
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,drama,drama,p50,0.344
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,drama,drama,p95,0.616
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,drama,drama,max,0.649
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,power,power,mean,243.4323163313213
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,power,power,p50,271.571
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,power,power,p95,295.916
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,power,power,max,316.405
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/top_data.csv,gpu_memory,total_memory,mean,515.7960000000002
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/top_data.csv,gpu_memory,total_memory,p50,515.796
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/top_data.csv,gpu_memory,total_memory,p95,515.796
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/top_data.csv,gpu_memory,total_memory,max,515.796
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/top_data.csv,gpu_memory,free_memory,mean,311.11868334874646
