pair_id,spec_a,spec_b,spec_a_name,spec_b_name,mem_a_mib,mem_b_mib,total_mem_mib,runtime_a_s,runtime_b_s,runtime_ratio,capacity_mib,guard_mib,usable_capacity_mib
efficientnet_imagenet_bs64_1gpu__PLUS__mobilenet_imagenet_bs32_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs64_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs32_1gpu.yaml,efficientnet_imagenet_bs64_1gpu.yaml,mobilenet_imagenet_bs32_1gpu.yaml,6348,3032,9380,3186.77,3207.93,0.9934038460938986,11264,512,10752
efficientnet_cifar100_bs128_20e_1gpu__PLUS__resnet34_cifar100_bs64_20e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs64_20e_1gpu.yaml,efficientnet_cifar100_bs128_20e_1gpu.yaml,resnet34_cifar100_bs64_20e_1gpu.yaml,538,688,1226,511.71,520.3,0.9834902940611188,11264,512,10752
mobilenet_cifar100_bs128_20e_1gpu__PLUS__resnet18_cifar100_bs64_20e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_20e_1gpu.yaml,mobilenet_cifar100_bs128_20e_1gpu.yaml,resnet18_cifar100_bs64_20e_1gpu.yaml,338,514,852,313.72,322.37,0.9731674783633714,11264,512,10752
mobilenet_imagenet_bs64_1gpu__PLUS__resnet34_cifar100_bs32_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs64_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_50e_1gpu.yaml,mobilenet_imagenet_bs64_1gpu.yaml,resnet34_cifar100_bs32_50e_1gpu.yaml,5776,686,6462,2548.31,2662.97,0.9569428119730976,11264,512,10752
efficientnet_cifar100_bs32_20e_1gpu__PLUS__efficientnet_cifar100_bs64_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_50e_1gpu.yaml,efficientnet_cifar100_bs32_20e_1gpu.yaml,efficientnet_cifar100_bs64_50e_1gpu.yaml,396,502,898,2096.1,1958.5,0.9343542769906016,11264,512,10752
efficientnet_cifar100_bs64_50e_1gpu__PLUS__resnet18_cifar100_bs32_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_50e_1gpu.yaml,efficientnet_cifar100_bs64_50e_1gpu.yaml,resnet18_cifar100_bs32_50e_1gpu.yaml,502,494,996,1958.5,1743.93,0.8904416645391882,11264,512,10752
mobilenet_cifar100_bs128_20e_1gpu__PLUS__resnet34_cifar100_bs128_20e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_20e_1gpu.yaml,mobilenet_cifar100_bs128_20e_1gpu.yaml,resnet34_cifar100_bs128_20e_1gpu.yaml,338,684,1022,313.72,272.22,0.8677164350376132,11264,512,10752
mobilenet_cifar100_bs32_20e_1gpu__PLUS__resnet34_cifar100_bs32_20e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_20e_1gpu.yaml,mobilenet_cifar100_bs32_20e_1gpu.yaml,resnet34_cifar100_bs32_20e_1gpu.yaml,344,686,1030,1209.85,1040.43,0.8599661115014259,11264,512,10752
mnist_bs32_1gpu__PLUS__resnet34_cifar100_bs128_20e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mnist_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_20e_1gpu.yaml,mnist_bs32_1gpu.yaml,resnet34_cifar100_bs128_20e_1gpu.yaml,808,684,1492,228.27,272.22,0.8385497024465506,11264,512,10752
efficientnet_cifar100_bs32_20e_1gpu__PLUS__resnet18_cifar100_bs32_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_50e_1gpu.yaml,efficientnet_cifar100_bs32_20e_1gpu.yaml,resnet18_cifar100_bs32_50e_1gpu.yaml,396,494,890,2096.1,1743.93,0.8319879776728211,11264,512,10752
mobilenet_imagenet_bs32_1gpu__PLUS__resnet34_cifar100_bs32_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_50e_1gpu.yaml,mobilenet_imagenet_bs32_1gpu.yaml,resnet34_cifar100_bs32_50e_1gpu.yaml,3032,686,3718,3207.93,2662.97,0.8301209814428618,11264,512,10752
efficientnet_cifar100_bs64_20e_1gpu__PLUS__resnet34_cifar100_bs32_20e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_20e_1gpu.yaml,efficientnet_cifar100_bs64_20e_1gpu.yaml,resnet34_cifar100_bs32_20e_1gpu.yaml,502,686,1188,842.24,1040.43,0.8095114519958094,11264,512,10752
