pair_id,spec_a,spec_b,spec_a_name,spec_b_name,mem_a_mib,mem_b_mib,total_mem_mib,runtime_a_s,runtime_b_s,runtime_ratio,capacity_mib,guard_mib,usable_capacity_mib
efficientnet_imagenet_bs64_1gpu__PLUS__mobilenet_cifar100_bs32_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs64_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_50e_1gpu.yaml,efficientnet_imagenet_bs64_1gpu.yaml,mobilenet_cifar100_bs32_50e_1gpu.yaml,6348,344,6692,3186.77,3173.83,0.9959394622140914,11264,512,10752
efficientnet_imagenet_bs32_1gpu__PLUS__mobilenet_cifar100_bs32_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_50e_1gpu.yaml,efficientnet_imagenet_bs32_1gpu.yaml,mobilenet_cifar100_bs32_50e_1gpu.yaml,3438,344,3782,3204.07,3173.83,0.9905620039512244,11264,512,10752
resnet50_imagenet_bs32_1gpu__PLUS__resnet50_imagenet_bs64_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet50_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet50_imagenet_bs64_1gpu.yaml,resnet50_imagenet_bs32_1gpu.yaml,resnet50_imagenet_bs64_1gpu.yaml,3560,6728,10288,5600.61,5461.19,0.9751062830655948,11264,512,10752
efficientnet_cifar100_bs64_20e_1gpu__PLUS__resnet18_cifar100_bs64_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_50e_1gpu.yaml,efficientnet_cifar100_bs64_20e_1gpu.yaml,resnet18_cifar100_bs64_50e_1gpu.yaml,502,514,1016,842.24,814.6,0.9671827507598784,11264,512,10752
mobilenet_cifar100_bs128_50e_1gpu__PLUS__resnet18_cifar100_bs64_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_50e_1gpu.yaml,mobilenet_cifar100_bs128_50e_1gpu.yaml,resnet18_cifar100_bs64_50e_1gpu.yaml,338,514,852,762.79,814.6,0.9363982322612324,11264,512,10752
efficientnet_cifar100_bs64_20e_1gpu__PLUS__mobilenet_cifar100_bs128_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs128_50e_1gpu.yaml,efficientnet_cifar100_bs64_20e_1gpu.yaml,mobilenet_cifar100_bs128_50e_1gpu.yaml,502,338,840,842.24,762.79,0.9056682180851064,11264,512,10752
mobilenet_cifar100_bs128_50e_1gpu__PLUS__resnet34_cifar100_bs128_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_50e_1gpu.yaml,mobilenet_cifar100_bs128_50e_1gpu.yaml,resnet34_cifar100_bs128_50e_1gpu.yaml,338,684,1022,762.79,671.28,0.8800325122248588,11264,512,10752
efficientnet_cifar100_bs128_50e_1gpu__PLUS__efficientnet_cifar100_bs64_20e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_20e_1gpu.yaml,efficientnet_cifar100_bs128_50e_1gpu.yaml,efficientnet_cifar100_bs64_20e_1gpu.yaml,538,502,1040,973.91,842.24,0.8648027025084454,11264,512,10752
resnet18_cifar100_bs64_20e_1gpu__PLUS__resnet34_cifar100_bs128_20e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_20e_1gpu.yaml,resnet18_cifar100_bs64_20e_1gpu.yaml,resnet34_cifar100_bs128_20e_1gpu.yaml,514,684,1198,322.37,272.22,0.8444334150200081,11264,512,10752
efficientnet_cifar100_bs128_50e_1gpu__PLUS__resnet18_cifar100_bs64_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_50e_1gpu.yaml,efficientnet_cifar100_bs128_50e_1gpu.yaml,resnet18_cifar100_bs64_50e_1gpu.yaml,538,514,1052,973.91,814.6,0.836422256676695,11264,512,10752
