pair_id,spec_a,spec_b,spec_a_name,spec_b_name,mem_a_mib,mem_b_mib,total_mem_mib,runtime_a_s,runtime_b_s,runtime_ratio,capacity_mib,guard_mib,usable_capacity_mib
efficientnet_imagenet_bs32_1gpu__PLUS__efficientnet_imagenet_bs64_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs64_1gpu.yaml,efficientnet_imagenet_bs32_1gpu.yaml,efficientnet_imagenet_bs64_1gpu.yaml,3438,6348,9786,3204.07,3186.77,0.9946006173398207,11264,512,10752
mobilenet_cifar100_bs32_50e_1gpu__PLUS__mobilenet_imagenet_bs32_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs32_1gpu.yaml,mobilenet_cifar100_bs32_50e_1gpu.yaml,mobilenet_imagenet_bs32_1gpu.yaml,344,3032,3376,3173.83,3207.93,0.9893700922401674,11264,512,10752
mobilenet_cifar100_bs64_20e_1gpu__PLUS__resnet18_cifar100_bs32_20e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_20e_1gpu.yaml,mobilenet_cifar100_bs64_20e_1gpu.yaml,resnet18_cifar100_bs32_20e_1gpu.yaml,424,494,918,660.12,677.32,0.9746057993267584,11264,512,10752
inception_imagenet_bs32_1gpu__PLUS__xception_imagenet_bs32_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/inception_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/xception_imagenet_bs32_1gpu.yaml,inception_imagenet_bs32_1gpu.yaml,xception_imagenet_bs32_1gpu.yaml,4862,5382,10244,8278.1,7929.95,0.957943247846728,11264,512,10752
efficientnet_cifar100_bs128_50e_1gpu__PLUS__resnet34_cifar100_bs32_20e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_20e_1gpu.yaml,efficientnet_cifar100_bs128_50e_1gpu.yaml,resnet34_cifar100_bs32_20e_1gpu.yaml,538,686,1224,973.91,1040.43,0.9360648962448218,11264,512,10752
efficientnet_cifar100_bs32_50e_1gpu__PLUS__unet_voc_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/unet_voc_1gpu.yaml,efficientnet_cifar100_bs32_50e_1gpu.yaml,unet_voc_1gpu.yaml,396,5378,5774,5138.29,4653.18,0.9055892135321284,11264,512,10752
efficientnet_cifar100_bs128_20e_1gpu__PLUS__resnet18_cifar100_bs128_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs128_50e_1gpu.yaml,efficientnet_cifar100_bs128_20e_1gpu.yaml,resnet18_cifar100_bs128_50e_1gpu.yaml,538,514,1052,511.71,444.68,0.8690078364698756,11264,512,10752
resnet18_cifar100_bs32_50e_1gpu__PLUS__resnet34_cifar100_bs64_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs64_50e_1gpu.yaml,resnet18_cifar100_bs32_50e_1gpu.yaml,resnet34_cifar100_bs64_50e_1gpu.yaml,494,688,1182,1743.93,1504.8,0.8628786705888424,11264,512,10752
mobilenet_cifar100_bs32_50e_1gpu__PLUS__resnet34_cifar100_bs32_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_50e_1gpu.yaml,mobilenet_cifar100_bs32_50e_1gpu.yaml,resnet34_cifar100_bs32_50e_1gpu.yaml,344,686,1030,3173.83,2662.97,0.8390398981671986,11264,512,10752
efficientnet_imagenet_bs64_1gpu__PLUS__resnet34_cifar100_bs32_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs64_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_50e_1gpu.yaml,efficientnet_imagenet_bs64_1gpu.yaml,resnet34_cifar100_bs32_50e_1gpu.yaml,6348,686,7034,3186.77,2662.97,0.8356329449568057,11264,512,10752
