recorded_at,run_id,runner_status,workload_status,failure_stage,failure_reason,measurement_recorded,task_id,task_path,workdir,gpu_uuid,gpu_id,launcher_pid,tracked_pid_after_ttfk,tracked_pid_after_window,launch_wall_time,finished_wall_time,ttfk_wait_seconds,window_seconds,summary_windows_requested,summary_windows_collected,max_summary_window_seconds,time_from_ttfk_to_window_ready_seconds,total_runtime_seconds,time_from_window_ready_to_finish_seconds,event_path,out_log,err_log,time_log,terminal_event,return_code,terminal_failure_reason,output_csv,command_to_execute,num_gpus_requested,gpu_memory_requirement_mib,gpu_memory_estimate_mib
2026-05-09T02:43:53.886968,solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,completed,completed,,,True,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,/home/ehyo/AEGIS,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,1374524,1374612,1374612,2026-05-09T01:37:46.403229,2026-05-09T02:43:53.886968,25.48045799601823,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0","5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",200.0,30.5259269719827,3967.1626617930015,3911.1562768250005,/home/ehyo/AEGIS/evaluation/threshold_sensitivity/solo_runs/solo_2gpu_threshold_windows_20260509_013745/events/solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7.jsonl,/home/ehyo/AEGIS/out-2026-05-09_01:37:46-98ba4929-5f45-4b79-9028-6f92dfe91904.log,/home/ehyo/AEGIS/err-2026-05-09_01:37:46-98ba4929-5f45-4b79-9028-6f92dfe91904.log,/home/ehyo/AEGIS/time-2026-05-09_01:37:46-98ba4929-5f45-4b79-9028-6f92dfe91904.et,completed,0,,/home/ehyo/AEGIS/evaluation/threshold_sensitivity/solo_runs/solo_2gpu_threshold_windows_20260509_013745/live_threshold_measurements.csv,python evaluation/workloads/training/scripts/clean/gpt2_large_wiki_train.py --use_data_parallel,2,28356,
2026-05-09T03:42:40.730726,solo_0002_xlnet_base_cased_wiki_bs8_2gpu_e2154297,completed,completed,,,True,cd217042-b000-4b78-963f-581579aa791e,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xlnet_base_cased_wiki_bs8_2gpu.yaml,/home/ehyo/AEGIS,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,1414807,1414865,1414865,2026-05-09T02:43:54.432901,2026-05-09T03:42:40.730726,18.527332229015883,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0","5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",200.0,30.51757046097191,3526.224902269023,3477.179999579035,/home/ehyo/AEGIS/evaluation/threshold_sensitivity/solo_runs/solo_2gpu_threshold_windows_20260509_013745/events/solo_0002_xlnet_base_cased_wiki_bs8_2gpu_e2154297.jsonl,/home/ehyo/AEGIS/out-2026-05-09_02:43:54-cd217042-b000-4b78-963f-581579aa791e.log,/home/ehyo/AEGIS/err-2026-05-09_02:43:54-cd217042-b000-4b78-963f-581579aa791e.log,/home/ehyo/AEGIS/time-2026-05-09_02:43:54-cd217042-b000-4b78-963f-581579aa791e.et,completed,0,,/home/ehyo/AEGIS/evaluation/threshold_sensitivity/solo_runs/solo_2gpu_threshold_windows_20260509_013745/live_threshold_measurements.csv,python evaluation/workloads/training/scripts/clean/xlnet_base_cased_wiki_train.py,2,9192,
2026-05-09T04:40:35.546968,solo_0003_xlnet_large_cased_wiki_bs4_2gpu_391e33c5,completed,completed,,,True,837692cc-817a-4726-8d03-020eab026299,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xlnet_large_cased_wiki_bs4_2gpu.yaml,/home/ehyo/AEGIS,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,1437916,1437973,1437973,2026-05-09T03:42:41.318154,2026-05-09T04:40:35.546968,21.410340712987818,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0","5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",200.0,30.128958309011068,3474.1553685209947,3422.616069498996,/home/ehyo/AEGIS/evaluation/threshold_sensitivity/solo_runs/solo_2gpu_threshold_windows_20260509_013745/events/solo_0003_xlnet_large_cased_wiki_bs4_2gpu_391e33c5.jsonl,/home/ehyo/AEGIS/out-2026-05-09_03:42:41-837692cc-817a-4726-8d03-020eab026299.log,/home/ehyo/AEGIS/err-2026-05-09_03:42:41-837692cc-817a-4726-8d03-020eab026299.log,/home/ehyo/AEGIS/time-2026-05-09_03:42:41-837692cc-817a-4726-8d03-020eab026299.et,completed,0,,/home/ehyo/AEGIS/evaluation/threshold_sensitivity/solo_runs/solo_2gpu_threshold_windows_20260509_013745/live_threshold_measurements.csv,python evaluation/workloads/training/scripts/clean/xlnet_large_cased_wiki_train.py,2,19330,
