measured_at,run_id,task_id,task_path,workdir,gpu_uuid,gpu_id,launcher_pid,tracked_pid_after_ttfk,tracked_pid_after_window,launch_wall_time,ttfk_wait_seconds,window_seconds,summary_windows_requested,summary_windows_collected,max_summary_window_seconds,time_from_ttfk_to_window_ready_seconds,total_runtime_seconds,time_from_window_ready_to_finish_seconds,event_path,out_log,err_log,time_log,finish_status,terminal_event,return_code,terminal_failure_reason,command_to_execute,num_gpus_requested,gpu_memory_requirement_mib,gpu_memory_estimate_mib,state_validity_at_measurement,state_gpu_seen_at,summary_ready_seconds_w5s,summary_ready_seconds_w10s,summary_ready_seconds_w20s,summary_ready_seconds_w30s,summary_ready_seconds_w40s,summary_ready_seconds_w60s,summary_ready_seconds_w120s,summary_ready_seconds_w200s,GPU_mem_available_w5s,GPU_mem_total_w5s,window_samples_w5s,ewma_alpha_w5s,smact_mean_w5s,smact_median_w5s,smact_p95_w5s,smact_ewma_w5s,smact_risk_w5s,smocc_mean_w5s,smocc_median_w5s,smocc_p95_w5s,smocc_ewma_w5s,smocc_risk_w5s,drama_mean_w5s,drama_median_w5s,drama_p95_w5s,drama_ewma_w5s,drama_risk_w5s,smact_w5s,smocc_w5s,drama_w5s,window_start_monotonic_time_w5s,window_end_monotonic_time_w5s,window_duration_seconds_w5s,GPU_mem_available_w10s,GPU_mem_total_w10s,window_samples_w10s,ewma_alpha_w10s,smact_mean_w10s,smact_median_w10s,smact_p95_w10s,smact_ewma_w10s,smact_risk_w10s,smocc_mean_w10s,smocc_median_w10s,smocc_p95_w10s,smocc_ewma_w10s,smocc_risk_w10s,drama_mean_w10s,drama_median_w10s,drama_p95_w10s,drama_ewma_w10s,drama_risk_w10s,smact_w10s,smocc_w10s,drama_w10s,window_start_monotonic_time_w10s,window_end_monotonic_time_w10s,window_duration_seconds_w10s,GPU_mem_available_w20s,GPU_mem_total_w20s,window_samples_w20s,ewma_alpha_w20s,smact_mean_w20s,smact_median_w20s,smact_p95_w20s,smact_ewma_w20s,smact_risk_w20s,smocc_mean_w20s,smocc_median_w20s,smocc_p95_w20s,smocc_ewma_w20s,smocc_risk_w20s,drama_mean_w20s,drama_median_w20s,drama_p95_w20s,drama_ewma_w20s,drama_risk_w20s,smact_w20s,smocc_w20s,drama_w20s,window_start_monotonic_time_w20s,window_end_monotonic_time_w20s,window_duration_seconds_w20s,GPU_mem_available_w30s,GPU_mem_total_w30s,window_samples_w30s,ewma_alpha_w30s,smact_mean_w30s,smact_median_w30s,smact_p95_w30s,smact_ewma_w30s,smact_risk_w30s,smocc_mean_w30s,smocc_median_w30s,smocc_p95_w30s,smocc_ewma_w30s,smocc_risk_w30s,drama_mean_w30s,drama_median_w30s,drama_p95_w30s,drama_ewma_w30s,drama_risk_w30s,smact_w30s,smocc_w30s,drama_w30s,window_start_monotonic_time_w30s,window_end_monotonic_time_w30s,window_duration_seconds_w30s,GPU_mem_available_w40s,GPU_mem_total_w40s,window_samples_w40s,ewma_alpha_w40s,smact_mean_w40s,smact_median_w40s,smact_p95_w40s,smact_ewma_w40s,smact_risk_w40s,smocc_mean_w40s,smocc_median_w40s,smocc_p95_w40s,smocc_ewma_w40s,smocc_risk_w40s,drama_mean_w40s,drama_median_w40s,drama_p95_w40s,drama_ewma_w40s,drama_risk_w40s,smact_w40s,smocc_w40s,drama_w40s,window_start_monotonic_time_w40s,window_end_monotonic_time_w40s,window_duration_seconds_w40s,GPU_mem_available_w60s,GPU_mem_total_w60s,window_samples_w60s,ewma_alpha_w60s,smact_mean_w60s,smact_median_w60s,smact_p95_w60s,smact_ewma_w60s,smact_risk_w60s,smocc_mean_w60s,smocc_median_w60s,smocc_p95_w60s,smocc_ewma_w60s,smocc_risk_w60s,drama_mean_w60s,drama_median_w60s,drama_p95_w60s,drama_ewma_w60s,drama_risk_w60s,smact_w60s,smocc_w60s,drama_w60s,window_start_monotonic_time_w60s,window_end_monotonic_time_w60s,window_duration_seconds_w60s,GPU_mem_available_w120s,GPU_mem_total_w120s,window_samples_w120s,ewma_alpha_w120s,smact_mean_w120s,smact_median_w120s,smact_p95_w120s,smact_ewma_w120s,smact_risk_w120s,smocc_mean_w120s,smocc_median_w120s,smocc_p95_w120s,smocc_ewma_w120s,smocc_risk_w120s,drama_mean_w120s,drama_median_w120s,drama_p95_w120s,drama_ewma_w120s,drama_risk_w120s,smact_w120s,smocc_w120s,drama_w120s,window_start_monotonic_time_w120s,window_end_monotonic_time_w120s,window_duration_seconds_w120s,GPU_mem_available_w200s,GPU_mem_total_w200s,window_samples_w200s,ewma_alpha_w200s,smact_mean_w200s,smact_median_w200s,smact_p95_w200s,smact_ewma_w200s,smact_risk_w200s,smocc_mean_w200s,smocc_median_w200s,smocc_p95_w200s,smocc_ewma_w200s,smocc_risk_w200s,drama_mean_w200s,drama_median_w200s,drama_p95_w200s,drama_ewma_w200s,drama_risk_w200s,smact_w200s,smocc_w200s,drama_w200s,window_start_monotonic_time_w200s,window_end_monotonic_time_w200s,window_duration_seconds_w200s,GPU_mem_available,GPU_mem_total,window_samples,ewma_alpha,smact_mean,smact_median,smact_p95,smact_ewma,smact_risk,smocc_mean,smocc_median,smocc_p95,smocc_ewma,smocc_risk,drama_mean,drama_median,drama_p95,drama_ewma,drama_risk,smact,smocc,drama,window_start_monotonic_time,window_end_monotonic_time,window_duration_seconds
2026-05-09T02:43:53.886968,solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,/home/ehyo/AEGIS,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,1374524,1374612,1374612,2026-05-09T01:37:46.403229,25.48045799601823,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0","5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",200.0,30.5259269719827,3967.1626617930015,3911.1562768250005,/home/ehyo/AEGIS/evaluation/threshold_sensitivity/solo_runs/solo_2gpu_threshold_windows_20260509_013745/events/solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7.jsonl,/home/ehyo/AEGIS/out-2026-05-09_01:37:46-98ba4929-5f45-4b79-9028-6f92dfe91904.log,/home/ehyo/AEGIS/err-2026-05-09_01:37:46-98ba4929-5f45-4b79-9028-6f92dfe91904.log,/home/ehyo/AEGIS/time-2026-05-09_01:37:46-98ba4929-5f45-4b79-9028-6f92dfe91904.et,completed,completed,0,,python evaluation/workloads/training/scripts/clean/gpt2_large_wiki_train.py --use_data_parallel,2,28356,,True,444793.699931918,5.585617389995605,10.284431178006344,20.04174726898782,30.5259269719827,40.31038672401337,60.3625365520129,120.20059274201049,200.55329017498298,11529.0,40960.0,3.0,0.5,0.31033333333333335,0.123,0.7395,0.43475,0.40189583333333334,0.10266666666666667,0.037,0.2476,0.14475000000000002,0.13300416666666667,0.09999999999999999,0.084,0.19829999999999998,0.12775,0.1275125,0.40189583333333334,0.13300416666666667,0.1275125,444793.699931918,444798.699931918,5.0,11529.0,40960.0,6.0,0.2857142857142857,0.44366666666666665,0.4655,0.88675,0.5137285654786696,0.5774113080363341,0.14016666666666666,0.15,0.27075000000000005,0.1617855655381686,0.18067555805120883,0.1505,0.1985,0.20975,0.15611501160230856,0.17871625290057713,0.5774113080363341,0.18067555805120883,0.17871625290057713,444793.699931918,444803.699931918,10.0,11529.0,40960.0,12.0,0.15384615384615385,0.48491666666666666,0.7125,0.886,0.48075423493929653,0.6410427254014909,0.15816666666666668,0.2595,0.27045,0.15918330949929152,0.21182499404148955,0.18558333333333332,0.20400000000000001,0.24034999999999998,0.18279630523489826,0.20318240964205792,0.6410427254014909,0.21182499404148955,0.20318240964205792,444793.699931918,444813.699931918,20.0,11529.0,40960.0,18.0,0.10526315789473684,0.5130555555555556,0.7885,0.9160999999999999,0.4959052100018408,0.6783901913893491,0.16616666666666668,0.264,0.27415,0.16017992074427964,0.2161241468527366,0.19844444444444445,0.215,0.24275,0.1859319043263984,0.2105315871927107,0.6783901913893491,0.2161241468527366,0.2105315871927107,444793.699931918,444823.699931918,30.0,11529.0,40960.0,24.0,0.08,0.531625,0.804,0.9544999999999999,0.5035924586823866,0.6984293646705966,0.16958333333333334,0.2655,0.274,0.1589927113727808,0.21701901117652855,0.20095833333333335,0.212,0.24155,0.1817705485771791,0.2090697204776281,0.6984293646705966,0.21701901117652855,0.2090697204776281,444793.699931918,444833.699931918,40.0,11529.0,40960.0,37.0,0.05263157894736842,0.5222432432432431,0.8,0.9243999999999998,0.4599091983836931,0.676638110406734,0.16794594594594595,0.265,0.2742,0.14727001217547012,0.213603989530354,0.2057027027027027,0.212,0.24039999999999997,0.18314953893528804,0.21031306040949768,0.676638110406734,0.213603989530354,0.21031306040949768,444793.699931918,444853.699931918,60.0,11529.0,40960.0,73.0,0.02702702702702703,0.5347671232876712,0.808,0.962,0.46483899193974054,0.6924015288068529,0.17205479452054795,0.266,0.27440000000000003,0.14886408765624384,0.21532972054419794,0.21154794520547945,0.218,0.245,0.18642947225581616,0.2152443543653239,0.6924015288068529,0.21532972054419794,0.2152443543653239,444793.699931918,444913.699931918,120.0,11529.0,40960.0,122.0,0.016260162601626018,0.546811475409836,0.809,0.9608499999999996,0.4782903469361497,0.6987379555864963,0.17536065573770493,0.266,0.27495,0.1533786905343272,0.21742233656800805,0.21313114754098358,0.217,0.245,0.1865934015898273,0.21543113728270272,0.6987379555864963,0.21742233656800805,0.21543113728270272,444793.699931918,444993.699931918,200.0,11529.0,40960.0,18.0,0.10526315789473684,0.5130555555555556,0.7885,0.9160999999999999,0.4959052100018408,0.6783901913893491,0.16616666666666668,0.264,0.27415,0.16017992074427964,0.2161241468527366,0.19844444444444445,0.215,0.24275,0.1859319043263984,0.2105315871927107,0.6783901913893491,0.2161241468527366,0.2105315871927107,444793.699931918,444823.699931918,30.0
2026-05-09T03:42:40.730726,solo_0002_xlnet_base_cased_wiki_bs8_2gpu_e2154297,cd217042-b000-4b78-963f-581579aa791e,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xlnet_base_cased_wiki_bs8_2gpu.yaml,/home/ehyo/AEGIS,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,1414807,1414865,1414865,2026-05-09T02:43:54.432901,18.527332229015883,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0","5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",200.0,30.51757046097191,3526.224902269023,3477.179999579035,/home/ehyo/AEGIS/evaluation/threshold_sensitivity/solo_runs/solo_2gpu_threshold_windows_20260509_013745/events/solo_0002_xlnet_base_cased_wiki_bs8_2gpu_e2154297.jsonl,/home/ehyo/AEGIS/out-2026-05-09_02:43:54-cd217042-b000-4b78-963f-581579aa791e.log,/home/ehyo/AEGIS/err-2026-05-09_02:43:54-cd217042-b000-4b78-963f-581579aa791e.log,/home/ehyo/AEGIS/time-2026-05-09_02:43:54-cd217042-b000-4b78-963f-581579aa791e.et,completed,completed,0,,python evaluation/workloads/training/scripts/clean/xlnet_base_cased_wiki_train.py,2,9192,,True,448754.776478236,5.616059519990813,10.267680308956187,20.078439006989356,30.51757046097191,40.37071087496588,60.48690516297938,120.3620136269601,200.14894236600958,31059.0,40960.0,3.0,0.5,0.42333333333333334,0.458,0.7766000000000001,0.5205000000000001,0.5446083333333334,0.161,0.185,0.28669999999999995,0.19524999999999998,0.2069875,0.13633333333333333,0.173,0.2045,0.15425,0.16702083333333334,0.5446083333333334,0.2069875,0.16702083333333334,448754.776478236,448759.776478236,5.0,31047.0,40960.0,6.0,0.2857142857142857,0.4963333333333333,0.635,0.869,0.5344480276075445,0.6336953402352195,0.1885,0.2415,0.329,0.20266543702028916,0.2404163592550723,0.1718333333333333,0.20400000000000001,0.2125,0.1715672041411317,0.18997513436861627,0.6336953402352195,0.2404163592550723,0.18997513436861627,448754.776478236,448764.776478236,10.0,31047.0,40960.0,12.0,0.15384615384615385,0.5184166666666666,0.799,0.85705,0.500471586840699,0.6687345633768413,0.19708333333333336,0.2985,0.32465,0.19014173506628823,0.2525937670999054,0.18766666666666665,0.2025,0.21345,0.1749991531515661,0.1946539549545582,0.6687345633768413,0.2525937670999054,0.1946539549545582,448754.776478236,448774.776478236,20.0,31047.0,40960.0,18.0,0.10526315789473684,0.5291111111111111,0.799,0.8516999999999999,0.4953389746451902,0.6687875214390754,0.2005,0.3005,0.32295,0.18712487700846575,0.2527687192521164,0.19349999999999998,0.204,0.21315,0.17783440744727408,0.1971211018618185,0.6687875214390754,0.2527687192521164,0.1971211018618185,448754.776478236,448784.776478236,30.0,31047.0,40960.0,24.0,0.08,0.5344166666666667,0.8075000000000001,0.8579,0.4909520762597836,0.6726921857316125,0.2021666666666667,0.3015,0.3207,0.18530367300526318,0.2524175849179825,0.19758333333333333,0.2045,0.21384999999999998,0.18035530004678388,0.1990721583450293,0.6726921857316125,0.2524175849179825,0.1990721583450293,448754.776478236,448794.776478236,40.0,31047.0,40960.0,35.0,0.05555555555555555,0.5296571428571428,0.805,0.86,0.46803036022950745,0.6656718757716625,0.19931428571428572,0.299,0.3228,0.1753358020981809,0.24911252195311664,0.2006285714285714,0.205,0.2183,0.18125504236181741,0.2012959034475972,0.6656718757716625,0.24911252195311664,0.2012959034475972,448754.776478236,448814.776478236,60.0,31047.0,40960.0,71.0,0.027777777777777776,0.5409154929577465,0.81,0.857,0.47351808088158587,0.6703583934598331,0.20301408450704223,0.303,0.326,0.17711636694581467,0.25228261286321424,0.20447887323943664,0.206,0.2215,0.1829000322436822,0.20371972637077973,0.6703583934598331,0.25228261286321424,0.20371972637077973,448754.776478236,448874.776478236,120.0,31047.0,40960.0,117.0,0.01694915254237288,0.5447863247863247,0.81,0.8562,0.47663676751485595,0.6719057730752951,0.20475213675213674,0.302,0.325,0.1791787285105675,0.25273271631567606,0.20552136752136752,0.206,0.22319999999999998,0.1825698234193229,0.2043227977351726,0.6719057730752951,0.25273271631567606,0.2043227977351726,448754.776478236,448954.776478236,200.0,31047.0,40960.0,18.0,0.10526315789473684,0.5291111111111111,0.799,0.8516999999999999,0.4953389746451902,0.6687875214390754,0.2005,0.3005,0.32295,0.18712487700846575,0.2527687192521164,0.19349999999999998,0.204,0.21315,0.17783440744727408,0.1971211018618185,0.6687875214390754,0.2527687192521164,0.1971211018618185,448754.776478236,448784.776478236,30.0
2026-05-09T04:40:35.546968,solo_0003_xlnet_large_cased_wiki_bs4_2gpu_391e33c5,837692cc-817a-4726-8d03-020eab026299,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xlnet_large_cased_wiki_bs4_2gpu.yaml,/home/ehyo/AEGIS,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,1437916,1437973,1437973,2026-05-09T03:42:41.318154,21.410340712987818,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0","5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",200.0,30.128958309011068,3474.1553685209947,3422.616069498996,/home/ehyo/AEGIS/evaluation/threshold_sensitivity/solo_runs/solo_2gpu_threshold_windows_20260509_013745/events/solo_0003_xlnet_large_cased_wiki_bs4_2gpu_391e33c5.jsonl,/home/ehyo/AEGIS/out-2026-05-09_03:42:41-837692cc-817a-4726-8d03-020eab026299.log,/home/ehyo/AEGIS/err-2026-05-09_03:42:41-837692cc-817a-4726-8d03-020eab026299.log,/home/ehyo/AEGIS/time-2026-05-09_03:42:41-837692cc-817a-4726-8d03-020eab026299.et,completed,completed,0,,python evaluation/workloads/training/scripts/clean/xlnet_large_cased_wiki_train.py,2,19330,,True,452284.544739391,5.203330393997021,10.501394787977915,20.303855174977798,30.128958309011068,40.56186788500054,60.01997548999498,120.15522721101297,200.14723066496663,26415.0,40960.0,3.0,0.5,0.5633333333333334,0.828,0.8586,0.638,0.7219833333333333,0.20133333333333334,0.301,0.3028,0.22675,0.2579708333333333,0.19666666666666666,0.208,0.2377,0.1995,0.21046666666666666,0.7219833333333333,0.2579708333333333,0.21046666666666666,452284.544739391,452289.544739391,5.0,26197.0,40960.0,6.0,0.2857142857142857,0.5604999999999999,0.8225,0.8605,0.6073756173023145,0.7127189043255786,0.20166666666666666,0.2985,0.30825,0.21727655143690128,0.256423304525892,0.20233333333333334,0.20450000000000002,0.23625,0.19660897245195458,0.20992307644632197,0.7127189043255786,0.256423304525892,0.20992307644632197,452284.544739391,452294.544739391,10.0,26197.0,40960.0,11.0,0.16666666666666666,0.5425454545454546,0.828,0.894,0.5539867515352717,0.7046330515201815,0.1988181818181818,0.301,0.3345,0.20367133213451435,0.25949737848817406,0.20972727272727273,0.214,0.237,0.2055443978795682,0.21656791765171024,0.7046330515201815,0.25949737848817406,0.21656791765171024,452284.544739391,452304.544739391,20.0,26197.0,40960.0,17.0,0.1111111111111111,0.5408235294117647,0.804,0.8747999999999999,0.5549595407733242,0.6936457675462722,0.19994117647058823,0.299,0.3228,0.20599232571425108,0.2569333755462098,0.20788235294117646,0.208,0.2346,0.1988402419916854,0.21233064873321547,0.6936457675462722,0.2569333755462098,0.21233064873321547,452284.544739391,452314.544739391,30.0,26145.0,40960.0,22.0,0.08695652173913043,0.5653181818181817,0.8105,0.8617,0.6093916485965508,0.7117274576036831,0.21177272727272725,0.302,0.32465,0.2295795975815362,0.26700058121356585,0.20968181818181816,0.212,0.23275,0.2019615988929857,0.21409835426870097,0.7117274576036831,0.26700058121356585,0.21409835426870097,452284.544739391,452324.544739391,40.0,26145.0,40960.0,34.0,0.05714285714285714,0.5539117647058823,0.7905,0.8581,0.5951981418538207,0.6994274766399257,0.21038235294117646,0.303,0.32935000000000003,0.22643099861440638,0.26729083788889574,0.20979411764705883,0.213,0.2344,0.20147418346374954,0.2146670752777021,0.6994274766399257,0.26729083788889574,0.2146670752777021,452284.544739391,452344.544739391,60.0,26131.0,40960.0,67.0,0.029411764705882353,0.5522537313432837,0.793,0.8839999999999999,0.5930475380016146,0.7055753173362246,0.20682089552238805,0.296,0.3356,0.220177420539246,0.26464957901540853,0.21011940298507464,0.214,0.23370000000000002,0.20025418628602615,0.21451839731777522,0.7055753173362246,0.26464957901540853,0.21451839731777522,452284.544739391,452404.544739391,120.0,26131.0,40960.0,113.0,0.017543859649122806,0.5448584070796461,0.792,0.8688,0.5797159099839453,0.6963435792658978,0.2065132743362832,0.299,0.3346,0.2193387766458834,0.26486301274554164,0.2130265486725664,0.216,0.237,0.20472795137525,0.2176886250119541,0.6963435792658978,0.26486301274554164,0.2176886250119541,452284.544739391,452484.544739391,200.0,26197.0,40960.0,17.0,0.1111111111111111,0.5408235294117647,0.804,0.8747999999999999,0.5549595407733242,0.6936457675462722,0.19994117647058823,0.299,0.3228,0.20599232571425108,0.2569333755462098,0.20788235294117646,0.208,0.2346,0.1988402419916854,0.21233064873321547,0.6936457675462722,0.2569333755462098,0.21233064873321547,452284.544739391,452314.544739391,30.0
