threshold_dir,run_dir,tau_smact,tau_smocc,tau_drama,num_trials,planned_workload_count_sum,admitted_workload_count_sum,admission_fraction,completion_fraction,mean_throughput_gain,median_throughput_gain,mean_slowdown,median_max_slowdown,max_slowdown,p95_max_slowdown,p95_slowdown_mean,failed_started_rows,reject_retry_count,score,manifest,solo_runtime_csv
smact_0p90_smocc_0p45_drama_0p40,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p90_smocc_0p45_drama_0p40,0.9,0.45,0.4,5,22,22,1.0,1.0,2.0618515484257656,2.018918396844267,1.5718288608660018,1.4250637118578646,2.544304608660788,2.521744469951617,1.793077874785886,0,0,0.8103792059359729,,
smact_0p90_smocc_0p45_drama_0p50,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p90_smocc_0p45_drama_0p50,0.9,0.45,0.5,5,22,22,1.0,1.0,2.0637173725435956,2.037793717611511,1.5649880094410225,1.4210213989172562,2.544467071676958,2.5224660378423582,1.7925420946468336,0,0,0.8110607504083284,,
smact_0p90_smocc_0p45_drama_0p60,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p90_smocc_0p45_drama_0p60,0.9,0.45,0.6,5,22,22,1.0,1.0,2.0509468622826676,2.009293798005645,1.570575934867912,1.420647429803029,2.53836631715686,2.518250981857621,1.79317444555926,0,0,0.8079790723743393,,
smact_0p90_smocc_0p55_drama_0p20,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p90_smocc_0p55_drama_0p20,0.9,0.55,0.2,5,22,22,1.0,1.0,2.0669600714814784,2.0598877373312114,1.5713212888690329,1.4251991674509477,2.5452101255842163,2.5256919715465074,1.7963040585578718,0,0,0.8120980074315229,,
smact_0p90_smocc_0p55_drama_0p30,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p90_smocc_0p55_drama_0p30,0.9,0.55,0.3,5,22,22,1.0,1.0,2.063901490057858,2.073898104117115,1.5663700011888568,1.4241636913572662,2.534711989208696,2.51522405252641,1.7921684714413775,0,0,0.8142548340185115,,
smact_0p90_smocc_0p55_drama_0p40,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p90_smocc_0p55_drama_0p40,0.9,0.55,0.4,5,22,22,1.0,1.0,2.064009887513354,2.080480585288534,1.5675659474210626,1.4224342044382137,2.5339002112782576,2.5144508375393757,1.7911440845539306,0,0,0.8145584732684238,,
smact_0p90_smocc_0p55_drama_0p50,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p90_smocc_0p55_drama_0p50,0.9,0.55,0.5,5,22,22,1.0,1.0,2.061218900066063,2.009509481436755,1.5671398507265373,1.4221258676093236,2.536410939751367,2.5154451371697952,1.791055671483944,0,0,0.8126517938249055,,
smact_0p90_smocc_0p55_drama_0p60,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p90_smocc_0p55_drama_0p60,0.9,0.55,0.6,5,22,22,1.0,1.0,2.0632842108643037,2.0494198346033485,1.5640946557937365,1.4260427621744487,2.539756056439737,2.5193002807111275,1.7940048740690748,0,0,0.8123946414588503,,
smact_0p90_smocc_0p65_drama_0p20,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p90_smocc_0p65_drama_0p20,0.9,0.65,0.2,5,22,22,1.0,1.0,2.060004548339169,2.0491469927368424,1.566814225796638,1.4246374705133371,2.539308435259588,2.5172389234916492,1.7922048597309146,0,0,0.8112462904210291,,
smact_0p90_smocc_0p65_drama_0p30,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p90_smocc_0p65_drama_0p30,0.9,0.65,0.3,5,22,22,1.0,1.0,2.049316153537043,2.0300525447059403,1.5673989781803173,1.418717791895811,2.536984803770423,2.5172151414694133,1.7916404178730925,0,0,0.8077762824954193,,
