trial_id,gpu_id,cuda_visible_devices,tau_smact,tau_smocc,tau_drama,window_seconds,planned_workload_count,admitted_workload_count,rejected_stage,rejection_reason,reject_retry_count,solo_runtime_sum_seconds,collocated_wall_time_seconds,sequence_wall_time_seconds,throughput_gain,mean_slowdown,max_slowdown,p95_slowdown,mean_execution_slowdown,max_execution_slowdown,p95_execution_slowdown,run_dir,threshold_dir,failed_started_rows
mixed_reverse_llama_cifar_imagenet_4jobs,0,0,0.1,0.05,0.1,30.0,4,4,3.0,threshold_rule,361,1429.2329093479966,445.739594,952.219193,1.5009494871082656,0.9593042834965112,0.994719506295792,0.994719506295792,0.9593042834965112,0.994719506295792,0.994719506295792,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p10,smact_0p10_smocc_0p05_drama_0p10,0
imagenet_diverse_5jobs,0,0,0.1,0.05,0.1,30.0,5,5,2.0,threshold_rule,418,916.242493062,236.134135,901.194702,1.0166976026696617,0.9908762367839978,1.0010071151258508,1.0010071151258508,0.9908762367839978,1.0010071151258508,1.0010071151258508,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p10,smact_0p10_smocc_0p05_drama_0p10,0
imagenet_diverse_reverse_5jobs,0,0,0.1,0.05,0.1,30.0,5,5,2.0,threshold_rule,419,916.242493062,236.394021,910.29181,1.006537115896934,0.9905384732901702,1.000160687523587,1.000160687523587,0.9905384732901702,1.000160687523587,1.000160687523587,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p10,smact_0p10_smocc_0p05_drama_0p10,0
cifar_llama_imagenet_4jobs,0,0,0.1,0.05,0.1,30.0,4,4,3.0,threshold_rule,405,1429.2329093479966,452.100795,907.37288,1.575132936911225,0.9398851142239976,0.9941862471003918,0.9941862471003918,0.9398851142239976,0.9941862471003918,0.9941862471003918,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p10,smact_0p10_smocc_0p05_drama_0p10,0
mixed_imagenet_cifar_llama_4jobs,0,0,0.1,0.05,0.2,30.0,4,4,2.0,threshold_rule,285,1429.2329093479966,438.346074,981.370832,1.4563637543977836,0.9369970629228642,1.0049131970599492,1.0049131970599492,0.9369970629228642,1.0049131970599492,1.0049131970599492,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p20,smact_0p10_smocc_0p05_drama_0p20,0
mixed_reverse_llama_cifar_imagenet_4jobs,0,0,0.1,0.05,0.2,30.0,4,4,3.0,threshold_rule,357,1429.2329093479966,445.160451,946.000164,1.5108167669915928,0.9345560953650836,0.9972844245012562,0.9972844245012562,0.9345560953650836,0.9972844245012562,0.9972844245012562,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p20,smact_0p10_smocc_0p05_drama_0p20,0
imagenet_diverse_5jobs,0,0,0.1,0.05,0.2,30.0,5,5,2.0,threshold_rule,422,916.242493062,236.564018,913.407869,1.0031033497282034,0.9920283594680576,1.0027519224060593,1.0027519224060593,0.9920283594680576,1.0027519224060593,1.0027519224060593,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p20,smact_0p10_smocc_0p05_drama_0p20,0
imagenet_diverse_reverse_5jobs,0,0,0.1,0.05,0.2,30.0,5,5,2.0,threshold_rule,415,916.242493062,235.806078,912.098241,1.0045436465894906,0.9902575694118376,0.999320932276741,0.999320932276741,0.9902575694118376,0.999320932276741,0.999320932276741,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p20,smact_0p10_smocc_0p05_drama_0p20,0
cifar_llama_imagenet_4jobs,0,0,0.1,0.05,0.2,30.0,4,4,2.0,threshold_rule,438,1429.2329093479966,456.533695,987.160271,1.447822558641034,0.947205164151144,0.9946065173310265,0.9946065173310265,0.947205164151144,0.9946065173310265,0.9946065173310265,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p20,smact_0p10_smocc_0p05_drama_0p20,0
mixed_imagenet_cifar_llama_4jobs,0,0,0.1,0.05,0.3,30.0,4,4,2.0,threshold_rule,318,1429.2329093479966,450.690647,1039.138057,1.3754023343868318,0.9449382185319284,1.0030622267044849,1.0030622267044849,0.9449382185319284,1.0030622267044849,1.0030622267044849,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p30,smact_0p10_smocc_0p05_drama_0p30,0
mixed_reverse_llama_cifar_imagenet_4jobs,0,0,0.1,0.05,0.3,30.0,4,4,3.0,threshold_rule,342,1429.2329093479966,429.515611,929.215423,1.538107175119495,0.9296822045309644,0.9921613337001648,0.9921613337001648,0.9296822045309644,0.9921613337001648,0.9921613337001648,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p30,smact_0p10_smocc_0p05_drama_0p30,0
imagenet_diverse_5jobs,0,0,0.1,0.05,0.3,30.0,5,5,2.0,threshold_rule,422,916.242493062,236.493385,910.715238,1.0060691364670018,0.990586892321642,1.000581087185705,1.000581087185705,0.990586892321642,1.000581087185705,1.000581087185705,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p30,smact_0p10_smocc_0p05_drama_0p30,0
imagenet_diverse_reverse_5jobs,0,0,0.1,0.05,0.3,30.0,5,5,2.0,threshold_rule,376,916.242493062,236.202225,913.613172,1.002877936902162,0.9932302955343708,1.001179805808189,1.001179805808189,0.9932302955343708,1.001179805808189,1.001179805808189,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p30,smact_0p10_smocc_0p05_drama_0p30,0
cifar_llama_imagenet_4jobs,0,0,0.1,0.05,0.3,30.0,4,4,3.0,threshold_rule,400,1429.2329093479966,459.613309,1001.116944,1.4276383172953235,0.9518954334618872,1.0050819622245688,1.0050819622245688,0.9518954334618872,1.0050819622245688,1.0050819622245688,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p30,smact_0p10_smocc_0p05_drama_0p30,0
mixed_imagenet_cifar_llama_4jobs,0,0,0.1,0.05,0.4,30.0,4,4,2.0,threshold_rule,309,1429.2329093479966,447.778249,1020.358944,1.4007158145202645,0.9575096072621976,1.0028163617178052,1.0028163617178052,0.9575096072621976,1.0028163617178052,1.0028163617178052,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p40,smact_0p10_smocc_0p05_drama_0p40,0
mixed_reverse_llama_cifar_imagenet_4jobs,0,0,0.1,0.05,0.4,30.0,4,4,3.0,threshold_rule,358,1429.2329093479966,446.252929,947.72662,1.508064540118116,0.9407687023923468,1.0011266801427243,1.0011266801427243,0.9407687023923468,1.0011266801427243,1.0011266801427243,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p40,smact_0p10_smocc_0p05_drama_0p40,0
imagenet_diverse_5jobs,0,0,0.1,0.05,0.4,30.0,5,5,2.0,threshold_rule,193,916.242493062,348.232894,749.169445,1.2230110279817938,1.4402709044802946,2.086466178080957,2.086466178080957,1.4402709044802946,2.086466178080957,2.086466178080957,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p40,smact_0p10_smocc_0p05_drama_0p40,0
imagenet_diverse_reverse_5jobs,0,0,0.1,0.05,0.4,30.0,5,5,2.0,threshold_rule,356,916.242493062,236.128303,913.607333,1.0028843464438348,0.9922754592086224,0.9990364598614696,0.9990364598614696,0.9922754592086224,0.9990364598614696,0.9990364598614696,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p40,smact_0p10_smocc_0p05_drama_0p40,0
