submit_time_s,task_path
0,evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs64_20e_1gpu.yaml
5,evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs64_20e_1gpu.yaml
10,evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs128_20e_1gpu.yaml
15,evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs64_20e_1gpu.yaml
