configuration_label,run_label,completion_fraction,makespan_s,makespan_s_vs_exclusive,makespan_reduction_percent,total_queue_wait_mean_s,total_queue_wait_mean_s_vs_exclusive,total_queue_wait_p95_s,total_queue_wait_p95_s_vs_exclusive,jct_mean_s,jct_mean_s_vs_exclusive,jct_p95_s,jct_p95_s_vs_exclusive,total_execution_time_mean_s,total_execution_time_mean_s_vs_exclusive,total_execution_time_p95_s,total_execution_time_p95_s_vs_exclusive,successful_attempt_runtime_mean_s,successful_attempt_runtime_mean_s_vs_exclusive,failed_attempt_count,recovered_attempt_count
exclusive,exclusive,1.0,42633.526644,1.0,0.0,16928.3363411,1.0,29115.10709685,1.0,18823.171411916668,1.0,30761.54493585,1.0,1894.8059101666663,1.0,3520.1947086999985,1.0,1894.8059101666663,1.0,0,0
or_lug,OR-LUG,1.0,33560.159135,0.7871776457818103,21.282235421818974,8677.038849166667,0.512574813869916,16953.24469015,0.5822834391010774,11972.05855908333,0.6360277073981274,21465.0252607,0.6977876210529437,3294.9926142333343,1.7389604901240296,8089.4102219499955,2.2980007901146466,3294.3588016833337,1.7386259901382528,3,3
or_magm,OR-MAGM,1.0,30208.227242,0.7085556748388615,29.14443251611385,8686.463268366668,0.5131315383471536,15885.16814425,0.5455988223367599,11915.943266683336,0.633046525791054,20698.911821899997,0.672882713305376,3229.4512844333326,1.7043704936244743,7443.161986849997,2.1144176964003063,3228.944029133333,1.7041027853081356,3,3
or_rr,OR-RR,1.0,33521.772581,0.7862772615766626,21.372273842333744,9097.988836166664,0.5374414031506346,19721.913055699995,0.6773773144675719,12528.219089616665,0.6655742975216832,21231.12264669999,0.690183886764312,3430.199614983334,1.810317139385329,6576.5505079,1.868234871112771,3427.266492366667,1.8087691588766504,8,8
