task_file,workload,num_gpus,estimator,yaml_field,peak_memory_mib,estimate_mib,error_mib,abs_error_mib,estimate_to_peak_ratio,underestimates,severe_underestimates,overestimates,severe_overestimates,extreme_overestimates
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs32_50e_1gpu.yaml,efficientnet_cifar100_bs32_50e_1gpu.yaml,1,FakeTensorMem,faketensor_mib,668.0,64.12,-603.88,603.88,0.09598802395209581,True,True,False,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs32_50e_1gpu.yaml,efficientnet_cifar100_bs32_50e_1gpu.yaml,1,GPUMemNet,gpumemnet_mib,668.0,8000.0,7332.0,7332.0,11.976047904191617,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_20e_1gpu.yaml,efficientnet_cifar100_bs64_20e_1gpu.yaml,1,HorusMem,horus_mib,724.0,1881.9978,1157.9978,1157.9978,2.599444475138122,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_20e_1gpu.yaml,efficientnet_cifar100_bs64_20e_1gpu.yaml,1,FakeTensorMem,faketensor_mib,724.0,118.49,-605.51,605.51,0.16366022099447514,True,True,False,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_20e_1gpu.yaml,efficientnet_cifar100_bs64_20e_1gpu.yaml,1,GPUMemNet,gpumemnet_mib,724.0,8000.0,7276.0,7276.0,11.049723756906078,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_50e_1gpu.yaml,efficientnet_cifar100_bs64_50e_1gpu.yaml,1,HorusMem,horus_mib,724.0,1881.9978,1157.9978,1157.9978,2.599444475138122,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_50e_1gpu.yaml,efficientnet_cifar100_bs64_50e_1gpu.yaml,1,FakeTensorMem,faketensor_mib,724.0,118.49,-605.51,605.51,0.16366022099447514,True,True,False,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_50e_1gpu.yaml,efficientnet_cifar100_bs64_50e_1gpu.yaml,1,GPUMemNet,gpumemnet_mib,724.0,8000.0,7276.0,7276.0,11.049723756906078,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs128_1gpu.yaml,efficientnet_imagenet_bs128_1gpu.yaml,1,HorusMem,horus_mib,12732.0,12999.0977,267.09770000000026,267.09770000000026,1.0209784558592523,False,False,True,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs128_1gpu.yaml,efficientnet_imagenet_bs128_1gpu.yaml,1,FakeTensorMem,faketensor_mib,12732.0,10904.91068,-1827.0893199999991,1827.0893199999991,0.8564962833804588,True,False,False,False,False
