estimator,task_count,mean_ratio,median_ratio,p05_ratio,p95_ratio,mean_abs_error_mib,median_abs_error_mib,underestimate_count,severe_underestimate_count,overestimate_count,severe_overestimate_count,extreme_overestimate_count
FakeTensorMem,52,1.165998344828234,0.3194290622810325,0.038905550307145584,3.020741424432994,4960.35508250077,1045.40903961,44,40,8,5,5
GPUMemNet,52,6.365300841380549,5.6713848154675475,1.1268825892741159,13.390051180748854,7806.961538461538,7175.0,2,1,50,40,34
HorusMem,52,3.2973230157424216,2.1398035967801277,0.40467824574904543,8.901829647930942,5486.607675000001,2509.4539,5,4,47,31,30
