label,trace_count,completion_rate_mean,failed_total,recovered_total,geomean_normalized_makespan_s,geomean_normalized_mean_jct_s,geomean_normalized_p50_jct_s,geomean_normalized_p95_jct_s,geomean_normalized_mean_queue_wait_s,geomean_normalized_p95_queue_wait_s,geomean_normalized_mean_execution_time_s,geomean_normalized_p95_execution_time_s
AEGIS+PeakMem,3,1.0,0,0,0.7119376098740898,0.5941284846285623,0.5545540982719468,0.607230041547462,0.4422355347216957,0.5198369681833384,1.7853903577474,2.1102538226810514
AEGIS+HorusMem,3,1.0,3,3,0.7331944904339063,0.6240885416495261,0.5874238711180457,0.6380461837684229,0.5202343489890356,0.5844710930155013,1.4531359432101831,1.9642312377901356
AEGIS+FakeTensorMem,3,1.0,0,0,0.7938887166129786,0.6478557181528652,0.5803554029054814,0.6792813644841342,0.5425239146236573,0.6406196415853915,1.4829358074214714,1.8325794816569656
AEGIS+GPUMemNet,3,1.0,1,1,0.7374746176627699,0.6290757342274031,0.6070605009513839,0.636081119544596,0.5096259269961416,0.5730612839896093,1.574950698424507,2.057126252017257
AEGIS-EstimatorFree,3,1.0,12,12,0.7299591801895619,0.6125742049601697,0.5801016138246197,0.5977593696211899,0.49383012204398563,0.5461206365786507,1.5497890998333714,1.9711649704888397
