experiment_name,run_label,display_name,run_dir,job_count,completed_job_count,completion_fraction,makespan_s,jct_mean_s,jct_p50_s,jct_p95_s,jct_p99_s,queue_wait_mean_s,queue_wait_p95_s,failed_attempt_count,recovered_attempt_count,total_recovery_queue_wait_s
final_representative_evaluation__saturn__rep01__aegis_estimator_free,aegis_magm_thresholded,aegis_magm_thresholded,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM,60,60,1.0,33248.588372,10037.939477550002,8453.5499785,21282.53611709999,28265.418789079984,6545.0870768333325,16766.07312114999,3,3,9107.406326
final_representative_evaluation__saturn__rep01__exclusive,exclusive,Exclusive,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive/20260615-210706/exclusive,60,60,1.0,47406.446032,17207.521583016667,14278.9171955,40915.85173475,44439.42749662999,15241.419889100001,36809.21193444999,0,0,0.0
final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug,aegis_lug_thresholded,aegis_lug_thresholded,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug/20260701-201432/OR-LUG,60,60,1.0,35073.639877,9985.667671616664,7986.8693865000005,24464.19937734999,30876.629283659986,6306.988880733335,18338.094069249986,5,5,21122.915573
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds/20260705-181951/OR-LUG,60,60,1.0,36005.578222,10921.718722566666,9197.009656,25855.92625559999,31971.82526875999,7174.763563766667,19266.498257449985,6,6,25532.866491000004
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,aegis_magm_no_thresholds,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds/20260705-091245/OR-MAGM,60,60,1.0,32691.061447,10108.296671333335,8599.00792,24554.736802699987,29960.397435119998,6351.434628316666,16396.988945299978,6,6,23843.031181
