experiment_name,run_label,display_name,run_dir,job_count,completed_job_count,completion_fraction,makespan_s,jct_mean_s,jct_p50_s,jct_p95_s,jct_p99_s,queue_wait_mean_s,queue_wait_p95_s,failed_attempt_count,recovered_attempt_count,total_recovery_queue_wait_s
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__aegis_estimator_free,OR-MAGM,AEGIS (estimator-free),evaluation/experiments/results/final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__aegis_estimator_free/20260623-030541/OR-MAGM,60,60,1.0,29084.351803,10697.72694465,9134.723962,25738.380710849997,27031.51392413,2657.9395191333338,8680.026289450001,0,0,0.0
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__aegis_horus,EST-MAGM__horus,AEGIS + Horus,evaluation/experiments/results/final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__aegis_horus/20260623-114037/EST-MAGM__horus,60,60,1.0,30083.182226,8854.078525616667,8150.5134495,18680.659253799997,24603.91865004998,4213.462686366667,11674.6170431,0,0,0.0
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__exclusive,exclusive,Exclusive,evaluation/experiments/results/final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__exclusive/20260622-171258/exclusive,60,60,1.0,33743.977712,10427.558503949998,9638.432241999999,21829.3143576,27355.727668409978,7197.593404883333,15054.093700999998,0,0,0.0
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__horus_baseline,HORUS__horus,Horus,evaluation/experiments/results/final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__horus_baseline/20260623-203217/HORUS__horus,60,60,1.0,24439.400811,8576.569013183333,7831.042096499999,18559.4117244,21257.355370659996,4792.0610876499995,10645.3729143,0,0,0.0
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__lucid_baseline,LUCID,Lucid,evaluation/experiments/results/final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__lucid_baseline/20260624-034952/LUCID,60,60,1.0,25557.528372,8052.844448266667,7652.711203999999,17726.91259245,22386.378233199994,4236.703929866667,11020.937683,0,0,0.0
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__oracle_upper_bound,oracle-MAGM,Oracle-MAGM,evaluation/experiments/results/final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__oracle_upper_bound/20260624-112609/oracle-MAGM,60,60,1.0,25291.475065,9062.839422250001,8693.9179635,18073.316958199997,20762.19022767999,3147.5005795166667,11661.6524879,0,0,0.0
