experiment_name,run_label,display_name,run_dir,job_count,completed_job_count,completion_fraction,makespan_s,jct_mean_s,jct_p50_s,jct_p95_s,jct_p99_s,queue_wait_mean_s,queue_wait_p95_s,failed_attempt_count,recovered_attempt_count,total_recovery_queue_wait_s
final_representative_evaluation__saturn__rep01__aegis_estimator_free,OR-MAGM,AEGIS,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM,60,60,1.0,33248.588372,10037.939477550002,8453.5499785,21282.53611709999,28265.418789079984,6545.0870768333325,16766.07312114999,3,3,9107.406326
final_representative_evaluation__saturn__rep01__aegis_horus,EST-MAGM__horus,AEGIS+HorusMem,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_horus/20260618-133928/EST-MAGM__horus,60,60,1.0,33852.00443,10764.859562283333,8852.7644535,26126.27320659999,31039.452084499997,7812.253054616667,24489.19435895,2,2,4313.722553
final_representative_evaluation__saturn__rep01__exclusive,exclusive,Exclusive,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive/20260615-210706/exclusive,60,60,1.0,47406.446032,17207.521583016667,14278.9171955,40915.85173475,44439.42749662999,15241.419889100001,36809.21193444999,0,0,0.0
final_representative_evaluation__saturn__rep01__horus_baseline,HORUS__horus,Horus-style,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__horus_baseline/20260618-230855/HORUS__horus,60,60,1.0,43228.082408,14413.13597355,11335.617981,36628.716509,40196.493262079995,12405.583854116667,32507.285443099987,1,1,196.495674
final_representative_evaluation__saturn__rep01__lucid_baseline,LUCID,Lucid-style,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__lucid_baseline/20260619-162854/LUCID,60,60,1.0,40385.670202,12808.471385783334,10011.114007,31216.517703799993,37312.69495317999,10669.53395075,29630.490788950003,0,0,0.0
final_representative_evaluation__saturn__rep01__oracle_upper_bound,oracle-MAGM,AEGIS+PeakMem,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM,60,60,1.0,32342.829011,9963.53444838333,8276.094092,22467.158829799988,28269.14892294999,5922.936589433334,20841.624304200002,0,0,0.0
