configuration_label,run_label,completion_fraction,makespan_s,makespan_s_vs_exclusive,makespan_reduction_percent,total_queue_wait_mean_s,total_queue_wait_mean_s_vs_exclusive,total_queue_wait_p95_s,total_queue_wait_p95_s_vs_exclusive,jct_mean_s,jct_mean_s_vs_exclusive,jct_p95_s,jct_p95_s_vs_exclusive,total_execution_time_mean_s,total_execution_time_mean_s_vs_exclusive,total_execution_time_p95_s,total_execution_time_p95_s_vs_exclusive,successful_attempt_runtime_mean_s,successful_attempt_runtime_mean_s_vs_exclusive,failed_attempt_count,recovered_attempt_count
aegis_estimator_free,OR-MAGM,1.0,33248.588372,0.7013516336904214,29.864836630957857,6696.877182266666,0.43938669959850535,20007.27915915,0.5435400028335041,10037.939477550002,0.5833460344142275,21282.53611709999,0.5201538087260357,3341.034022966667,1.6993428822205374,9147.405206049998,2.5543827247752358,3338.9332453,1.698274368236412,3,3
aegis_horus,EST-MAGM__horus,1.0,33852.00443,0.7140801992865998,28.591980071340018,7884.1484305,0.5172843795307024,24489.19435895,0.6653006970798633,10764.859562283333,0.6255903565396624,26126.27320659999,0.6385367064083586,2880.683842283333,1.4651959691703895,7015.04642555,1.9589285703742165,2879.9280908500004,1.464811572959476,2,2
exclusive,exclusive,1.0,47406.446032,1.0,0.0,15241.4198891,1.0,36809.21193444999,1.0,17207.521583016667,1.0,40915.85173475,1.0,1966.0740971833336,1.0,3581.0628991999984,1.0,1966.0740971833336,1.0,0,0
horus_baseline,HORUS__horus,1.0,43228.082408,0.9118608549314254,8.813914506857456,12408.858782016663,0.8141537253291564,32507.285443099987,0.8831290792367168,14413.13597355,0.8376067351718653,36628.716509,0.8952206774640128,2004.24925765,1.0194169489956444,3678.641595899999,1.0272485291229594,2004.034154983333,1.0193075417932531,1,1
lucid_baseline,LUCID,1.0,40385.670202,0.851902506565017,14.809749343498302,10669.53395075,0.7000354316319561,29630.490788950003,0.804974875357726,12808.471385783334,0.7443530623506485,31216.517703799997,0.76294434504678,2138.9085635666665,1.0879084194389934,4127.679195799997,1.15264079743534,2138.9085635666665,1.0879084194389934,0,0
oracle_upper_bound,oracle-MAGM,1.0,32342.829011,0.682245384713466,31.775461528653402,5922.936589433334,0.3886079271176802,20841.6243042,0.5662067512152897,9963.53444838333,0.5790220515089782,22467.158829799988,0.5491064679638219,4040.5712137,2.0551469649534897,8024.737497199995,2.240881470971287,4040.5712137,2.0551469649534897,0,0
