workload_id,run_id,spec_path,source_gpu_count,gpu_label,training_loop_time_s,end_to_end_time_s,exit_code,gpu_memory_requirement_mib,faketensor_estimate,gpu_memory_peak_mib_peak_200s,gpu_memory_peak_mib_peak_full,gputl_max_200s,gputl_max_full,gputl_mean_200s,gputl_mean_full,gputl_median_200s,gputl_median_full,horus_oracle_util_full,horus_profile_util_200s,horus_oracle_util_median_full,horus_profile_util_median_200s,horus_oracle_util_max_full,horus_profile_util_max_200s,horus_oracle_memory_full_mib,horus_profile_memory_200s_mib,horus_oracle_util_source,horus_abs_error_200s_vs_full_util,horus_relative_error_200s_vs_full_util
inception_imagenet_bs128_1gpu,2026-05-01_01-24-22_a8c790c1,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs128_1gpu.yaml,1,single,2978.89,2983.56,0,17830.0,11.9588,17964.0,17964.0,100.0,100.0,78.83582089552239,79.06206206206207,75.0,75.0,79.06206206206207,78.83582089552239,75.0,75.0,100.0,100.0,17964.0,17964.0,gputl_mean_full,0.22624116653967974,0.0028615642020832334
inception_imagenet_bs32_1gpu,2026-05-01_02-14-11_813e5ea8,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs32_1gpu.yaml,1,single,3354.87,3359.46,0,5230.0,2.9989,5246.0,5246.0,84.0,85.0,77.17037037037036,77.635195035461,78.0,79.0,77.635195035461,77.17037037037036,79.0,78.0,85.0,84.0,5246.0,5246.0,gputl_mean_full,0.4648246650906316,0.005987293068283221
inception_imagenet_bs64_1gpu,2026-05-01_03-10-16_4e930f6d,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs64_1gpu.yaml,1,single,3078.71,3083.32,0,9332.0,5.984,9408.0,9408.0,86.0,86.0,77.76119402985074,78.31443798449612,83.0,82.0,78.31443798449612,77.76119402985074,82.0,83.0,86.0,86.0,9408.0,9408.0,gputl_mean_full,0.5532439546453816,0.0070643928359022
maskrcnn_coco_bs8_1gpu,2026-05-02_01-18-52_9c1b6ef1,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/maskrcnn_coco_bs8_1gpu.yaml,1,single,6564.68,6582.08,0,28606.0,1.0,29854.0,29936.0,100.0,100.0,85.34848484848484,80.81548713235294,85.0,84.0,80.81548713235294,85.34848484848484,84.0,85.0,100.0,100.0,29936.0,29854.0,gputl_mean_full,4.532997716131902,0.05609070584092542
mnist_bs32_1gpu,2026-05-01_17-54-59_06784923,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mnist_bs32_1gpu.yaml,1,single,139.54,140.45,0,1776.0,0.0363,1098.0,1098.0,20.0,20.0,16.285714285714285,16.285714285714285,19.0,19.0,16.285714285714285,16.285714285714285,19.0,19.0,20.0,20.0,1098.0,1098.0,gputl_mean_full,0.0,0.0
mobilenet_cifar100_bs128_20e_1gpu,2026-05-01_04-01-49_ab92b1b5,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs128_20e_1gpu.yaml,1,single,195.16,198.4,0,632.0,0.048,634.0,634.0,46.0,46.0,32.36641221374046,32.36641221374046,36.0,36.0,32.36641221374046,32.36641221374046,36.0,36.0,46.0,46.0,634.0,634.0,gputl_mean_full,0.0,0.0
mobilenet_cifar100_bs128_50e_1gpu,2026-05-01_04-05-13_1121d682,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs128_50e_1gpu.yaml,1,single,572.07,575.3,0,632.0,0.048,634.0,634.0,48.0,55.0,31.82442748091603,31.59733333333333,33.0,32.0,31.59733333333333,31.82442748091603,32.0,33.0,55.0,48.0,634.0,634.0,gputl_mean_full,0.2270941475826973,0.00718713016655511
mobilenet_cifar100_bs32_20e_1gpu,2026-05-01_04-14-54_00788871,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_20e_1gpu.yaml,1,single,900.11,903.35,0,590.0,0.0148,592.0,592.0,42.0,43.0,24.170542635658915,25.86277873070326,23.0,24.0,25.86277873070326,24.170542635658915,24.0,23.0,43.0,42.0,592.0,592.0,gputl_mean_full,1.6922360950443434,0.06543133329426
mobilenet_cifar100_bs32_50e_1gpu,2026-05-01_04-30-03_5aebaa38,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_50e_1gpu.yaml,1,single,2038.8,2042.09,0,590.0,0.0148,592.0,592.0,44.0,44.0,29.384615384615383,28.4453717754173,33.0,30.0,28.4453717754173,29.384615384615383,30.0,33.0,44.0,44.0,592.0,592.0,gputl_mean_full,0.9392436091980834,0.03301920666088058
mobilenet_cifar100_bs64_20e_1gpu,2026-05-01_05-04-11_a5c47ecb,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs64_20e_1gpu.yaml,1,single,414.75,418.09,0,598.0,0.0253,602.0,602.0,46.0,46.0,30.646153846153847,30.014760147601475,32.0,27.0,30.014760147601475,30.646153846153847,27.0,32.0,46.0,46.0,602.0,602.0,gputl_mean_full,0.6313936985523725,0.021036106750392542
