trace,policy,raw_label,experiment_name,gpu_uuid,gpu_id,start_time,end_time,energy_start_mj,energy_end_mj,energy_delta_mj,energy_delta_j
saturn,Horus,HORUS__horus,final_representative_evaluation__saturn__rep01__horus_baseline,GPU-2542cdb4-b558-5541-6feb-c4b72b612395,1,2026-06-18T23:08:57.382249,2026-06-19T11:14:34.202959,30402772706.0,40423400024.0,10020627318.0,10020627.318
saturn,Lucid,LUCID,final_representative_evaluation__saturn__rep01__lucid_baseline,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,2026-06-19T16:28:56.154666,2026-06-20T03:47:11.671351,24971135.0,9705914021.0,9680942886.0,9680942.886
saturn,Lucid,LUCID,final_representative_evaluation__saturn__rep01__lucid_baseline,GPU-02bed562-1235-134d-6e37-99f97fd3c1e0,3,2026-06-19T16:28:56.154666,2026-06-20T03:47:11.671351,26147594.0,7222624335.0,7196476741.0,7196476.741
saturn,Lucid,LUCID,final_representative_evaluation__saturn__rep01__lucid_baseline,GPU-2542cdb4-b558-5541-6feb-c4b72b612395,1,2026-06-19T16:28:56.154666,2026-06-20T03:47:11.671351,25354132.0,9410973213.0,9385619081.0,9385619.081
saturn,AEGIS+HorusMem,EST-MAGM__horus,final_representative_evaluation__saturn__rep01__aegis_horus,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,2026-06-18T13:39:30.607846,2026-06-18T23:08:52.996223,25641189229.0,33739401808.0,8098212579.0,8098212.579
saturn,AEGIS+HorusMem,EST-MAGM__horus,final_representative_evaluation__saturn__rep01__aegis_horus,GPU-02bed562-1235-134d-6e37-99f97fd3c1e0,3,2026-06-18T13:39:30.607846,2026-06-18T23:08:52.996223,22826854884.0,31832338610.0,9005483726.0,9005483.726
saturn,AEGIS+HorusMem,EST-MAGM__horus,final_representative_evaluation__saturn__rep01__aegis_horus,GPU-2542cdb4-b558-5541-6feb-c4b72b612395,1,2026-06-18T13:39:30.607846,2026-06-18T23:08:52.996223,23332089818.0,30402527516.0,7070437698.0,7070437.698
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,2026-06-20T03:47:14.114976,2026-06-20T12:51:33.642193,9706051340.0,17239413988.0,7533362648.0,7533362.648
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,GPU-02bed562-1235-134d-6e37-99f97fd3c1e0,3,2026-06-20T03:47:14.114976,2026-06-20T12:51:33.642193,7222763952.0,15818077418.0,8595313466.0,8595313.466
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,GPU-2542cdb4-b558-5541-6feb-c4b72b612395,1,2026-06-20T03:47:14.114976,2026-06-20T12:51:33.642193,9411103877.0,16838542010.0,7427438133.0,7427438.133
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,2026-06-18T04:20:06.971630,2026-06-18T13:39:27.527751,16780708718.0,25641041469.0,8860332751.0,8860332.751
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,GPU-02bed562-1235-134d-6e37-99f97fd3c1e0,3,2026-06-18T04:20:06.971630,2026-06-18T13:39:27.527751,15514801214.0,22826704486.0,7311903272.0,7311903.272
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,GPU-2542cdb4-b558-5541-6feb-c4b72b612395,1,2026-06-18T04:20:06.971630,2026-06-18T13:39:27.527751,15611296765.0,23331943450.0,7720646685.0,7720646.685
venus,Exclusive,exclusive,final_representative_evaluation__venus__rep01__exclusive,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,2026-06-20T14:40:13.312765,2026-06-21T03:06:10.097161,15936159.0,10036362732.0,10020426573.0,10020426.573
venus,Exclusive,exclusive,final_representative_evaluation__venus__rep01__exclusive,GPU-02bed562-1235-134d-6e37-99f97fd3c1e0,3,2026-06-20T14:40:13.312765,2026-06-21T03:06:10.097161,16843049.0,8153723392.0,8136880343.0,8136880.343
venus,Exclusive,exclusive,final_representative_evaluation__venus__rep01__exclusive,GPU-2542cdb4-b558-5541-6feb-c4b72b612395,1,2026-06-20T14:40:13.312765,2026-06-21T03:06:10.097161,16331875.0,9145603844.0,9129271969.0,9129271.969
venus,Horus,HORUS__horus,final_representative_evaluation__venus__rep01__horus_baseline,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,2026-06-23T00:10:37.689634,2026-06-23T11:55:54.761832,8069136205.0,18914632244.0,10845496039.0,10845496.039
venus,Horus,HORUS__horus,final_representative_evaluation__venus__rep01__horus_baseline,GPU-02bed562-1235-134d-6e37-99f97fd3c1e0,3,2026-06-23T00:10:37.689634,2026-06-23T11:55:54.761832,5828802106.0,13377115931.0,7548313825.0,7548313.825
venus,Horus,HORUS__horus,final_representative_evaluation__venus__rep01__horus_baseline,GPU-2542cdb4-b558-5541-6feb-c4b72b612395,1,2026-06-23T00:10:37.689634,2026-06-23T11:55:54.761832,6234932405.0,14702123751.0,8467191346.0,8467191.346
venus,Lucid,LUCID,final_representative_evaluation__venus__rep01__lucid_baseline,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,2026-06-23T11:55:57.203830,2026-06-23T23:11:16.472389,18914774313.0,28469899041.0,9555124728.0,9555124.728
venus,Lucid,LUCID,final_representative_evaluation__venus__rep01__lucid_baseline,GPU-02bed562-1235-134d-6e37-99f97fd3c1e0,3,2026-06-23T11:55:57.203830,2026-06-23T23:11:16.472389,13377260799.0,22829504999.0,9452244200.0,9452244.2
venus,Lucid,LUCID,final_representative_evaluation__venus__rep01__lucid_baseline,GPU-2542cdb4-b558-5541-6feb-c4b72b612395,1,2026-06-23T11:55:57.203830,2026-06-23T23:11:16.472389,14702264632.0,22349926772.0,7647662140.0,7647662.14
venus,AEGIS+HorusMem,EST-MAGM__horus,final_representative_evaluation__venus__rep01__aegis_horus,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,2026-06-22T05:40:56.502796,2026-06-22T15:01:42.556950,8734486731.0,16747656040.0,8013169309.0,8013169.309
venus,AEGIS+HorusMem,EST-MAGM__horus,final_representative_evaluation__venus__rep01__aegis_horus,GPU-02bed562-1235-134d-6e37-99f97fd3c1e0,3,2026-06-22T05:40:56.502796,2026-06-22T15:01:42.556950,7855184956.0,15819529058.0,7964344102.0,7964344.102
venus,AEGIS+HorusMem,EST-MAGM__horus,final_representative_evaluation__venus__rep01__aegis_horus,GPU-2542cdb4-b558-5541-6feb-c4b72b612395,1,2026-06-22T05:40:56.502796,2026-06-22T15:01:42.556950,8214454870.0,16554878782.0,8340423912.0,8340423.912
venus,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__venus__rep01__oracle_upper_bound,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,2026-06-23T23:11:19.469932,2026-06-24T08:10:54.191585,28470063307.0,36970566792.0,8500503485.0,8500503.485
venus,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__venus__rep01__oracle_upper_bound,GPU-02bed562-1235-134d-6e37-99f97fd3c1e0,3,2026-06-23T23:11:19.469932,2026-06-24T08:10:54.191585,22829672072.0,30366637591.0,7536965519.0,7536965.519
venus,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__venus__rep01__oracle_upper_bound,GPU-2542cdb4-b558-5541-6feb-c4b72b612395,1,2026-06-23T23:11:19.469932,2026-06-24T08:10:54.191585,22350093969.0,30302514650.0,7952420681.0,7952420.681
venus,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__venus__rep01__aegis_estimator_free,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,2026-06-21T19:55:53.854164,2026-06-22T05:40:54.772905,18270193.0,8734393642.0,8716123449.0,8716123.449
venus,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__venus__rep01__aegis_estimator_free,GPU-02bed562-1235-134d-6e37-99f97fd3c1e0,3,2026-06-21T19:55:53.854164,2026-06-22T05:40:54.772905,19269419.0,7855090221.0,7835820802.0,7835820.802
venus,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__venus__rep01__aegis_estimator_free,GPU-2542cdb4-b558-5541-6feb-c4b72b612395,1,2026-06-21T19:55:53.854164,2026-06-22T05:40:54.772905,18682758.0,8214362684.0,8195679926.0,8195679.926
