comparison,metric,geomean_ratio,percent_change
AEGIS-EstimatorFree / Exclusive,energy,0.8775188591206587,-12.248114087934125
AEGIS-EstimatorFree / Exclusive,active_memory_mean,1.7102799170521175,71.02799170521175
AEGIS-EstimatorFree / Exclusive,active_memory_p95,1.1047443067130318,10.474430671303182
AEGIS-EstimatorFree / Exclusive,gpu_utilization,1.2325769057309541,23.257690573095413
AEGIS-EstimatorFree / Exclusive,smact,1.3990405849926988,39.90405849926988
AEGIS-EstimatorFree / Exclusive,smocc,1.450877709020775,45.087770902077494
AEGIS-EstimatorFree / Exclusive,drama,1.394117485230518,39.411748523051806
AEGIS-EstimatorFree / Exclusive,active_power,1.1916388468436498,19.163884684364984
AEGIS-EstimatorFree / Horus,energy,0.8946283502478831,-10.537164975211688
AEGIS-EstimatorFree / Horus,active_memory_mean,1.509588544480834,50.95885444808339
AEGIS-EstimatorFree / Horus,active_memory_p95,1.1228713293614958,12.28713293614958
AEGIS-EstimatorFree / Horus,gpu_utilization,1.1405020469254137,14.050204692541367
AEGIS-EstimatorFree / Horus,smact,1.3560298109920326,35.602981099203255
AEGIS-EstimatorFree / Horus,smocc,1.4109897330927337,41.09897330927337
AEGIS-EstimatorFree / Horus,drama,1.2493902048761267,24.939020487612673
AEGIS-EstimatorFree / Horus,active_power,1.0986738272321126,9.86738272321126
AEGIS-EstimatorFree / Lucid,energy,0.9158524114817737,-8.414758851822635
AEGIS-EstimatorFree / Lucid,active_memory_mean,1.3772831217357795,37.72831217357795
AEGIS-EstimatorFree / Lucid,active_memory_p95,1.094163718239624,9.4163718239624
AEGIS-EstimatorFree / Lucid,gpu_utilization,1.0898044727959073,8.98044727959073
AEGIS-EstimatorFree / Lucid,smact,1.0630141620200158,6.301416202001575
AEGIS-EstimatorFree / Lucid,smocc,1.096365945369707,9.6365945369707
AEGIS-EstimatorFree / Lucid,drama,1.173105763577795,17.310576357779507
AEGIS-EstimatorFree / Lucid,active_power,1.0524804195557258,5.24804195557258
