configuration_label,run_label,policy,estimator,submitted_job_count,completed_job_count,incomplete_job_count,completion_fraction,makespan_s,initial_queue_wait_mean_s,initial_queue_wait_p50_s,initial_queue_wait_p95_s,jct_mean_s,jct_p50_s,jct_p95_s,execution_span_mean_s,execution_span_p50_s,execution_span_p95_s,successful_attempt_runtime_mean_s,successful_attempt_runtime_p50_s,successful_attempt_runtime_p95_s,failed_attempt_count,recovered_attempt_count,recovery_stopped_job_count,total_failed_attempt_runtime_s,total_recovery_queue_wait_s
exclusive,exclusive,exclusive,,60,60,0,1.0,25519.795276,1337.952075,85.94084500000001,6121.7045106,4381.4511257,3219.3031465,12968.338973149996,3041.41021395,1315.1723305,10322.228841399998,3041.41021395,1315.1723305,10322.228841399998,0,0,0,0.0,0.0
fixed_smi50,OR-MAGM,OR-MAGM,,60,60,0,1.0,25757.030926,801.3220338500001,4.0915,5275.093027899999,4034.6376987,3472.4589235000003,9722.19309744999,3231.08817705,1382.429145,8615.089870199994,3231.08817705,1382.429145,8615.089870199994,0,0,0,0.0,0.0
fixed_smi60,OR-MAGM,OR-MAGM,,60,60,0,1.0,26194.362637,916.7302786333332,4.820012,5109.337450549999,4328.167490566667,3411.5969525,10353.27013819998,3409.158334,1690.3987265,8667.538644299992,3409.158334,1690.3987265,8667.538644299992,0,0,0,0.0,0.0
fixed_smi70,OR-MAGM,OR-MAGM,,60,60,0,1.0,25912.881867,682.2576277666667,4.0841105,5319.393578049999,3895.7832366333337,3005.9219965,10056.663628449998,3211.270436816667,1624.987791,8793.969767149994,3211.270436816667,1624.987791,8793.969767149994,0,0,0,0.0,0.0
fixed_smi80,OR-MAGM,OR-MAGM,,60,60,0,1.0,25843.677608,675.7817768166666,3.78519,5333.291446299999,3894.188466416667,2619.851294,9625.861417849996,3216.20941385,1604.247603,8911.813322249996,3216.20941385,1604.247603,8911.813322249996,0,0,0,0.0,0.0
horus_baseline,HORUS__horus,HORUS,horus,60,60,0,1.0,26343.254206,736.3906098833334,4.6513685,5148.62562385,4065.852092566666,2468.025571,10208.560730449992,3327.266708616667,1381.366091,8509.409948249993,3327.266708616667,1381.366091,8509.409948249993,0,0,0,0.0,0.0
lucid_baseline,LUCID,LUCID,,60,60,0,1.0,25881.797835,517.9202155833334,3.968968,3148.5786624499992,4027.35725205,2726.4684515,10436.95390449999,3507.20065315,1941.100904,8756.440701949994,3507.20065315,1941.100904,8756.440701949994,0,0,0,0.0,0.0
memory_only_interference,OR-MAGM,OR-MAGM,,60,60,0,1.0,27459.488042,14.299489433333331,3.980003500000001,67.27153219999991,4192.495761566666,1402.3949585,13664.291137799992,4175.913084066667,1397.4880195,13648.457681499993,4175.913084066667,1397.4880195,13648.457681499993,0,0,0,0.0,0.0
