configuration_label,run_label,completion_fraction,makespan_s,makespan_s_vs_exclusive,makespan_reduction_percent,initial_queue_wait_mean_s,initial_queue_wait_mean_s_vs_exclusive,initial_queue_wait_p95_s,initial_queue_wait_p95_s_vs_exclusive,jct_mean_s,jct_mean_s_vs_exclusive,jct_p95_s,jct_p95_s_vs_exclusive,execution_span_mean_s,execution_span_mean_s_vs_exclusive,execution_span_p95_s,execution_span_p95_s_vs_exclusive,successful_attempt_runtime_mean_s,successful_attempt_runtime_mean_s_vs_exclusive,failed_attempt_count,recovered_attempt_count
exclusive,exclusive,1.0,25519.795276,1.0,0.0,1337.952075,1.0,6121.7045106,1.0,4381.4511257,1.0,12968.338973149996,1.0,3041.41021395,1.0,10322.228841399998,1.0,3041.41021395,1.0,0,0
fixed_smi50,OR-MAGM,1.0,25757.030926,1.0092961423645552,-0.9296142364555227,801.3220338500001,0.5989168437516719,5275.093027899999,0.8617033080845284,4034.6376987,0.9208450768820131,9722.19309744999,0.7496868425153819,3231.08817705,1.0623651364850444,8615.089870199994,0.8346152756899676,3231.08817705,1.0623651364850444,0,0
fixed_smi60,OR-MAGM,1.0,26194.362637,1.0264331023703153,-2.6433102370315265,916.7302786333332,0.6851742269119268,5109.337450549999,0.8346266046822347,4328.167490566667,0.9878388155876506,10353.27013819998,0.7983497469981062,3409.158334,1.1209136861457407,8667.538644299992,0.8396964238514614,3409.158334,1.1209136861457407,0,0
fixed_smi70,OR-MAGM,1.0,25912.881867,1.0154032031506803,-1.5403203150680334,682.2576277666667,0.5099268056867184,5319.393578049999,0.8689399445594337,3895.7832366333337,0.889153644504234,10056.663628449998,0.7754781587118897,3211.270436816667,1.0558491656559748,8793.969767149994,0.851944856316252,3211.270436816667,1.0558491656559748,0,0
fixed_smi80,OR-MAGM,1.0,25843.677608,1.0126914157616536,-1.2691415761653557,675.7817768166666,0.5050866839282465,5333.291446299999,0.8712102057629817,3894.188466416667,0.8887896623049775,9625.861417849996,0.7422586221550533,3216.20941385,1.0574730758443076,8911.813322249996,0.8633613398016171,3216.20941385,1.0574730758443076,0,0
horus_baseline,HORUS__horus,1.0,26343.254206,1.032267458304198,-3.226745830419797,736.3906098833334,0.5503863880052157,5148.62562385,0.8410444533764949,4065.852092566666,0.9279692905206348,10208.560730449992,0.7871910775609795,3327.266708616667,1.0939881418677206,8509.409948249993,0.8243771843267783,3327.266708616667,1.0939881418677206,0,0
lucid_baseline,LUCID,1.0,25881.797835,1.0141851670471842,-1.41851670471842,517.9202155833334,0.38709922818672965,3148.5786624499992,0.5143303890277777,4027.35725205,0.9191834249678117,10436.95390449999,0.804802675663317,3507.20065315,1.153149495278067,8756.440701949994,0.8483091042149733,3507.20065315,1.153149495278067,0,0
memory_only_interference,OR-MAGM,1.0,27459.488042,1.0760073795664096,-7.600737956640957,14.299489433333331,0.010687594645969163,67.27153219999991,0.010989019820136092,4192.495761566666,0.956873793929826,13664.291137799992,1.0536654822248952,4175.913084066667,1.3730186953779058,13648.457681499993,1.3222394011222929,4175.913084066667,1.3730186953779058,0,0
